year,map_vintage,state,state_code,district,district_note,at_large,counties_whole,counties_partial,counties_whole_list,counties_partial_list,matched_counties,d_votes,r_votes,other_votes,total_votes,d_share_two_party_pct,r_share_two_party_pct,national_d_share_two_party_pct,lean_pct,lean_label,votes_from_partial_pct
2024,2020s,Alaska,AK,AK-AL,,True,0,0,,,30,139543,184179,13735,337457,43.11,56.89,49.25,-6.14,R+6.1,0.0
2024,2020s,Alabama,AL,AL-01,,False,8,1,Baldwin County; Coffee County; Covington County; Dale County; Escambia County; Geneva County; Henry County; Houston County,Mobile County,9,97599,262863,4188,364650,27.08,72.92,49.25,-22.17,R+22.2,28.2
2024,2020s,Alabama,AL,AL-02,,False,11,2,Barbour County; Bullock County; Butler County; Conecuh County; Crenshaw County; Macon County; Monroe County; Montgomery County; Pike County; Russell County; Washington County,Clarke County; Mobile County,13,130731,127165,3128,261024,50.69,49.31,49.25,1.44,D+1.4,29.2
2024,2020s,Alabama,AL,AL-03,,False,10,1,Calhoun County; Chambers County; Cherokee County; Clay County; Cleburne County; Etowah County; Lee County; Randolph County; St. Clair County; Tallapoosa County,Talladega County,11,82420,229770,3491,315680,26.4,73.6,49.25,-22.85,R+22.8,10.0
2024,2020s,Alabama,AL,AL-04,,False,11,2,Blount County; Colbert County; Cullman County; DeKalb County; Fayette County; Franklin County; Lamar County; Marion County; Marshall County; Walker County; Winston County,Lauderdale County; Tuscaloosa County,13,61048,270548,3383,334979,18.41,81.59,49.25,-30.84,R+30.8,25.3
2024,2020s,Alabama,AL,AL-05,,False,5,1,Jackson County; Lawrence County; Limestone County; Madison County; Morgan County,Lauderdale County,6,123958,226054,6420,356432,35.42,64.58,49.25,-13.83,R+13.8,3.4
2024,2020s,Alabama,AL,AL-06,,False,6,2,Autauga County; Bibb County; Chilton County; Coosa County; Elmore County; Shelby County,Jefferson County; Talladega County,8,121593,213469,5225,340288,36.29,63.71,49.25,-12.96,R+13.0,35.7
2024,2020s,Alabama,AL,AL-07,,False,10,3,Choctaw County; Dallas County; Greene County; Hale County; Lowndes County; Marengo County; Perry County; Pickens County; Sumter County; Wilcox County,Clarke County; Jefferson County; Tuscaloosa County,13,155063,132749,4225,292037,53.88,46.12,49.25,4.63,D+4.6,75.1
2024,2020s,Arkansas,AR,AR-01,,False,30,1,Arkansas County; Baxter County; Boone County; Chicot County; Clay County; Craighead County; Crittenden County; Cross County; Desha County; Fulton County; Greene County; Independence County; Izard County; Jackson County; Lawrence County; Lee County; Lincoln County; Lonoke County; Marion County; Mississippi County; Monroe County; Phillips County; Poinsett County; Prairie County; Randolph County; St. Francis County; Searcy County; Sharp County; Stone County; Woodruff County,Pulaski County,31,84836,204286,5802,294925,29.34,70.66,49.25,-19.91,R+19.9,8.4
2024,2020s,Arkansas,AR,AR-02,,False,7,1,Cleburne County; Conway County; Faulkner County; Perry County; Saline County; Van Buren County; White County,Pulaski County,8,110718,165971,6684,283373,40.02,59.98,49.25,-9.23,R+9.2,37.8
2024,2020s,Arkansas,AR,AR-03,,False,5,1,Benton County; Carroll County; Crawford County; Madison County; Washington County,Sebastian County,6,107244,180521,8088,295852,37.27,62.73,49.25,-11.98,R+12.0,9.2
2024,2020s,Arkansas,AR,AR-04,,False,31,2,Ashley County; Bradley County; Calhoun County; Clark County; Cleveland County; Columbia County; Dallas County; Drew County; Franklin County; Garland County; Grant County; Hempstead County; Hot Spring County; Howard County; Jefferson County; Johnson County; Lafayette County; Little River County; Logan County; Miller County; Montgomery County; Nevada County; Newton County; Ouachita County; Pike County; Polk County; Pope County; Scott County; Sevier County; Union County; Yell County,Pulaski County; Sebastian County,33,94107,208463,5956,308526,31.1,68.9,49.25,-18.15,R+18.1,13.1
2024,2020s,Arizona,AZ,AZ-01,,False,0,1,,Maricopa County,1,174469,187200,4071,365740,48.24,51.76,49.25,-1.01,R+1.0,100.0
2024,2020s,Arizona,AZ,AZ-02,,False,5,3,Apache County; Coconino County; Gila County; Navajo County; Yavapai County,Graham County; Mohave County; Pinal County,8,185571,267615,4646,457832,40.95,59.05,49.25,-8.3,R+8.3,27.9
2024,2020s,Arizona,AZ,AZ-03,,False,0,1,,Maricopa County,1,21933,23534,512,45979,48.24,51.76,49.25,-1.01,R+1.0,100.0
2024,2020s,Arizona,AZ,AZ-04,,False,0,1,,Maricopa County,1,18942,20325,442,39709,48.24,51.76,49.25,-1.01,R+1.0,100.0
2024,2020s,Arizona,AZ,AZ-05,,False,0,2,,Maricopa County; Pinal County,2,27586,30931,647,59164,47.14,52.86,49.25,-2.11,R+2.1,100.0
2024,2020s,Arizona,AZ,AZ-06,,False,1,4,Greenlee County,Cochise County; Graham County; Pima County; Pinal County,5,101260,116537,2515,220311,46.49,53.51,49.25,-2.76,R+2.8,98.5
2024,2020s,Arizona,AZ,AZ-07,,False,1,5,Santa Cruz County,Cochise County; Maricopa County; Pima County; Pinal County; Yuma County,6,599815,572155,13519,1185488,51.18,48.82,49.25,1.93,D+1.9,98.4
2024,2020s,Arizona,AZ,AZ-08,,False,0,1,,Maricopa County,1,62809,67392,1466,131666,48.24,51.76,49.25,-1.01,R+1.0,100.0
2024,2020s,Arizona,AZ,AZ-09,,False,1,3,La Paz County,Maricopa County; Mohave County; Yuma County,4,390475,484553,9242,884271,44.62,55.38,49.25,-4.62,R+4.6,99.1
2024,2020s,California,CA,CA-01,,False,9,1,Butte County; Colusa County; Glenn County; Lassen County; Modoc County; Shasta County; Siskiyou County; Sutter County; Tehama County,Yuba County,10,112609,191589,8793,312990,37.02,62.98,49.25,-12.23,R+12.2,3.0
2024,2020s,California,CA,CA-02,,False,5,2,Del Norte County; Humboldt County; Marin County; Mendocino County; Trinity County,San Francisco County; Sonoma County,7,337986,120299,16099,474383,73.75,26.25,49.25,24.5,D+24.5,44.4
2024,2020s,California,CA,CA-03,,False,7,3,Alpine County; Inyo County; Mono County; Nevada County; Placer County; Plumas County; Sierra County,El Dorado County; Sacramento County; Yuba County,10,228400,245687,15082,489169,48.18,51.82,49.25,-1.07,R+1.1,33.6
2024,2020s,California,CA,CA-04,,False,2,3,Lake County; Napa County,Solano County; Sonoma County; Yolo County,5,215899,112991,10884,339774,65.64,34.36,49.25,16.4,D+16.4,72.8
2024,2020s,California,CA,CA-05,,False,4,4,Amador County; Calaveras County; Mariposa County; Tuolumne County,El Dorado County; Fresno County; Madera County; Stanislaus County,8,140842,186361,8694,335897,43.04,56.96,49.25,-6.2,R+6.2,74.0
2024,2020s,California,CA,CA-06,,False,0,1,,Sacramento County,1,97404,64365,5882,167652,60.21,39.79,49.25,10.96,D+11.0,100.0
2024,2020s,California,CA,CA-07,,False,0,2,,Sacramento County; Yolo County,2,252368,166282,15228,433877,60.28,39.72,49.25,11.03,D+11.0,100.0
2024,2020s,California,CA,CA-08,,False,0,2,,Contra Costa County; Solano County,2,129614,65453,6383,201450,66.45,33.55,49.25,17.2,D+17.2,100.0
2024,2020s,California,CA,CA-09,,False,0,3,,Contra Costa County; San Joaquin County; Stanislaus County,3,133242,126889,8201,268331,51.22,48.78,49.25,1.97,D+2.0,100.0
2024,2020s,California,CA,CA-10,,False,0,1,,Contra Costa County,1,257097,112158,12761,382017,69.63,30.37,49.25,20.38,D+20.4,100.0
2024,2020s,California,CA,CA-11,,False,0,1,,San Francisco County,1,279693,54081,14415,348189,83.8,16.2,49.25,34.55,D+34.5,100.0
2024,2020s,California,CA,CA-12,,False,0,1,,Alameda County,1,64097,18065,3794,85955,78.01,21.99,49.25,28.77,D+28.8,100.0
2024,2020s,California,CA,CA-13,,False,1,4,Merced County,Fresno County; Madera County; San Joaquin County; Stanislaus County,5,181196,207250,10594,399039,46.65,53.35,49.25,-2.6,R+2.6,78.3
