year,level,state,state_code,district,candidate,party,percentage,winner,incumbent,open_seat
2000,house,Alabama,AL,1,Sonny Callahan,Republican,91.3,True,True,False
2000,house,Alabama,AL,1,Dick Coffee,Libertarian,8.5,False,False,False
2000,house,Alabama,AL,2,Terry Everett,Republican,68.2,True,True,False
2000,house,Alabama,AL,2,Charles Woods,Democratic,29.2,False,False,False
2000,house,Alabama,AL,2,Wallace B. McGahan,Libertarian,1.8,False,False,False
2000,house,Alabama,AL,3,Bob Riley,Republican,86.9,True,True,False
2000,house,Alabama,AL,3,John Sophocleus,Libertarian,8.5,False,False,False
2000,house,Alabama,AL,4,Robert Aderholt,Republican,60.6,True,True,False
2000,house,Alabama,AL,4,Marsha Folsom,Democratic,37.4,False,False,False
2000,house,Alabama,AL,4,Craig Goodrich,Libertarian,1.5,False,False,False
2000,house,Alabama,AL,5,Robert E. Cramer,Democratic,88.8,True,True,False
2000,house,Alabama,AL,5,Alan F. Barksdale,Libertarian,10.5,False,False,False
2000,house,Alabama,AL,6,Spencer Bachus,Republican,87.9,True,True,False
2000,house,Alabama,AL,6,Terry Reagin,Libertarian,11.7,False,False,False
2000,house,Alabama,AL,7,Earl Hilliard,Democratic,74.6,True,True,False
2000,house,Alabama,AL,7,Ed Martin,Republican,23.2,False,False,False
2000,house,Alabama,AL,7,Ken Hager,Libertarian,1.9,False,False,False
2000,house,Alaska,AK,AL,Don Young,Republican,71.0,True,True,False
2000,house,Alaska,AK,AL,Clifford Greene,Democratic,17.0,False,False,False
2000,house,Alaska,AK,AL,Anna Young,Green,8.0,False,False,False
2000,house,Alaska,AK,AL,Jim Dore,Alaskan Independence,4.0,False,False,False
2000,house,Alaska,AK,AL,Leonard Karpinski,Libertarian,2.0,False,False,False
2000,house,Arizona,AZ,1,Jeff Flake,Republican,53.6,True,False,True
2000,house,Arizona,AZ,1,David Mendoza,Democratic,42.4,False,False,True
2000,house,Arizona,AZ,1,Jon Burroughs,Libertarian,4.0,False,False,True
2000,house,Arizona,AZ,2,Ed Pastor,Democratic,68.5,True,True,False
2000,house,Arizona,AZ,2,Bill Barenholtz,Republican,26.9,False,False,False
2000,house,Arizona,AZ,2,Geoffrey Weber,Libertarian,2.6,False,False,False
2000,house,Arizona,AZ,2,Barbara Shelor,Natural Law,2.0,False,False,False
2000,house,Arizona,AZ,3,Bob Stump,Republican,65.7,True,True,False
2000,house,Arizona,AZ,3,Gene Scharer,Democratic,31.4,False,False,False
2000,house,Arizona,AZ,3,Edward R. Carlson,Libertarian,3.0,False,False,False
2000,house,Arizona,AZ,4,John Shadegg,Republican,64.0,True,True,False
2000,house,Arizona,AZ,4,Ben Jankowski,Democratic,32.7,False,False,False
2000,house,Arizona,AZ,4,Ernest Hancock,Libertarian,3.3,False,False,False
2000,house,Arizona,AZ,5,Jim Kolbe,Republican,60.1,True,True,False
2000,house,Arizona,AZ,5,George Cunningham,Democratic,35.3,False,False,False
2000,house,Arizona,AZ,5,Michael Jay Green,Green,3.1,False,False,False
2000,house,Arizona,AZ,5,Aage Nost,Libertarian,1.4,False,False,False
2000,house,Arizona,AZ,6,J. D. Hayworth,Republican,61.4,True,True,False
2000,house,Arizona,AZ,6,Larry Nelson,Democratic,35.6,False,False,False
2000,house,Arizona,AZ,6,Richard Duncan,Libertarian,3.0,False,False,False
2000,house,Arkansas,AR,1,Marion Berry,Democratic,60.1,True,True,False
2000,house,Arkansas,AR,1,Susan Myshka,Republican,39.7,False,False,False
2000,house,Arkansas,AR,2,Vic Snyder,Democratic,57.5,True,True,False
2000,house,Arkansas,AR,2,Bob Thomas,Republican,42.5,False,False,False
2000,house,Arkansas,AR,3,Asa Hutchinson,Republican,100.0,True,True,False
2000,house,Arkansas,AR,4,Mike Ross,Democratic,51.0,True,False,False
2000,house,Arkansas,AR,4,Jay Dickey,Republican,49.0,False,True,False
2000,house,California,CA,1,Mike Thompson,Democratic,65.1,True,True,False
2000,house,California,CA,1,Russel Chase,Republican,28.0,False,False,False
2000,house,California,CA,1,Cheryl Kreier,Natural Law,3.0,False,False,False
2000,house,California,CA,1,Emil Rossi,Libertarian,2.6,False,False,False
2000,house,California,CA,1,Pamela Elizondo,Reform,1.3,False,False,False
2000,house,California,CA,2,Wally Herger,Republican,65.8,True,True,False
2000,house,California,CA,2,Stan Morgan,Democratic,28.2,False,False,False
2000,house,California,CA,2,John McDermott,Natural Law,3.4,False,False,False
2000,house,California,CA,2,Charles R. Martin,Libertarian,2.6,False,False,False
2000,house,California,CA,3,Doug Ose,Republican,56.2,True,True,False
2000,house,California,CA,3,Bob Kent,Democratic,40.5,False,False,False
2000,house,California,CA,3,Douglas Arthur Tuma,Libertarian,2.2,False,False,False
2000,house,California,CA,3,Channing Jones,Natural Law,1.1,False,False,False
2000,house,California,CA,4,John Doolittle,Republican,63.5,True,True,False
2000,house,California,CA,4,Mark Norberg,Democratic,31.5,False,False,False
2000,house,California,CA,4,William Fritz Frey,Libertarian,3.0,False,False,False
2000,house,California,CA,4,Robert Ray,Natural Law,2.0,False,False,False
2000,house,California,CA,5,Bob Matsui,Democratic,68.7,True,True,False
2000,house,California,CA,5,Ken Payne,Republican,26.2,False,False,False
2000,house,California,CA,5,Ken Adams,Green,2.9,False,False,False
2000,house,California,CA,5,Cullene Lang,Libertarian,1.3,False,False,False
2000,house,California,CA,5,Charles Kersey,Natural Law,0.9,False,False,False
2000,house,California,CA,6,Lynn Woolsey,Democratic,64.4,True,True,False
2000,house,California,CA,6,Ken McAuliffe,Republican,28.4,False,False,False
2000,house,California,CA,6,Justin Moscoso,Green,4.6,False,False,False
2000,house,California,CA,6,Richard O. Barton,Libertarian,1.6,False,False,False
