year,level,state,state_code,district,candidate,party,percentage,winner,incumbent,open_seat
1986,house,Alaska,AK,AL,Don Young,Republican,56.5,True,True,False
1986,house,Alaska,AK,AL,Pegge Begich,Democratic,41.1,False,False,False
1986,house,Alaska,AK,AL,Betty Breck,Libertarian,2.3,False,False,False
1986,house,California,CA,1,Douglas H. Bosco,Democratic,67.5,True,True,False
1986,house,California,CA,1,Floyd G. Sampson,Republican,26.6,False,False,False
1986,house,California,CA,2,Wally Herger,Republican,58.3,True,False,True
1986,house,California,CA,2,Steve Swendiman,Democratic,39.6,False,False,True
1986,house,California,CA,2,Harry H. Pendery,Libertarian,2.2,False,False,True
1986,house,California,CA,3,Bob Matsui,Democratic,75.9,True,True,False
1986,house,California,CA,3,Lowell Landowski,Republican,24.1,False,False,False
1986,house,California,CA,4,Vic Fazio,Democratic,70.2,True,True,False
1986,house,California,CA,4,Jack D. Hite,Republican,29.8,False,False,False
1986,house,California,CA,5,Sala Burton,Democratic,75.2,True,True,False
1986,house,California,CA,5,Mike Garza,Republican,22.1,False,False,False
1986,house,California,CA,5,Sam Grove,Libertarian,1.5,False,False,False
1986,house,California,CA,6,Barbara Boxer,Democratic,73.9,True,True,False
1986,house,California,CA,6,Harry Ernst,Republican,26.1,False,False,False
1986,house,California,CA,7,George Miller,Democratic,66.6,True,True,False
1986,house,California,CA,7,Rosemary Thakar,Republican,33.4,False,False,False
1986,house,California,CA,8,Ron Dellums,Democratic,60.0,True,True,False
1986,house,California,CA,8,Steven Eigenberg,Republican,37.9,False,False,False
1986,house,California,CA,9,Pete Stark,Democratic,69.7,True,True,False
1986,house,California,CA,9,Dave Williams,Republican,30.3,False,False,False
1986,house,California,CA,10,Don Edwards,Democratic,70.5,True,True,False
1986,house,California,CA,10,Michael R. La Crone,Republican,26.6,False,False,False
1986,house,California,CA,10,Perr Cardestam,Libertarian,1.5,False,False,False
1986,house,California,CA,11,Tom Lantos,Democratic,74.1,True,True,False
1986,house,California,CA,11,Bill Quraishi,Republican,25.9,False,False,False
1986,house,California,CA,12,Ernie Konnyu,Republican,59.5,True,False,True
1986,house,California,CA,12,Lance T. Weil,Democratic,37.2,False,False,True
1986,house,California,CA,12,Bill White,Libertarian,3.4,False,False,True
1986,house,California,CA,13,Norman Mineta,Democratic,69.7,True,True,False
1986,house,California,CA,13,Bob Nash,Republican,30.3,False,False,False
1986,house,California,CA,14,Norman D. Shumway,Republican,71.6,True,True,False
1986,house,California,CA,14,Bill Steele,Democratic,26.1,False,False,False
1986,house,California,CA,14,Bruce A. Daniel,Libertarian,2.3,False,False,False
1986,house,California,CA,15,Tony Coelho,Democratic,71.0,True,True,False
1986,house,California,CA,15,Carol O. Harner,Republican,27.2,False,False,False
1986,house,California,CA,15,Richard M. Harris,Libertarian,1.8,False,False,False
1986,house,California,CA,16,Leon Panetta,Democratic,78.4,True,True,False
1986,house,California,CA,16,Louis Darrigo,Republican,19.2,False,False,False
1986,house,California,CA,16,Bill Anderson,Libertarian,1.2,False,False,False
1986,house,California,CA,17,Chip Pashayan,Republican,60.2,True,True,False
1986,house,California,CA,17,John Hartnett,Democratic,39.8,False,False,False
1986,house,California,CA,18,Richard H. Lehman,Democratic,71.3,True,True,False
1986,house,California,CA,18,David C. Crevelt,Republican,28.7,False,False,False
1986,house,California,CA,19,Bob Lagomarsino,Republican,71.9,True,True,False
1986,house,California,CA,19,Wayne B. Norris,Democratic,26.8,False,False,False
1986,house,California,CA,19,George Hasara,Libertarian,1.4,False,False,False
1986,house,California,CA,20,Bill Thomas,Republican,72.6,True,True,False
1986,house,California,CA,20,Jules H. Moquin,Democratic,27.4,False,False,False
1986,house,California,CA,21,Elton Gallegly,Republican,68.4,True,False,True
1986,house,California,CA,21,Gilbert R. Saldana,Democratic,28.2,False,False,True
1986,house,California,CA,21,Daniel Wiener,Libertarian,3.4,False,False,True
1986,house,California,CA,22,Carlos Moorhead,Republican,73.8,True,True,False
1986,house,California,CA,22,John G. Simmons,Democratic,23.0,False,False,False
1986,house,California,CA,22,Jona Joy Bergland,Libertarian,1.6,False,False,False
1986,house,California,CA,23,Anthony Beilenson,Democratic,65.7,True,True,False
1986,house,California,CA,23,George Woolverton,Republican,31.8,False,False,False
1986,house,California,CA,23,Taylor Rhodes,Libertarian,1.1,False,False,False
1986,house,California,CA,24,Henry Waxman,Democratic,87.9,True,True,False
1986,house,California,CA,24,George Abrahams,Libertarian,7.5,False,False,False
1986,house,California,CA,25,Edward R. Roybal,Democratic,76.1,True,True,False
1986,house,California,CA,25,Gregory L. Hardy,Republican,21.3,False,False,False
1986,house,California,CA,25,Ted Brown,Libertarian,2.6,False,False,False
1986,house,California,CA,26,Howard Berman,Democratic,65.1,True,True,False
1986,house,California,CA,26,Robert M. Kerns,Republican,34.9,False,False,False
1986,house,California,CA,27,Mel Levine,Democratic,63.7,True,True,False
1986,house,California,CA,27,Robert B. Scribner,Republican,34.3,False,False,False
1986,house,California,CA,27,Jeff Avrech,Libertarian,0.8,False,False,False
1986,house,California,CA,28,Julian Dixon,Democratic,76.3,True,True,False
1986,house,California,CA,28,George Zaldivar Adams,Republican,21.3,False,False,False
1986,house,California,CA,28,Howard Johnson,Libertarian,2.3,False,False,False
1986,house,California,CA,29,Augustus Hawkins,Democratic,84.5,True,True,False
1986,house,California,CA,29,John Van de Brooke,Republican,14.5,False,False,False
1986,house,California,CA,29,Waheed R. Boctor,Libertarian,0.9,False,False,False
1986,house,California,CA,30,Matthew G. Martínez,Democratic,62.5,True,True,False
1986,house,California,CA,30,John W. Almquist,Republican,35.5,False,False,False
1986,house,California,CA,30,Kim J. Goldsworthy,Libertarian,2.0,False,False,False
1986,house,California,CA,31,Mervyn Dymally,Democratic,70.3,True,True,False
1986,house,California,CA,31,Jack McMurray,Republican,27.6,False,False,False
1986,house,California,CA,31,B. Kwaku Duren,Peace and Freedom,2.1,False,False,False
1986,house,California,CA,32,Glenn M. Anderson,Democratic,68.5,True,True,False
1986,house,California,CA,32,Joyce M. Robertson,Republican,29.4,False,False,False
1986,house,California,CA,33,David Dreier,Republican,71.7,True,True,False
1986,house,California,CA,33,Monty Hempel,Democratic,26.8,False,False,False
1986,house,California,CA,34,Esteban Torres,Democratic,60.3,True,True,False
1986,house,California,CA,34,Charles M. House,Republican,39.7,False,False,False
1986,house,California,CA,35,Jerry Lewis,Republican,76.9,True,True,False
1986,house,California,CA,35,Sarge Hall,Democratic,23.1,False,False,False
1986,house,California,CA,36,George Brown Jr.,Democratic,57.1,True,True,True
1986,house,California,CA,36,Bob Henley,Republican,42.9,False,False,True
1986,house,California,CA,37,Al McCandless,Republican,63.7,True,True,False
1986,house,California,CA,37,Dave Skinner,Democratic,36.3,False,False,False
1986,house,California,CA,38,Bob Dornan,Republican,55.3,True,True,True
1986,house,California,CA,38,Richard H. Robinson,Democratic,42.4,False,False,True
1986,house,California,CA,38,Lee Connelly,Libertarian,2.3,False,False,True
1986,house,California,CA,39,William Dannemeyer,Republican,74.5,True,True,False
1986,house,California,CA,39,David D. Vest,Democratic,24.0,False,False,False
1986,house,California,CA,40,Robert Badham,Republican,59.8,True,True,False
1986,house,California,CA,40,Bruce W. Sumner,Democratic,37.7,False,False,False
1986,house,California,CA,41,Bill Lowery,Republican,67.8,True,True,False
1986,house,California,CA,41,Dan Kripke,Democratic,30.4,False,False,False
1986,house,California,CA,41,Dick Rider,Libertarian,1.8,False,False,False
1986,house,California,CA,42,Dan Lungren,Republican,72.8,True,True,False
1986,house,California,CA,42,Michael P. Blackburn,Democratic,24.7,False,False,False
1986,house,California,CA,43,Ron Packard,Republican,73.1,True,True,False
1986,house,California,CA,43,Joseph Chirra,Democratic,24.0,False,False,False
1986,house,California,CA,43,Phyllis Avery,Libertarian,2.9,False,False,False
1986,house,California,CA,44,Jim Bates,Democratic,64.2,True,True,False
1986,house,California,CA,44,Bill Mitchell,Republican,33.1,False,False,False
1986,house,California,CA,44,Dennis Thompson,Libertarian,1.1,False,False,False
1986,house,California,CA,45,Duncan L. Hunter,Republican,76.9,True,True,False
1986,house,California,CA,45,Hewitt Fitts Ryan,Democratic,21.2,False,False,False
1986,house,California,CA,45,Lee Schwartz,Libertarian,1.9,False,False,False
1986,house,New Jersey,NJ,1,James Florio,Democratic,75.6,True,True,False
1986,house,New Jersey,NJ,1,Frederick A. Busch Jr.,Republican,23.6,False,False,False
1986,house,New Jersey,NJ,1,Jerry Zeldin,Libertarian,0.8,False,False,False
1986,house,New Jersey,NJ,2,William J. Hughes,Democratic,68.3,True,True,False
1986,house,New Jersey,NJ,2,Alfred J. Bennington Jr.,Republican,28.6,False,False,False
1986,house,New Jersey,NJ,3,James J. Howard,Democratic,58.7,True,True,False
1986,house,New Jersey,NJ,3,Brian T. Kennedy,Republican,41.3,False,False,False
1986,house,New Jersey,NJ,4,Chris Smith,Republican,61.1,True,True,False
1986,house,New Jersey,NJ,4,Jeffrey Laurenti,Democratic,38.3,False,False,False
1986,house,New Jersey,NJ,4,Earl G. Dickey,Independent,0.6,False,False,False
1986,house,New Jersey,NJ,5,Marge Roukema,Republican,68.0,True,True,False
1986,house,New Jersey,NJ,5,H. Vernon Jolley,Democratic,32.0,False,False,False
1986,house,New Jersey,NJ,6,Bernard J. Dwyer,Democratic,69.0,True,True,False
1986,house,New Jersey,NJ,6,John D. Scalamonti,Republican,28.9,False,False,False
1986,house,New Jersey,NJ,6,Rose Monyek,Independent,2.1,False,False,False
1986,house,New Jersey,NJ,7,Matthew J. Rinaldo,Republican,79.0,True,True,False
1986,house,New Jersey,NJ,7,June S. Fischer,Democratic,21.0,False,False,False
1986,house,New Jersey,NJ,8,Robert A. Roe,Democratic,62.8,True,True,False
1986,house,New Jersey,NJ,8,Thomas P. Zampino,Republican,37.2,False,False,False
1986,house,New Jersey,NJ,9,Robert Torricelli,Democratic,69.0,True,True,False
1986,house,New Jersey,NJ,9,Arthur F. Jones,Republican,31.0,False,False,False
1986,house,New Jersey,NJ,10,Peter W. Rodino,Democratic,95.9,True,True,False
