year,state,state_code,county,subdivision_type,candidate,party,votes,percentage,total_votes,winning_party
2000,Alabama,AL,Autauga,County,George W. Bush,Republican,11993,69.69,17208,Republican
2000,Alabama,AL,Autauga,County,Al Gore,Democratic,4942,28.72,17208,Republican
2000,Alabama,AL,Autauga,County,Other,Other,273,1.59,17208,Republican
2000,Alabama,AL,Baldwin,County,George W. Bush,Republican,40872,72.37,56480,Republican
2000,Alabama,AL,Baldwin,County,Al Gore,Democratic,13997,24.78,56480,Republican
2000,Alabama,AL,Baldwin,County,Other,Other,1611,2.85,56480,Republican
2000,Alabama,AL,Barbour,County,George W. Bush,Republican,5096,49.02,10395,Democratic
2000,Alabama,AL,Barbour,County,Al Gore,Democratic,5188,49.91,10395,Democratic
2000,Alabama,AL,Barbour,County,Other,Other,111,1.07,10395,Democratic
2000,Alabama,AL,Bibb,County,George W. Bush,Republican,4273,60.17,7101,Republican
2000,Alabama,AL,Bibb,County,Al Gore,Democratic,2710,38.16,7101,Republican
2000,Alabama,AL,Bibb,County,Other,Other,118,1.66,7101,Republican
2000,Alabama,AL,Blount,County,George W. Bush,Republican,12667,70.48,17973,Republican
2000,Alabama,AL,Blount,County,Al Gore,Democratic,4977,35.67,17973,Republican
2000,Alabama,AL,Blount,County,Other,Other,329,1.83,17973,Republican
2000,Alabama,AL,Bullock,County,George W. Bush,Republican,1433,29.22,4904,Democratic
2000,Alabama,AL,Bullock,County,Al Gore,Democratic,3395,69.23,4904,Democratic
2000,Alabama,AL,Bullock,County,Other,Other,76,1.55,4904,Democratic
2000,Alabama,AL,Butler,County,George W. Bush,Republican,4127,52.89,7803,Republican
2000,Alabama,AL,Butler,County,Al Gore,Democratic,3606,46.21,7803,Republican
2000,Alabama,AL,Butler,County,Other,Other,70,0.9,7803,Republican
2000,Alabama,AL,Calhoun,County,George W. Bush,Republican,22306,57.33,38909,Republican
2000,Alabama,AL,Calhoun,County,Al Gore,Democratic,15781,40.56,38909,Republican
2000,Alabama,AL,Calhoun,County,Other,Other,822,2.11,38909,Republican
2000,Alabama,AL,Chambers,County,George W. Bush,Republican,6037,51.01,11834,Republican
2000,Alabama,AL,Chambers,County,Al Gore,Democratic,5616,47.46,11834,Republican
2000,Alabama,AL,Chambers,County,Other,Other,181,1.53,11834,Republican
2000,Alabama,AL,Cherokee,County,George W. Bush,Republican,4154,53.1,7823,Republican
2000,Alabama,AL,Cherokee,County,Al Gore,Democratic,3497,44.7,7823,Republican
2000,Alabama,AL,Cherokee,County,Other,Other,172,2.2,7823,Republican
2000,Alabama,AL,Chilton,County,George W. Bush,Republican,10066,66.7,15092,Republican
2000,Alabama,AL,Chilton,County,Al Gore,Democratic,4806,31.84,15092,Republican
2000,Alabama,AL,Chilton,County,Other,Other,220,1.46,15092,Republican
2000,Alabama,AL,Choctaw,County,George W. Bush,Republican,3600,48.82,7374,Democratic
2000,Alabama,AL,Choctaw,County,Al Gore,Democratic,3707,50.27,7374,Democratic
2000,Alabama,AL,Choctaw,County,Other,Other,67,0.91,7374,Democratic
2000,Alabama,AL,Clarke,County,George W. Bush,Republican,5988,55.69,10752,Republican
2000,Alabama,AL,Clarke,County,Al Gore,Democratic,4679,43.52,10752,Republican
2000,Alabama,AL,Clarke,County,Other,Other,85,0.79,10752,Republican
2000,Alabama,AL,Clay,County,George W. Bush,Republican,3719,63.22,5883,Republican
2000,Alabama,AL,Clay,County,Al Gore,Democratic,2045,34.76,5883,Republican
2000,Alabama,AL,Clay,County,Other,Other,119,2.02,5883,Republican
2000,Alabama,AL,Cleburne,County,George W. Bush,Republican,3333,65.46,5092,Republican
2000,Alabama,AL,Cleburne,County,Al Gore,Democratic,1664,32.68,5092,Republican
2000,Alabama,AL,Cleburne,County,Other,Other,95,1.87,5092,Republican
2000,Alabama,AL,Coffee,County,George W. Bush,Republican,9938,64.39,15434,Republican
2000,Alabama,AL,Coffee,County,Al Gore,Democratic,5220,33.82,15434,Republican
2000,Alabama,AL,Coffee,County,Other,Other,276,1.79,15434,Republican
2000,Alabama,AL,Colbert,County,George W. Bush,Republican,10518,48.85,21532,Democratic
2000,Alabama,AL,Colbert,County,Al Gore,Democratic,10543,48.96,21532,Democratic
2000,Alabama,AL,Colbert,County,Other,Other,471,2.19,21532,Democratic
2000,Alabama,AL,Conecuh,County,George W. Bush,Republican,2699,48.62,5551,Democratic
2000,Alabama,AL,Conecuh,County,Al Gore,Democratic,2783,50.14,5551,Democratic
2000,Alabama,AL,Conecuh,County,Other,Other,69,1.24,5551,Democratic
2000,Alabama,AL,Coosa,County,George W. Bush,Republican,2382,52.16,4567,Republican
2000,Alabama,AL,Coosa,County,Al Gore,Democratic,2104,46.07,4567,Republican
2000,Alabama,AL,Coosa,County,Other,Other,81,1.77,4567,Republican
2000,Alabama,AL,Covington,County,George W. Bush,Republican,8961,65.83,13613,Republican
2000,Alabama,AL,Covington,County,Al Gore,Democratic,4440,32.62,13613,Republican
2000,Alabama,AL,Covington,County,Other,Other,212,1.56,13613,Republican
2000,Alabama,AL,Crenshaw,County,George W. Bush,Republican,2793,58.25,4795,Republican
2000,Alabama,AL,Crenshaw,County,Al Gore,Democratic,1934,40.33,4795,Republican
2000,Alabama,AL,Crenshaw,County,Other,Other,68,1.42,4795,Republican
2000,Alabama,AL,Cullman,County,George W. Bush,Republican,19157,64.88,29525,Republican
2000,Alabama,AL,Cullman,County,Al Gore,Democratic,9758,33.05,29525,Republican
2000,Alabama,AL,Cullman,County,Other,Other,610,2.07,29525,Republican
2000,Alabama,AL,Dale,County,George W. Bush,Republican,10593,67.02,15806,Republican
2000,Alabama,AL,Dale,County,Al Gore,Democratic,4906,31.04,15806,Republican
2000,Alabama,AL,Dale,County,Other,Other,307,1.94,15806,Republican
2000,Alabama,AL,Dallas,County,George W. Bush,Republican,7360,39.86,18464,Democratic
2000,Alabama,AL,Dallas,County,Al Gore,Democratic,10967,59.4,18464,Democratic
2000,Alabama,AL,Dallas,County,Other,Other,137,0.74,18464,Democratic
2000,Alabama,AL,DeKalb,County,George W. Bush,Republican,12827,63.23,20285,Republican
2000,Alabama,AL,DeKalb,County,Al Gore,Democratic,7056,34.78,20285,Republican
2000,Alabama,AL,DeKalb,County,Other,Other,402,1.98,20285,Republican
2000,Alabama,AL,Elmore,County,George W. Bush,Republican,16777,70.48,23804,Republican
2000,Alabama,AL,Elmore,County,Al Gore,Democratic,6652,27.94,23804,Republican
2000,Alabama,AL,Elmore,County,Other,Other,375,1.58,23804,Republican
2000,Alabama,AL,Escambia,County,George W. Bush,Republican,6975,59.82,11660,Republican
2000,Alabama,AL,Escambia,County,Al Gore,Democratic,4523,38.79,11660,Republican
2000,Alabama,AL,Escambia,County,Other,Other,162,1.39,11660,Republican
2000,Alabama,AL,Etowah,County,George W. Bush,Republican,21087,53.59,39348,Republican
2000,Alabama,AL,Etowah,County,Al Gore,Democratic,17433,44.3,39348,Republican
2000,Alabama,AL,Etowah,County,Other,Other,828,2.1,39348,Republican
2000,Alabama,AL,Fayette,County,George W. Bush,Republican,4582,58.68,7808,Republican
2000,Alabama,AL,Fayette,County,Al Gore,Democratic,3064,39.24,7808,Republican
2000,Alabama,AL,Fayette,County,Other,Other,162,2.07,7808,Republican
2000,Alabama,AL,Franklin,County,George W. Bush,Republican,6119,55.11,11103,Republican
2000,Alabama,AL,Franklin,County,Al Gore,Democratic,4793,43.17,11103,Republican
2000,Alabama,AL,Franklin,County,Other,Other,191,1.72,11103,Republican
2000,Alabama,AL,Geneva,County,George W. Bush,Republican,6588,68.92,9559,Republican
2000,Alabama,AL,Geneva,County,Al Gore,Democratic,2769,28.97,9559,Republican
2000,Alabama,AL,Geneva,County,Other,Other,202,2.11,9559,Republican
2000,Alabama,AL,Greene,County,George W. Bush,Republican,850,19.34,4396,Democratic
2000,Alabama,AL,Greene,County,Al Gore,Democratic,3504,79.71,4396,Democratic
2000,Alabama,AL,Greene,County,Other,Other,42,0.96,4396,Democratic
2000,Alabama,AL,Hale,County,George W. Bush,Republican,2984,38.6,7731,Democratic
2000,Alabama,AL,Hale,County,Al Gore,Democratic,4652,60.17,7731,Democratic
2000,Alabama,AL,Hale,County,Other,Other,95,1.23,7731,Democratic
2000,Alabama,AL,Henry,County,George W. Bush,Republican,4054,58.48,6932,Republican
2000,Alabama,AL,Henry,County,Al Gore,Democratic,2782,40.13,6932,Republican
2000,Alabama,AL,Henry,County,Other,Other,96,1.38,6932,Republican
2000,Alabama,AL,Houston,County,George W. Bush,Republican,22150,69.1,32057,Republican
2000,Alabama,AL,Houston,County,Al Gore,Democratic,9412,29.36,32057,Republican
2000,Alabama,AL,Houston,County,Other,Other,495,1.54,32057,Republican
2000,Alabama,AL,Jackson,County,George W. Bush,Republican,8475,47.33,17906,Democratic
2000,Alabama,AL,Jackson,County,Al Gore,Democratic,9066,50.63,17906,Democratic
2000,Alabama,AL,Jackson,County,Other,Other,365,2.04,17906,Democratic
2000,Alabama,AL,Jefferson,County,George W. Bush,Republican,138491,50.59,273763,Republican
2000,Alabama,AL,Jefferson,County,Al Gore,Democratic,129889,47.45,273763,Republican
2000,Alabama,AL,Jefferson,County,Other,Other,5383,1.97,273763,Republican
2000,Alabama,AL,Lamar,County,George W. Bush,Republican,4470,61.66,7249,Republican
2000,Alabama,AL,Lamar,County,Al Gore,Democratic,2653,36.6,7249,Republican
2000,Alabama,AL,Lamar,County,Other,Other,126,1.74,7249,Republican
2000,Alabama,AL,Lauderdale,County,George W. Bush,Republican,17478,54.39,32137,Republican
2000,Alabama,AL,Lauderdale,County,Al Gore,Democratic,13875,43.17,32137,Republican
2000,Alabama,AL,Lauderdale,County,Other,Other,784,2.44,32137,Republican
2000,Alabama,AL,Lawrence,County,George W. Bush,Republican,5671,46.54,12185,Democratic
2000,Alabama,AL,Lawrence,County,Al Gore,Democratic,6296,51.67,12185,Democratic
2000,Alabama,AL,Lawrence,County,Other,Other,218,1.79,12185,Democratic
2000,Alabama,AL,Lee,County,George W. Bush,Republican,22433,58.63,38264,Republican
2000,Alabama,AL,Lee,County,Al Gore,Democratic,14574,38.09,38264,Republican
2000,Alabama,AL,Lee,County,Other,Other,1257,3.29,38264,Republican
2000,Alabama,AL,Limestone,County,George W. Bush,Republican,14204,60.1,23634,Republican
2000,Alabama,AL,Limestone,County,Al Gore,Democratic,8992,38.05,23634,Republican
2000,Alabama,AL,Limestone,County,Other,Other,438,1.85,23634,Republican
2000,Alabama,AL,Lowndes,County,George W. Bush,Republican,1638,26.24,6243,Democratic
2000,Alabama,AL,Lowndes,County,Al Gore,Democratic,4557,72.99,6243,Democratic
2000,Alabama,AL,Lowndes,County,Other,Other,48,0.77,6243,Democratic
