year,state,state_code,county,subdivision_type,candidate,party,votes,percentage,total_votes,winning_party
2004,Alabama,AL,Autauga,County,George W. Bush,Republican,15196,75.67,20081,Republican
2004,Alabama,AL,Autauga,County,John Kerry,Democratic,4758,23.69,20081,Republican
2004,Alabama,AL,Autauga,County,Other,Other,127,0.63,20081,Republican
2004,Alabama,AL,Baldwin,County,George W. Bush,Republican,52971,76.42,69320,Republican
2004,Alabama,AL,Baldwin,County,John Kerry,Democratic,15599,22.5,69320,Republican
2004,Alabama,AL,Baldwin,County,Other,Other,750,1.09,69320,Republican
2004,Alabama,AL,Barbour,County,George W. Bush,Republican,5899,54.74,10777,Republican
2004,Alabama,AL,Barbour,County,John Kerry,Democratic,4832,44.84,10777,Republican
2004,Alabama,AL,Barbour,County,Other,Other,46,0.43,10777,Republican
2004,Alabama,AL,Bibb,County,George W. Bush,Republican,5472,72.0,7600,Republican
2004,Alabama,AL,Bibb,County,John Kerry,Democratic,2089,27.49,7600,Republican
2004,Alabama,AL,Bibb,County,Other,Other,39,0.51,7600,Republican
2004,Alabama,AL,Blount,County,George W. Bush,Republican,17386,80.85,21504,Republican
2004,Alabama,AL,Blount,County,John Kerry,Democratic,3938,18.31,21504,Republican
2004,Alabama,AL,Blount,County,Other,Other,180,0.84,21504,Republican
2004,Alabama,AL,Bullock,County,George W. Bush,Republican,1494,31.67,4717,Democratic
2004,Alabama,AL,Bullock,County,John Kerry,Democratic,3210,68.05,4717,Democratic
2004,Alabama,AL,Bullock,County,Other,Other,13,0.28,4717,Democratic
2004,Alabama,AL,Butler,County,George W. Bush,Republican,4979,59.16,8416,Republican
2004,Alabama,AL,Butler,County,John Kerry,Democratic,3413,40.55,8416,Republican
2004,Alabama,AL,Butler,County,Other,Other,24,0.29,8416,Republican
2004,Alabama,AL,Calhoun,County,George W. Bush,Republican,29814,65.89,45249,Republican
2004,Alabama,AL,Calhoun,County,John Kerry,Democratic,15083,33.33,45249,Republican
2004,Alabama,AL,Calhoun,County,Other,Other,352,0.78,45249,Republican
2004,Alabama,AL,Chambers,County,George W. Bush,Republican,7622,58.49,13032,Republican
2004,Alabama,AL,Chambers,County,John Kerry,Democratic,5347,41.03,13032,Republican
2004,Alabama,AL,Chambers,County,Other,Other,63,0.48,13032,Republican
