Year,State,Primary_Type,Poll_Source,Date,Sample,MoE,Candidate,Party,Pct,Incumbent
2002,Iowa,General,SurveyUSA,"October 27–29, 2002",605 (LV),± 4.1%,Tom Harkin,D,60%,True
2002,Iowa,General,SurveyUSA,"October 27–29, 2002",605 (LV),± 4.1%,Greg Ganske,R,38%,False
2002,Missouri (special),General,SurveyUSA,"October 31 – November 3, 2002",958 (LV),± 3.3%,Jean Carnahan,D,49%,True
2002,Missouri (special),General,SurveyUSA,"October 31 – November 3, 2002",958 (LV),± 3.3%,Jim Talent,R,47%,False
2002,New Hampshire,General,American Research Group,"November 2–3, 2002",600 (LV),± 4.0%,John Sununu,R,48%,False
2002,New Hampshire,General,UNH,"October 30 – November 2, 2002",644 (LV),± 3.8%,John Sununu,R,46%,False
2002,New Hampshire,General,Concord Monitor,"October 29–31, 2002",,,John Sununu,R,46%,False
2002,New Hampshire,General,American Research Group,"October 28–30, 2002",600 (LV),± 4.0%,John Sununu,R,48%,False
2002,New Hampshire,General,Franklin Pierce College,"October 27–30, 2002",926 (RV),± 3.0%,John Sununu,R,40%,False
2002,New Hampshire,General,University of New Hampshire,"October 23–29, 2002",648 (LV),± 3.8%,John Sununu,R,42%,False
2002,New Hampshire,General,American Research Group,"October 20–22, 2002",600 (LV),± 4.0%,John Sununu,R,48%,False
2002,New Hampshire,General,American Research Group,"October 16, 2002",600 (LV),± 4.0%,John Sununu,R,51%,False
2002,New Hampshire,General,University of New Hampshire,"October 3–10, 2002",651 (LV),± 4.0%,John Sununu,R,44%,False
2002,New Hampshire,General,American Research Group,"October 2, 2002",600 (LV),± 4.0%,John Sununu,R,55%,False
2002,New Hampshire,General,RealClearPolitics,"September 18–19, 2002",,,John Sununu,R,46%,False
2002,New Hampshire,General,American Research Group,"September 14–18, 2002",600 (LV),± 4.0%,John Sununu,R,47%,False
2002,New Hampshire,General,University of New Hampshire,"June 23 – July 1, 2002",529 (LV),± 4.0%,John Sununu,R,51%,False
2002,New Hampshire,General,American Research Group,June 2002,600 (LV),± 4.0%,John Sununu,R,37%,False
2002,New Hampshire,General,University of New Hampshire,"April 10–14, 2002",526 (LV),± 4.3%,John Sununu,R,50%,False
2002,New Hampshire,General,American Research Group,March 2002,600 (LV),± 4.0%,John Sununu,R,40%,False
2002,New Hampshire,General,University of New Hampshire,"January 25 – February 5, 2002",554 (RV),± 4.1%,John Sununu,R,49%,False
2002,New Hampshire,General,American Research Group,December 2001,600 (LV),± 4.0%,John Sununu,R,39%,False
2002,New Hampshire,General,University of New Hampshire,"October 19–29, 2001",505 (RV),± 4.4%,John Sununu,R,50%,False
2002,New Hampshire,General,American Research Group,September 2001,600 (LV),± 4.0%,John Sununu,R,47%,False
2002,New Hampshire,General,American Research Group,July 2001,600 (LV),± 4.0%,John Sununu,R,49%,False
2002,New Hampshire,General,American Research Group,June 2001,600 (LV),± 4.0%,John Sununu,R,50%,False
2002,New Hampshire,General,American Research Group,"November 2–3, 2002",600 (LV),± 4.0%,Jeanne Shaheen,D,44%,False
2002,New Hampshire,General,UNH,"October 30 – November 2, 2002",644 (LV),± 3.8%,Jeanne Shaheen,D,45%,False
2002,New Hampshire,General,Concord Monitor,"October 29–31, 2002",,,Jeanne Shaheen,D,47%,False
2002,New Hampshire,General,American Research Group,"October 28–30, 2002",600 (LV),± 4.0%,Jeanne Shaheen,D,46%,False
2002,New Hampshire,General,Franklin Pierce College,"October 27–30, 2002",926 (RV),± 3.0%,Jeanne Shaheen,D,45%,False
2002,New Hampshire,General,University of New Hampshire,"October 23–29, 2002",648 (LV),± 3.8%,Jeanne Shaheen,D,46%,False
2002,New Hampshire,General,American Research Group,"October 20–22, 2002",600 (LV),± 4.0%,Jeanne Shaheen,D,46%,False
2002,New Hampshire,General,American Research Group,"October 16, 2002",600 (LV),± 4.0%,Jeanne Shaheen,D,43%,False
2002,New Hampshire,General,University of New Hampshire,"October 3–10, 2002",651 (LV),± 4.0%,Jeanne Shaheen,D,47%,False
2002,New Hampshire,General,American Research Group,"October 2, 2002",600 (LV),± 4.0%,Jeanne Shaheen,D,34%,False
2002,New Hampshire,General,RealClearPolitics,"September 18–19, 2002",,,Jeanne Shaheen,D,43%,False
2002,New Hampshire,General,American Research Group,"September 14–18, 2002",600 (LV),± 4.0%,Jeanne Shaheen,D,38%,False
2002,New Hampshire,General,University of New Hampshire,"June 23 – July 1, 2002",529 (LV),± 4.0%,Jeanne Shaheen,D,42%,False
2002,New Hampshire,General,American Research Group,June 2002,600 (LV),± 4.0%,Jeanne Shaheen,D,33%,False
2002,New Hampshire,General,University of New Hampshire,"April 10–14, 2002",526 (LV),± 4.3%,Jeanne Shaheen,D,42%,False
2002,New Hampshire,General,American Research Group,March 2002,600 (LV),± 4.0%,Jeanne Shaheen,D,36%,False
2002,New Hampshire,General,University of New Hampshire,"January 25 – February 5, 2002",554 (RV),± 4.1%,Jeanne Shaheen,D,42%,False
2002,New Hampshire,General,American Research Group,December 2001,600 (LV),± 4.0%,Jeanne Shaheen,D,29%,False
2002,New Hampshire,General,University of New Hampshire,"October 19–29, 2001",505 (RV),± 4.4%,Jeanne Shaheen,D,38%,False
2002,New Hampshire,General,American Research Group,September 2001,600 (LV),± 4.0%,Jeanne Shaheen,D,39%,False
2002,New Hampshire,General,American Research Group,July 2001,600 (LV),± 4.0%,Jeanne Shaheen,D,35%,False
2002,New Hampshire,General,American Research Group,June 2001,600 (LV),± 4.0%,Jeanne Shaheen,D,35%,False
