Year,State,Election,Election_Type,Row_Type,Incumbent,votes,percentage,candidate,party
1924,Alabama,1924 U.S. Senate election in Alabama,General,Total,False,"80,394",100.00%,,
1924,Arkansas,1924 U.S. Senate election in Arkansas,General,Winning,True,"100,408",73.52%,Joseph T. Robinson,Democratic Party (United States)
1924,Arkansas,1924 U.S. Senate election in Arkansas,General,Candidate,False,"36,163",26.48%,Charles F. Cole,Republican Party (United States)
1924,Arkansas,1924 U.S. Senate election in Arkansas,General,Total,False,"136,571",100.00%,,
1924,Colorado (special),1924 United States Senate special election in Colorado,General,Winning,False,"159,353",50.17%,Rice W. Means,Republican Party (United States)
1924,Colorado (special),1924 United States Senate special election in Colorado,General,Candidate,False,"138,714",43.67%,Morrison Shafroth,Democratic Party (United States)
1924,Colorado (special),1924 United States Senate special election in Colorado,General,Candidate,False,"17,542",5.52%,Charles T. Philp,Farmer–Labor Party
1924,Colorado (special),1924 United States Senate special election in Colorado,General,Candidate,False,"2,012",0.63%,Clyde Robinson,Socialist Party (United States)
1924,Colorado,1924 United States Senate election in Colorado,General,Winning,False,"159,698",50.19%,Lawrence C. Phipps ([[incumbent,Republican Party (United States)
1924,Colorado,1924 United States Senate election in Colorado,General,Candidate,False,"139,660",43.89%,Alva B. Adams,Democratic Party (United States)
1924,Colorado,1924 United States Senate election in Colorado,General,Candidate,False,"16,039",5.04%,Morton Alexander,Farmer–Labor Party
1924,Colorado,1924 United States Senate election in Colorado,General,Candidate,False,"1,575",0.50%,Elwood Hills,Socialist Party (United States)
1924,Colorado,1924 United States Senate election in Colorado,General,Candidate,False,"1,197",0.38%,James Albert Ayres,Workers Party of America
1924,Iowa,1924 U.S. Senate election in Iowa,General,Candidate,False,"1,124",0.13%,Luther Brewer,Independent Republican (United States)
1924,Iowa,1924 U.S. Senate election in Iowa,General,Candidate,False,535,0.06%,L.E. Eickelberg,Independent (politician)
1924,Iowa,1924 U.S. Senate election in Iowa,General,Total,False,"896,316",100.00%,,
1924,Kansas,1924 United States Senate election in Kansas,General,Winning,False,"428,494",70.10%,Arthur Capper ([[incumbent,Republican Party (United States)
1924,Kansas,1924 United States Senate election in Kansas,General,Candidate,False,"154,189",25.22%,James Malone,Democratic Party (United States)
1924,Kansas,1924 United States Senate election in Kansas,General,Candidate,False,"23,266",3.81%,Fred J. Fraley,Independent (politician)
1924,Kansas,1924 United States Senate election in Kansas,General,Candidate,False,"5,340",0.87%,S. O. Coble,Socialist Party of America
1924,Kansas,1924 United States Senate election in Kansas,General,Total,False,"611,290",100.00%,,
1924,Maine,1924 U.S. Senate election in Maine,General,Total,False,"246,211",100.00%,,
1924,Massachusetts,1924 U.S. Senate election in Massachusetts,General,Candidate,False,"12,716",1.13%,Antoinette F. Konikow,Workers Party of America
1924,Massachusetts,1924 U.S. Senate election in Massachusetts,General,Total,False,"1,126,504",100.00%,,
1924,Michigan,1924 U.S. Senate election in Michigan,General,Candidate,False,"3,080",0.27%,Logan M. Cunningham,Socialist Labor Party of America
1924,Michigan,1924 U.S. Senate election in Michigan,General,Total,False,"1,156,572",100.00%,,
1924,Michigan,1924 U.S. Senate election in Michigan,General,Winning,True,"839,569",75.04%,James J. Couzens,Republican Party (US)
1924,Michigan,1924 U.S. Senate election in Michigan,General,Candidate,False,"266,851",23.85%,Mortimer Elwyn Cooley,Democratic Party (US)
1924,Michigan,1924 U.S. Senate election in Michigan,General,Candidate,False,"7,452",0.67%,Frank E. Titus,Prohibition Party (United States)
1924,Michigan,1924 U.S. Senate election in Michigan,General,Candidate,False,"3,360",0.30%,Logan M. Cunningham,Socialist Labor Party of America
1924,Michigan,1924 U.S. Senate election in Michigan,General,Candidate,False,"1,555",0.14%,Albert L. Day,Socialist Party (United States)
1924,Michigan,1924 U.S. Senate election in Michigan,General,Write-in,False,16,0.00%,,
1924,Michigan,1924 U.S. Senate election in Michigan,General,Total,False,"1,118,803",100.00%,,
1924,Minnesota,General election results,General,Winning,False,"388,594",46.45%,Thomas D. Schall,Republican Party of Minnesota
1924,Minnesota,General election results,General,Candidate,True,"380,646",45.50%,Magnus Johnson,Farmer–Labor Party
1924,Minnesota,General election results,General,Candidate,False,"53,709",6.42%,[[John J. Farrell (Minnesota politician),Democratic Party of Minnesota
1924,Minnesota,General election results,General,Candidate,False,"8,620",1.03%,Merle Birmingham,Independent (United States)
1924,Minnesota,General election results,General,Candidate,False,"4,994",0.60%,Thomas Keefe,Independent (United States)
1924,Minnesota,General election results,General,Total,False,"836,563",100.00%,,
1924,Montana,"United States Senate election in Montana, 1924",General,Winning,True,"89,681",52.81%,Thomas J. Walsh,Democratic Party (US)
1924,Montana,"United States Senate election in Montana, 1924",General,Candidate,False,"72,000",42.40%,Frank Bird Linderman,Republican Party (US)
1924,Montana,"United States Senate election in Montana, 1924",General,Candidate,False,"7,370",4.34%,J. W. Anderson,Farmer–Labor Party (US)
1924,Montana,"United States Senate election in Montana, 1924",General,Candidate,False,522,0.31%,Charles F. Juttner,Socialist Party (US)
1924,Montana,"United States Senate election in Montana, 1924",General,Candidate,False,248,0.15%,Sam W. Teagarden,Independent (Montana)
1924,Nebraska,1924 United States Senate election in Nebraska,General,Winning,False,"274,647",62.56%,George W. Norris ([[incumbent,Republican Party (United States)
1924,Nebraska,1924 United States Senate election in Nebraska,General,Candidate,False,"164,370",37.44%,John J. Thomas,Democratic Party (United States)
1924,Nebraska,1924 United States Senate election in Nebraska,General,Write-in,False,14,0.00%,,
