Year,State,Election,Election_Type,Row_Type,Incumbent,candidate,party,votes,percentage
2008,Alabama,2008 United States Senate election in Alabama,General,Winning,True,Jeff Sessions,Republican Party (Alabama),"1,305,383",63.36%
2008,Alabama,2008 United States Senate election in Alabama,General,Candidate,False,Vivian Davis Figures,Democratic Party (Alabama),"752,391",36.52%
2008,Alabama,2008 United States Senate election in Alabama,General,Write-in,False,,,"2,417",0.12%
2008,Alabama,2008 United States Senate election in Alabama,General,Total,False,,,"2,060,191",100.00%
2008,Alaska,2008 United States Senate election in Alaska,General,Winning,False,Mark Begich,Democratic Party (United States),"151,767",47.77%
2008,Alaska,2008 United States Senate election in Alaska,General,Candidate,True,Ted Stevens,Republican Party (United States),"147,814",46.52%
2008,Alaska,2008 United States Senate election in Alaska,General,Candidate,False,Bob Bird,Alaskan Independence Party,"13,197",4.15%
2008,Alaska,2008 United States Senate election in Alaska,General,Candidate,False,Fredrick Haase,Alaska Libertarian Party,"2,483",0.78%
2008,Alaska,2008 United States Senate election in Alaska,General,Candidate,False,Ted Gianoutsos,Independent,"1,385",0.44%
2008,Alaska,2008 United States Senate election in Alaska,General,Write-in,False,,,"1,077",0.34%
2008,Alaska,2008 United States Senate election in Alaska,General,Total,False,,,"317,723",100.00%
2008,Arkansas,2008 United States Senate election in Arkansas,General,Winning,True,Mark Pryor,Democratic Party (Arkansas),"804,678",79.53%
2008,Arkansas,2008 United States Senate election in Arkansas,General,Candidate,False,Rebekah Kennedy,Green Party (Arkansas),"207,076",20.47%
2008,Arkansas,2008 United States Senate election in Arkansas,General,Total,False,,,"1,011,754",100.00%
2008,Colorado,2008 United States Senate election in Colorado,General,Winning,False,Mark Udall,Democratic Party (United States),"1,231,049",52.80%
2008,Colorado,2008 United States Senate election in Colorado,General,Candidate,False,Bob Schaffer,Republican Party (United States),"990,784",42.49%
2008,Colorado,2008 United States Senate election in Colorado,General,Candidate,False,Douglas Campbell,Constitution Party (United States),"59,736",2.56%
2008,Colorado,2008 United States Senate election in Colorado,General,Candidate,False,Bob Kinsey,Green Party (United States),"50,008",2.14%
2008,Colorado,2008 United States Senate election in Colorado,General,Write-in,False,,,135,0.01%
2008,Colorado,2008 United States Senate election in Colorado,General,Total,False,,,"2,331,712",100.00%
2008,Delaware,2008 United States Senate election in Delaware,General,Winning,True,Joe Biden,Democratic Party (United States),"257,539",64.69%
2008,Delaware,2008 United States Senate election in Delaware,General,Candidate,False,Christine O'Donnell,Republican Party (United States),"140,595",35.31%
2008,Delaware,2008 United States Senate election in Delaware,General,Total,False,,,"398,134",100%
2008,Georgia,2008 United States Senate general election in Georgia,General,Winning,True,Saxby Chambliss,Republican Party (United States),"1,867,097",49.76%
2008,Georgia,2008 United States Senate general election in Georgia,General,Winning,False,Jim Martin,Democratic Party (United States),"1,757,393",46.83%
2008,Georgia,2008 United States Senate general election in Georgia,General,Candidate,False,Allen Buckley,Libertarian Party (United States),"127,923",3.41%
2008,Georgia,2008 United States Senate general election in Georgia,General,Candidate,False,Eleanor Garcia (write-in),Socialist Workers Party (United States),43,0.00%
2008,Georgia,2008 United States Senate general election in Georgia,General,Candidate,False,"William Salomone, Jr. (write-in)",Independent,29,0.00%
2008,Georgia,Runoff results,General,Winning,True,Saxby Chambliss,Republican Party (United States),"1,228,033",57.44%
2008,Georgia,Runoff results,General,Candidate,False,Jim Martin,Democratic Party (United States),"909,923",42.56%
2008,Idaho,General election results,General,Winning,False,Jim Risch,Republican Party (United States),"371,744",57.65%
2008,Idaho,General election results,General,Candidate,False,Larry LaRocco,Democratic Party (United States),"219,903",34.11%
2008,Idaho,General election results,General,Candidate,False,Rex Rammell,Independent,"34,510",5.35%
2008,Idaho,General election results,General,Candidate,False,Kent Marmon,Libertarian Party (United States),"9,958",1.54%
2008,Idaho,General election results,General,Candidate,False,Pro-Life,Independent,"8,662",1.35%
2008,Idaho,General election results,General,Write-in,False,,,3,0.00%
2008,Illinois,2008 United States Senate election in Illinois,General,Winning,True,Dick Durbin,Democratic Party (United States),"3,615,844",67.84%
2008,Illinois,2008 United States Senate election in Illinois,General,Candidate,False,Steve Sauerberg,Republican Party (United States),"1,520,621",28.53%
2008,Illinois,2008 United States Senate election in Illinois,General,Candidate,False,Kathy Cummings,Green Party (United States),"119,135",2.24%
2008,Illinois,2008 United States Senate election in Illinois,General,Candidate,False,Larry A. Stafford,Libertarian Party (United States),"50,224",0.94%
2008,Illinois,2008 United States Senate election in Illinois,General,Candidate,False,Chad N. Koppie,Constitution Party (United States),"24,059",0.45%
2008,Illinois,2008 United States Senate election in Illinois,General,Total,False,,,"5,329,884",100.00%
2008,Iowa,"United States Senate election in Iowa, 2008",General,Winning,True,Tom Harkin,Democratic Party (United States),"941,665",62.66%
2008,Iowa,"United States Senate election in Iowa, 2008",General,Candidate,False,Christopher Reed,Republican Party (United States),"560,006",37.26%
2008,Iowa,"United States Senate election in Iowa, 2008",General,Write-in,False,,,"1,247",0.08%
2008,Kansas,General election results,General,Winning,True,Pat Roberts,Republican Party (United States),"727,121",60.06%
2008,Kansas,General election results,General,Candidate,False,Jim Slattery,Democratic Party (United States),"441,399",36.46%
2008,Kansas,General election results,General,Candidate,False,Randall Hodgkinson,Libertarian Party (United States),"25,727",2.12%
2008,Kansas,General election results,General,Candidate,False,Joseph L. Martin,Reform Party (United States),"16,443",1.36%
2008,Kentucky,General election results,General,Winning,True,Mitch McConnell,Republican Party (United States),"953,816",52.97%
2008,Kentucky,General election results,General,Candidate,False,Bruce Lunsford,Democratic Party (United States),"847,005",47.03%
2008,Kentucky,General election results,General,Total,False,,,"1,800,821",100.0%
2008,Louisiana,2008 United States Senate election in Louisiana,General,Winning,True,Mary Landrieu,Democratic Party (United States),"988,298",52.11%
2008,Louisiana,2008 United States Senate election in Louisiana,General,Candidate,False,John Kennedy,Republican Party (United States),"867,177",45.72%
2008,Louisiana,2008 United States Senate election in Louisiana,General,Candidate,False,Richard Fontanesi,Libertarian Party (United States),"18,590",0.98%
2008,Louisiana,2008 United States Senate election in Louisiana,General,Candidate,False,Jay Patel,Independent (United States),"13,729",0.72%
2008,Louisiana,2008 United States Senate election in Louisiana,General,Candidate,False,Robert Stewart,Independent (United States),"8,780",0.46%
2008,Maine,General election results,General,Winning,True,Susan Collins,Republican Party (United States),"444,300",61.33%
2008,Maine,General election results,General,Candidate,False,Tom Allen,Democratic Party (United States),"279,510",38.58%
2008,Maine,General election results,General,Write-in,False,,,620,0.09%
2008,Maine,General election results,General,Total,False,,,"724,430",100.00%
2008,Massachusetts,General election results,General,Winning,True,John Kerry,Democratic Party (United States),"1,971,974",65.86%
2008,Massachusetts,General election results,General,Candidate,False,Jeff Beatty,Republican Party (United States),"926,044",30.93%
2008,Massachusetts,General election results,General,Candidate,False,Robert J. Underwood,Libertarian Party (United States),"93,713",3.13%
2008,Michigan,General election results,General,Winning,True,Carl Levin,Democratic Party (United States),"3,038,386",62.66%
2008,Michigan,General election results,General,Candidate,False,Jack Hoogendyk,Republican Party (United States),"1,641,070",33.85%
2008,Michigan,General election results,General,Candidate,False,Scotty Boman,Libertarian Party (United States),"76,347",1.57%
2008,Michigan,General election results,General,Candidate,False,Harley Mikkelson,Green Party (United States),"43,440",0.90%
2008,Michigan,General election results,General,Candidate,False,Doug Dern,Natural Law Party (United States),"18,550",0.38%
2008,Minnesota,"2008 United States Senate election in Minnesota: Results certified November 18, 2008",General,Winning,True,Norm Coleman,Republican Party of Minnesota,"1,211,590",41.988%
2008,Minnesota,"2008 United States Senate election in Minnesota: Results certified November 18, 2008",General,Candidate,False,Al Franken,Minnesota Democratic–Farmer–Labor Party,"1,211,375",41.981%
2008,Minnesota,"2008 United States Senate election in Minnesota: Results certified November 18, 2008",General,Candidate,False,Dean Barkley,Independence Party (Minnesota),"437,404",15.19%
2008,Minnesota,"2008 United States Senate election in Minnesota: Results certified November 18, 2008",General,Candidate,False,Charles Aldrich,Libertarian Party (United States),"13,916",0.48%
2008,Minnesota,"2008 United States Senate election in Minnesota: Results certified November 18, 2008",General,Candidate,False,James Niemackl,Constitution Party (United States),"8,905",0.31%
2008,Minnesota,"2008 United States Senate election in Minnesota: Results certified November 18, 2008",General,Write-in,False,,,"2,365",0.08%
2008,Minnesota,"2008 United States Senate election in Minnesota: Results certified January 5, 2009",General,Winning,False,Al Franken,Minnesota Democratic–Farmer–Labor Party,"1,212,431",41.991%
2008,Minnesota,"2008 United States Senate election in Minnesota: Results certified January 5, 2009",General,Candidate,True,Norm Coleman,Republican Party of Minnesota,"1,212,206",41.984%
2008,Minnesota,"2008 United States Senate election in Minnesota: Results certified January 5, 2009",General,Candidate,False,Dean Barkley,Independence Party (Minnesota),"437,505",15.15%
2008,Minnesota,"2008 United States Senate election in Minnesota: Results certified January 5, 2009",General,Candidate,False,Charles Aldrich,Libertarian Party (United States),"13,923",0.48%
2008,Minnesota,"2008 United States Senate election in Minnesota: Results certified January 5, 2009",General,Candidate,False,James Niemackl,Constitution Party (United States),"8,907",0.31%
2008,Minnesota,"2008 United States Senate election in Minnesota: Results certified January 5, 2009",General,Write-in,False,,,"2,365",0.08%
2008,Minnesota,2008 United States Senate election in Minnesota: Certified Results after election contest,General,Winning,False,Al Franken,Minnesota Democratic–Farmer–Labor Party,"1,212,629",41.994%
2008,Minnesota,2008 United States Senate election in Minnesota: Certified Results after election contest,General,Candidate,True,Norm Coleman,Republican Party of Minnesota,"1,212,317",41.983%
2008,Minnesota,2008 United States Senate election in Minnesota: Certified Results after election contest,General,Candidate,False,Dean Barkley,Independence Party (Minnesota),"437,505",15.151%
2008,Minnesota,2008 United States Senate election in Minnesota: Certified Results after election contest,General,Candidate,False,Charles Aldrich,Libertarian Party (United States),"13,923",0.48%
2008,Minnesota,2008 United States Senate election in Minnesota: Certified Results after election contest,General,Candidate,False,James Niemackl,Constitution Party (United States),"8,907",0.31%
2008,Minnesota,2008 United States Senate election in Minnesota: Certified Results after election contest,General,Write-in,False,,,"2,365",0.08%
2008,Mississippi,2008 United States Senate election in Mississippi,General,Winning,True,Thad Cochran,Republican Party (United States),"766,111",61.44%
2008,Mississippi,2008 United States Senate election in Mississippi,General,Candidate,False,Erik Fleming,Democratic Party (United States),"480,915",38.56%
2008,Mississippi,2008 United States Senate election in Mississippi,General,Total,False,,,"1,247,026",100.00%
2008,Mississippi (special),2008 United States Senate special election in Mississippi,General,Winning,True,Roger Wicker,Nonpartisan candidate,"683,409",54.96%
2008,Mississippi (special),2008 United States Senate special election in Mississippi,General,Candidate,False,Ronnie Musgrove,Nonpartisan candidate,"560,064",45.04%
2008,Mississippi (special),2008 United States Senate special election in Mississippi,General,Total,False,,,"1,243,473",100.00%
2008,Montana,General election results,General,Winning,True,Max Baucus,Democratic Party (United States),"348,289",72.92%
2008,Montana,General election results,General,Candidate,False,Bob Kelleher,Republican Party (United States),"129,369",27.08%
2008,Montana,General election results,General,Total,False,,,"477,658",100.00%
2008,Nebraska,2008 United States Senate election in Nebraska,General,Winning,False,Mike Johanns,Republican Party (United States),"455,854",57.52%
2008,Nebraska,2008 United States Senate election in Nebraska,General,Candidate,False,Scott Kleeb,Democratic Party (United States),"317,456",40.06%
2008,Nebraska,2008 United States Senate election in Nebraska,General,Candidate,False,Kelly Rosberg,Nebraska Party,"11,438",1.44%
2008,Nebraska,2008 United States Senate election in Nebraska,General,Candidate,False,Steve Larrick,Green Party (United States),"7,763",0.98%
2008,Nebraska,2008 United States Senate election in Nebraska,General,Total,False,,,"792,511",100.00%
2008,New Hampshire,2008 United States Senate election in New Hampshire,General,Winning,False,Jeanne Shaheen,Democratic Party (United States),"358,438",51.62%
2008,New Hampshire,2008 United States Senate election in New Hampshire,General,Candidate,True,John Sununu,Republican Party (United States),"314,403",45.28%
2008,New Hampshire,2008 United States Senate election in New Hampshire,General,Candidate,False,Ken Blevens,Libertarian Party (United States),"21,516",3.10%
2008,New Hampshire,2008 United States Senate election in New Hampshire,General,Total,False,,,"694,357",100.0%
2008,New Jersey,2008 United States Senate election in New Jersey,General,Winning,True,Frank Lautenberg,Democratic Party (United States),"1,951,218",56.03%
2008,New Jersey,2008 United States Senate election in New Jersey,General,Candidate,False,Dick Zimmer,Republican Party (United States),"1,461,025",41.95%
2008,New Jersey,2008 United States Senate election in New Jersey,General,Candidate,False,Daryl Mikell Brooks,Independent (United States),"20,920",0.60%
2008,New Jersey,2008 United States Senate election in New Jersey,General,Candidate,False,Jason Scheurer,Libertarian Party (United States),"18,810",0.54%
2008,New Jersey,2008 United States Senate election in New Jersey,General,Candidate,False,J.M. Carter,Independent (United States),"15,935",0.46%
2008,New Jersey,2008 United States Senate election in New Jersey,General,Candidate,False,Jeff Boss,Independent (United States),"10,345",0.30%
2008,New Jersey,2008 United States Senate election in New Jersey,General,Candidate,False,Sara Lobman,Socialist Workers Party (United States),"9,187",0.26%
2008,New Jersey,2008 United States Senate election in New Jersey,General,Total,False,,,"3,482,445",100.00%
2008,New Mexico,2008 United States Senate election in New Mexico,General,Winning,False,Tom Udall,Democratic Party (United States),"505,128",61.33%
2008,New Mexico,2008 United States Senate election in New Mexico,General,Candidate,False,Steve Pearce,Republican Party (United States),"318,522",38.67%
2008,New Mexico,2008 United States Senate election in New Mexico,General,Total,False,,,"823,650",100.00%
2008,North Carolina,2008 United States Senate election in North Carolina,General,Winning,False,Kay Hagan,Democratic Party (United States),"2,249,311",52.65%
2008,North Carolina,2008 United States Senate election in North Carolina,General,Candidate,True,Elizabeth Dole,Republican Party (United States),"1,887,510",44.18%
2008,North Carolina,2008 United States Senate election in North Carolina,General,Candidate,False,Chris Cole,Libertarian Party (United States),"133,430",3.17%
2008,North Carolina,2008 United States Senate election in North Carolina,General,Write-in,False,,,"1,719",0.0%
2008,North Carolina,2008 United States Senate election in North Carolina,General,Total,False,,,"4,271,970",100.00%
2008,Oklahoma,"United States Senate election in Oklahoma, 2008",General,Winning,True,Jim Inhofe,Republican Party (United States),"763,375",56.68%
2008,Oklahoma,"United States Senate election in Oklahoma, 2008",General,Candidate,False,Andrew Rice,Democratic Party (United States),"527,736",39.18%
