Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
2013,Massachusetts (special),2013 U.S. Senate special election in Massachusetts,General,Winning,False,Democratic Party (United States),Ed Markey,"645,429",54.80%
2013,Massachusetts (special),2013 U.S. Senate special election in Massachusetts,General,Candidate,False,Republican Party (United States),Gabriel Gomez,"525,307",44.60%
2013,Massachusetts (special),2013 U.S. Senate special election in Massachusetts,General,Write-in,False,,,"2,504",0.21%
2013,Massachusetts (special),2013 U.S. Senate special election in Massachusetts,General,Total,False,,,"1,177,790",100.00%
2013,New Jersey (special),"United States Senate special election in New Jersey, 2013",General,Winning,False,Democratic Party (United States),Cory Booker,"740,742",54.92%
2013,New Jersey (special),"United States Senate special election in New Jersey, 2013",General,Candidate,False,Republican Party (United States),Steve Lonegan,"593,684",44.02%
2013,New Jersey (special),"United States Senate special election in New Jersey, 2013",General,Candidate,False,Independent (United States),Edward C. Stackhouse Jr.,"5,138",0.38%
2013,New Jersey (special),"United States Senate special election in New Jersey, 2013",General,Candidate,False,Independent (United States),Robert Depasquale,"3,137",0.23%
2013,New Jersey (special),"United States Senate special election in New Jersey, 2013",General,Candidate,False,Independent (United States),Stuart Meissner,"2,051",0.15%
2013,New Jersey (special),"United States Senate special election in New Jersey, 2013",General,Candidate,False,Independent (United States),Pablo Olivera,"1,530",0.11%
2013,New Jersey (special),"United States Senate special election in New Jersey, 2013",General,Candidate,False,Independent (United States),Antonio Nico Sabas,"1,336",0.10%
2013,New Jersey (special),"United States Senate special election in New Jersey, 2013",General,Candidate,False,Independent (United States),Eugene M. LaVergne,"1,041",0.08%
2013,New Jersey (special),"United States Senate special election in New Jersey, 2013",General,Total,False,,,"1,348,659",100.00%
