Year,State,Election,Election_Type,Row_Type,Incumbent,candidate,party,votes,percentage,name
2020,Alabama,2020 United States Senate election in Alabama,General,Winning,False,Tommy Tuberville,Republican Party (United States),"1,392,076",60.10%,
2020,Alabama,2020 United States Senate election in Alabama,General,Candidate,False,Doug Jones,Democratic Party (United States),"920,478",39.74%,
2020,Alabama,2020 United States Senate election in Alabama,General,Write-in,False,,,"3,891",0.17%,
2020,Alabama,2020 United States Senate election in Alabama,General,Total,False,,,"2,316,445",100.00%,
2020,Alaska,2020 United States Senate election in Alaska,General,Winning,False,Dan Sullivan,Republican Party (United States),"191,112",53.90%,
2020,Alaska,2020 United States Senate election in Alaska,General,Candidate,False,Al Gross,Independent (politician),"146,068",41.19%,Gross}}
2020,Alaska,2020 United States Senate election in Alaska,General,Candidate,False,John Howe,Alaskan Independence Party,"16,806",4.74%,
2020,Alaska,2020 United States Senate election in Alaska,General,Write-in,False,,,601,0.17%,
2020,Alaska,2020 United States Senate election in Alaska,General,Total,False,,,"354,587",100.0%,
2020,Arizona (special),2020 United States Senate Special election in Arizona,General,Winning,False,Mark Kelly,Democratic Party (United States),"1,716,467",51.16%,
2020,Arizona (special),2020 United States Senate Special election in Arizona,General,Candidate,True,Martha McSally,Republican Party (United States),"1,637,661",48.81%,
2020,Arizona (special),2020 United States Senate Special election in Arizona,General,Write-in,False,,,"1,189",0.03%,
2020,Arizona (special),2020 United States Senate Special election in Arizona,General,Total,False,,,"3,355,317",100.0%,
2020,Arkansas,2020 United States Senate election in Arkansas,General,Winning,True,Tom Cotton,Republican Party (United States),"793,871",66.53%,
2020,Arkansas,2020 United States Senate election in Arkansas,General,Candidate,False,Ricky Dale Harrington Jr.,Libertarian Party (United States),"399,390",33.47%,
2020,Arkansas,2020 United States Senate election in Arkansas,General,Total,False,,,"1,193,261",100.00%,
2020,Colorado,"United States Senate election in Colorado, 2020",General,Winning,False,John Hickenlooper,Democratic Party (United States),"1,731,114",53.50%,
2020,Colorado,"United States Senate election in Colorado, 2020",General,Candidate,True,Cory Gardner,Republican Party (United States),"1,429,492",44.18%,
2020,Colorado,"United States Senate election in Colorado, 2020",General,Candidate,False,Raymon Doane,Libertarian Party (United States),"56,262",1.74%,
2020,Colorado,"United States Senate election in Colorado, 2020",General,Candidate,False,Daniel Doyle,Approval Voting Party,"9,820",0.30%,
2020,Colorado,"United States Senate election in Colorado, 2020",General,Candidate,False,Stephen Evans,Unity Party of America,"8,971",0.28%,
2020,Colorado,"United States Senate election in Colorado, 2020",General,Total,False,,,"3,235,659",100.00%,
2020,Delaware,"United States Senate election in Delaware, 2020",General,Winning,True,Chris Coons,Democratic Party (United States),"291,804",59.44%,
2020,Delaware,"United States Senate election in Delaware, 2020",General,Candidate,False,Lauren Witzke,Republican Party (United States),"186,054",37.90%,
2020,Delaware,"United States Senate election in Delaware, 2020",General,Candidate,False,Mark Turley,Independent Party of Delaware,"7,833",1.59%,
2020,Delaware,"United States Senate election in Delaware, 2020",General,Candidate,False,Nadine Frost,Libertarian Party (United States),"5,244",1.07%,
2020,Delaware,"United States Senate election in Delaware, 2020",General,Total,False,,,"490,935",100.0%,
2020,Idaho,"United States Senate election in Idaho, 2020",General,Winning,True,Jim Risch,Republican Party (United States),"538,446",62.62%,
2020,Idaho,"United States Senate election in Idaho, 2020",General,Candidate,False,Paulette Jordan,Democratic Party (United States),"285,864",33.25%,
2020,Idaho,"United States Senate election in Idaho, 2020",General,Candidate,False,Natalie Fleming,Independent,"25,329",2.95%,
2020,Idaho,"United States Senate election in Idaho, 2020",General,Candidate,False,Ray Writz,Constitution Party (United States),"10,188",1.18%,
2020,Idaho,"United States Senate election in Idaho, 2020",General,Total,False,,,"859,827",100.0%,
2020,Illinois,"United States Senate election in Illinois, 2020",General,Winning,True,Dick Durbin,Democratic Party (United States),"3,278,930",54.93%,
2020,Illinois,"United States Senate election in Illinois, 2020",General,Candidate,False,Mark Curran,Republican Party (United States),"2,319,870",38.87%,
2020,Illinois,"United States Senate election in Illinois, 2020",General,Candidate,False,Danny Malouf,Libertarian Party (United States),"75,673",1.27%,
2020,Illinois,"United States Senate election in Illinois, 2020",General,Candidate,False,David Black,Green Party (United States),"56,711",0.95%,
2020,Illinois,"United States Senate election in Illinois, 2020",General,Write-in,False,,,18,0.00%,
2020,Illinois,"United States Senate election in Illinois, 2020",General,Total,False,,,"5,968,901",100.0%,
2020,Iowa,2020 United States Senate election in Iowa,General,Winning,True,Joni Ernst,Republican Party (United States),"864,997",51.74%,
2020,Iowa,2020 United States Senate election in Iowa,General,Candidate,False,Theresa Greenfield,Democratic Party (United States),"754,859",45.15%,
2020,Iowa,2020 United States Senate election in Iowa,General,Candidate,False,Rick Stewart,Libertarian Party (United States),"36,961",2.21%,
2020,Iowa,2020 United States Senate election in Iowa,General,Candidate,False,Suzanne Herzog,Independent,"13,800",0.83%,
2020,Iowa,2020 United States Senate election in Iowa,General,Write-in,False,,,"1,211",0.07%,
2020,Iowa,2020 United States Senate election in Iowa,General,Total,False,,,"1,671,828",100.0%,
2020,Kansas,"United States Senate election in Kansas, 2020",General,Winning,False,Roger Marshall,Republican Party (United States),"727,962",53.22%,
2020,Kansas,"United States Senate election in Kansas, 2020",General,Candidate,False,Barbara Bollier,Democratic Party (United States),"571,530",41.79%,
2020,Kansas,"United States Senate election in Kansas, 2020",General,Candidate,False,Jason Buckley,Libertarian Party (United States),"68,263",4.99%,
2020,Kansas,"United States Senate election in Kansas, 2020",General,Total,False,,,"1,367,755",100.0%,
2020,Kentucky,2020 United States Senate election in Kentucky,General,Winning,True,Mitch McConnell,Republican Party (United States),"1,233,315",57.76%,
2020,Kentucky,2020 United States Senate election in Kentucky,General,Candidate,False,Amy McGrath,Democratic Party (United States),"816,257",38.23%,
2020,Kentucky,2020 United States Senate election in Kentucky,General,Candidate,False,Brad Barron,Libertarian Party (United States),"85,386",4.00%,
2020,Kentucky,2020 United States Senate election in Kentucky,General,Write-in,False,,,99,0.01%,
2020,Kentucky,2020 United States Senate election in Kentucky,General,Total,False,,,"2,135,057",100.00%,
2020,Maine,"United States Senate election in Maine, 2020",General,Winning,True,Susan Collins,Republican Party (United States),"417,645",50.98%,
2020,Maine,"United States Senate election in Maine, 2020",General,Candidate,False,Sara Gideon,Democratic Party (United States),"347,223",42.39%,
2020,Maine,"United States Senate election in Maine, 2020",General,Candidate,False,Lisa Savage,Independent,"40,579",4.95%,
2020,Maine,"United States Senate election in Maine, 2020",General,Candidate,False,Max Linn,Independent,"13,508",1.65%,
2020,Maine,"United States Senate election in Maine, 2020",General,Write-in,False,,,228,0.03%,
2020,Maine,"United States Senate election in Maine, 2020",General,Total,False,,,"819,183",100.0%,
2020,Massachusetts,"United States Senate election in Massachusetts, 2020",General,Winning,True,Ed Markey,Democratic Party (United States),"2,357,809",66.15%,
2020,Massachusetts,"United States Senate election in Massachusetts, 2020",General,Candidate,False,Kevin O'Connor,Republican Party (United States),"1,177,765",33.05%,
2020,Massachusetts,"United States Senate election in Massachusetts, 2020",General,Candidate,False,Shiva Ayyadurai (write-in),Independent,"21,134",0.59%,
2020,Massachusetts,"United States Senate election in Massachusetts, 2020",General,Write-in,False,,,"7,428",0.21%,
2020,Massachusetts,"United States Senate election in Massachusetts, 2020",General,Total,False,,,"3,564,136",100.0%,
2020,Michigan,2020 United States Senate election in Michigan,General,Winning,True,Gary Peters,Democratic Party (United States),"2,734,568",49.90%,
2020,Michigan,2020 United States Senate election in Michigan,General,Candidate,False,John James,Republican Party (United States),"2,642,233",48.22%,
2020,Michigan,2020 United States Senate election in Michigan,General,Candidate,False,Valerie Willis,US Taxpayers Party,"50,597",0.92%,
2020,Michigan,2020 United States Senate election in Michigan,General,Candidate,False,Marcia Squier,Green Party (United States),"39,217",0.72%,
2020,Michigan,2020 United States Senate election in Michigan,General,Candidate,False,Doug Dern,Natural Law Party (United States),"13,093",0.24%,
2020,Michigan,2020 United States Senate election in Michigan,General,Write-in,False,,,12,0.00%,
2020,Michigan,2020 United States Senate election in Michigan,General,Total,False,,,"5,479,720",100.0%,
2020,Minnesota,2020 United States Senate election in Minnesota,General,Winning,True,Tina Smith,Minnesota Democratic-Farmer-Labor Party,"1,566,522",48.74%,
2020,Minnesota,2020 United States Senate election in Minnesota,General,Candidate,False,Jason Lewis,Republican Party (United States),"1,398,145",43.50%,
2020,Minnesota,2020 United States Senate election in Minnesota,General,Candidate,False,Kevin O'Connor,Legal Marijuana Now Party,"190,154",5.91%,
2020,Minnesota,2020 United States Senate election in Minnesota,General,Candidate,False,Oliver Steinberg,Grassroots–Legalize Cannabis Party,"57,174",1.78%,
2020,Minnesota,2020 United States Senate election in Minnesota,General,Write-in,False,,,"2,261",0.07%,
