Year,State,Primary_Type,Poll_Source,Date,Sample,MoE,Candidate,Party,Pct,Incumbent
1978,New Jersey,Democratic Primary,Rutgers-Eagleton,"May 7–16, 1978",LV,,Bill Bradley,D,16%,False
1978,New Jersey,Democratic Primary,Associated Press,May 1978,700 (RV),,Bill Bradley,D,37%,False
1978,New Jersey,Democratic Primary,Rutgers-Eagleton,"May 7–16, 1978",LV,,Richard Leone,D,12%,False
1978,New Jersey,Democratic Primary,Associated Press,May 1978,700 (RV),,Richard Leone,D,9%,False
1978,New Jersey,Democratic Primary,Rutgers-Eagleton,"May 7–16, 1978",LV,,Alexander Menza,D,3%,False
1978,New Jersey,Democratic Primary,Associated Press,May 1978,700 (RV),,Alexander Menza,D,3%,False
1978,New Jersey,Republican Primary,Rutgers-Eagleton,"May 7–16, 1978",LV,,Jeff Bell,R,8%,False
1978,New Jersey,Republican Primary,Associated Press,May 1978,700 (RV),,Jeff Bell,R,14%,False
1978,New Jersey,Republican Primary,Rutgers-Eagleton,"May 7–16, 1978",LV,,Clifford Case,R,43%,False
1978,New Jersey,Republican Primary,Associated Press,May 1978,700 (RV),,Clifford Case,R,50%,False
