Year,State,Primary_Type,Poll_Source,Date,Date_Start,Date_End,Sample,MoE,Candidate,Party,Pct,Incumbent,Date_Original
2006,Florida,Republican Primary,Strategic Vision,2006-07-26,2006-07-26,2006-07-26,,,LeRoy Collins Jr.,R,9%,False,"July 26, 2006"
2006,Florida,Republican Primary,Mason-Dixon,2006-07-26,2006-07-26,2006-07-26,,,LeRoy Collins Jr.,R,8%,False,"July 26, 2006"
2006,Florida,Republican Primary,Quinnipiac,2006-07-27,2006-07-27,2006-07-27,,,LeRoy Collins Jr.,R,6%,False,"July 27, 2006"
2006,Florida,Republican Primary,Scroth Eldon & Associates,2006-08-11,2006-08-11,2006-08-11,,,LeRoy Collins Jr.,R,9%,False,"August 11, 2006"
2006,Florida,Republican Primary,SurveyUSA,2006-08-24,2006-08-24,2006-08-24,,,LeRoy Collins Jr.,R,20%,False,"August 24, 2006"
2006,Florida,Republican Primary,SurveyUSA,2006-08-30,2006-08-30,2006-08-30,,,LeRoy Collins Jr.,R,19%,False,"August 30, 2006"
2006,Florida,Republican Primary,Quinnipiac,2006-08-31,2006-08-31,2006-08-31,,,LeRoy Collins Jr.,R,11%,False,"August 31, 2006"
2006,Florida,Republican Primary,SurveyUSA,2006-08-31,2006-08-31,2006-08-31,,,LeRoy Collins Jr.,R,12%,False,"August 31, 2006"
2006,Florida,Republican Primary,Mason-Dixon,2006-09-02,2006-09-02,2006-09-02,,,LeRoy Collins Jr.,R,17%,False,"September 2, 2006"
2006,Florida,Republican Primary,Mason-Dixon,2006-09-05,2006-09-05,2006-09-05,,,LeRoy Collins Jr.,R,15%,False,"September 5, 2006"
2006,Florida,Republican Primary,Strategic Vision,2006-07-26,2006-07-26,2006-07-26,,,Katherine Harris,R,45%,False,"July 26, 2006"
2006,Florida,Republican Primary,Mason-Dixon,2006-07-26,2006-07-26,2006-07-26,,,Katherine Harris,R,36%,False,"July 26, 2006"
2006,Florida,Republican Primary,Quinnipiac,2006-07-27,2006-07-27,2006-07-27,,,Katherine Harris,R,40%,False,"July 27, 2006"
2006,Florida,Republican Primary,Scroth Eldon & Associates,2006-08-11,2006-08-11,2006-08-11,,,Katherine Harris,R,28%,False,"August 11, 2006"
2006,Florida,Republican Primary,SurveyUSA,2006-08-24,2006-08-24,2006-08-24,,,Katherine Harris,R,43%,False,"August 24, 2006"
2006,Florida,Republican Primary,SurveyUSA,2006-08-30,2006-08-30,2006-08-30,,,Katherine Harris,R,38%,False,"August 30, 2006"
2006,Florida,Republican Primary,Quinnipiac,2006-08-31,2006-08-31,2006-08-31,,,Katherine Harris,R,38%,False,"August 31, 2006"
2006,Florida,Republican Primary,SurveyUSA,2006-08-31,2006-08-31,2006-08-31,,,Katherine Harris,R,45%,False,"August 31, 2006"
2006,Florida,Republican Primary,Mason-Dixon,2006-09-02,2006-09-02,2006-09-02,,,Katherine Harris,R,38%,False,"September 2, 2006"
2006,Florida,Republican Primary,Mason-Dixon,2006-09-05,2006-09-05,2006-09-05,,,Katherine Harris,R,49%,False,"September 5, 2006"
2006,Florida,Republican Primary,Strategic Vision,2006-07-26,2006-07-26,2006-07-26,,,Will McBride,R,22%,False,"July 26, 2006"
2006,Florida,Republican Primary,Mason-Dixon,2006-07-26,2006-07-26,2006-07-26,,,Will McBride,R,11%,False,"July 26, 2006"
2006,Florida,Republican Primary,Quinnipiac,2006-07-27,2006-07-27,2006-07-27,,,Will McBride,R,21%,False,"July 27, 2006"
2006,Florida,Republican Primary,Scroth Eldon & Associates,2006-08-11,2006-08-11,2006-08-11,,,Will McBride,R,11%,False,"August 11, 2006"
2006,Florida,Republican Primary,SurveyUSA,2006-08-24,2006-08-24,2006-08-24,,,Will McBride,R,15%,False,"August 24, 2006"
2006,Florida,Republican Primary,SurveyUSA,2006-08-30,2006-08-30,2006-08-30,,,Will McBride,R,21%,False,"August 30, 2006"
2006,Florida,Republican Primary,Quinnipiac,2006-08-31,2006-08-31,2006-08-31,,,Will McBride,R,22%,False,"August 31, 2006"
2006,Florida,Republican Primary,SurveyUSA,2006-08-31,2006-08-31,2006-08-31,,,Will McBride,R,22%,False,"August 31, 2006"
2006,Florida,Republican Primary,Mason-Dixon,2006-09-02,2006-09-02,2006-09-02,,,Will McBride,R,21%,False,"September 2, 2006"
2006,Florida,Republican Primary,Mason-Dixon,2006-09-05,2006-09-05,2006-09-05,,,Will McBride,R,30%,False,"September 5, 2006"
2006,Florida,Republican Primary,Strategic Vision,2006-07-26,2006-07-26,2006-07-26,,,Peter Monroe,R,7%,False,"July 26, 2006"
2006,Florida,Republican Primary,Mason-Dixon,2006-07-26,2006-07-26,2006-07-26,,,Peter Monroe,R,2%,False,"July 26, 2006"
2006,Florida,Republican Primary,Quinnipiac,2006-07-27,2006-07-27,2006-07-27,,,Peter Monroe,R,3%,False,"July 27, 2006"
2006,Florida,Republican Primary,Scroth Eldon & Associates,2006-08-11,2006-08-11,2006-08-11,,,Peter Monroe,R,5%,False,"August 11, 2006"
2006,Florida,Republican Primary,SurveyUSA,2006-08-24,2006-08-24,2006-08-24,,,Peter Monroe,R,7%,False,"August 24, 2006"
2006,Florida,Republican Primary,SurveyUSA,2006-08-30,2006-08-30,2006-08-30,,,Peter Monroe,R,5%,False,"August 30, 2006"
2006,Florida,Republican Primary,Quinnipiac,2006-08-31,2006-08-31,2006-08-31,,,Peter Monroe,R,3%,False,"August 31, 2006"
2006,Florida,Republican Primary,SurveyUSA,2006-08-31,2006-08-31,2006-08-31,,,Peter Monroe,R,5%,False,"August 31, 2006"
2006,Florida,Republican Primary,Mason-Dixon,2006-09-02,2006-09-02,2006-09-02,,,Peter Monroe,R,2%,False,"September 2, 2006"
2006,Florida,Republican Primary,Mason-Dixon,2006-09-05,2006-09-05,2006-09-05,,,Peter Monroe,R,5%,False,"September 5, 2006"
2006,Hawaii,Democratic Primary,QMark Research & Polling,2006-05-15,2006-05-15,2006-05-15,,,Daniel Akaka,D,40%,True,"May 15, 2006"
