Year,State,Primary_Type,Poll_Source,Date,Sample,MoE,Candidate,Party,Pct,Incumbent
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,March 1938,,,Alben Barkley,D,69%,True
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,April 1938,,,Alben Barkley,D,67%,True
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,May 1938,,,Alben Barkley,D,65%,True
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,"July 8, 1938",,,Alben Barkley,D,64%,True
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,"July 24, 1938",,,Alben Barkley,D,61%,True
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,"August 5, 1938",,,Alben Barkley,D,59%,True
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,March 1938,,,Happy Chandler,D,31%,False
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,April 1938,,,Happy Chandler,D,33%,False
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,May 1938,,,Happy Chandler,D,35%,False
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,"July 8, 1938",,,Happy Chandler,D,36%,False
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,"July 24, 1938",,,Happy Chandler,D,39%,False
1938,Kentucky,Democratic Primary,American Institute of Public Opinion,"August 5, 1938",,,Happy Chandler,D,41%,False
1938,South Carolina,single_party,American Institute of Public Opinion,"August 29, 1938",,,Edgar Allan Brown,D,13%,False
1938,South Carolina,single_party,American Institute of Public Opinion,"August 29, 1938",,,Olin Johnston,D,36%,False
1938,South Carolina,single_party,American Institute of Public Opinion,"August 29, 1938",,,Ellison Smith,D,51%,False
1978,New Jersey,Democratic Primary,Rutgers-Eagleton,"May 7–16, 1978",LV,,Bill Bradley,D,16%,False
1978,New Jersey,Democratic Primary,Associated Press,May 1978,700 (RV),,Bill Bradley,D,37%,False
1978,New Jersey,Democratic Primary,Rutgers-Eagleton,"May 7–16, 1978",LV,,Richard Leone,D,12%,False
1978,New Jersey,Democratic Primary,Associated Press,May 1978,700 (RV),,Richard Leone,D,9%,False
1978,New Jersey,Democratic Primary,Rutgers-Eagleton,"May 7–16, 1978",LV,,Alexander Menza,D,3%,False
1978,New Jersey,Democratic Primary,Associated Press,May 1978,700 (RV),,Alexander Menza,D,3%,False
1978,New Jersey,Republican Primary,Rutgers-Eagleton,"May 7–16, 1978",LV,,Jeff Bell,R,8%,False
1978,New Jersey,Republican Primary,Associated Press,May 1978,700 (RV),,Jeff Bell,R,14%,False
1978,New Jersey,Republican Primary,Rutgers-Eagleton,"May 7–16, 1978",LV,,Clifford Case,R,43%,False
1978,New Jersey,Republican Primary,Associated Press,May 1978,700 (RV),,Clifford Case,R,50%,False
1988,Mississippi,Republican Primary,The Clarion-Ledger,"October 31 – November 2, 1988",817 LV,±3.5%,Trent Lott <small></small>,R,48%,False
1988,Mississippi,Republican Primary,The Clarion-Ledger,"October 31 – November 2, 1988",817 LV,±3.5%,Wayne Dowdy <small></small>,R,34%,False
1988,New Jersey,Republican Primary,The Star-Ledger,"September 16–22, 1988",765 LV,±3.5%,Frank Lautenberg,D,48%,True
1988,New Jersey,Republican Primary,The Star-Ledger,"October 17–25, 1988",774 RV,±3.5%,Frank Lautenberg,D,46%,True
1988,New Jersey,Republican Primary,The Star-Ledger,"November 3–6, 1988","1,183 RV",±2.9%,Frank Lautenberg,D,46%,True
1988,New Jersey,Republican Primary,The Star-Ledger,"September 16–22, 1988",765 LV,±3.5%,Pete Dawkins,R,28%,False
1988,New Jersey,Republican Primary,The Star-Ledger,"October 17–25, 1988",774 RV,±3.5%,Pete Dawkins,R,34%,False
1988,New Jersey,Republican Primary,The Star-Ledger,"November 3–6, 1988","1,183 RV",±2.9%,Pete Dawkins,R,35%,False
1990,New Jersey,Republican Primary,Rutgers-Eagleton,"July 2–10, 1990",616 LV,±4.0%,Bill Bradley,D,64%,True
1990,New Jersey,Republican Primary,Rutgers-Eagleton,"October 16–22, 1990",532 LV,±4.5%,Bill Bradley,D,62%,True
1990,New Jersey,Republican Primary,Rutgers-Eagleton,"October 27–31, 1990",987 LV,±3.2%,Bill Bradley,D,55%,True
1990,New Jersey,Republican Primary,Rutgers-Eagleton,"July 2–10, 1990",616 LV,±4.0%,Christine Whitman,R,17%,False
1990,New Jersey,Republican Primary,Rutgers-Eagleton,"October 16–22, 1990",532 LV,±4.5%,Christine Whitman,R,26%,False
1990,New Jersey,Republican Primary,Rutgers-Eagleton,"October 27–31, 1990",987 LV,±3.2%,Christine Whitman,R,27%,False
2002,Texas,Democratic Primary,Zogby International,"November 3–4, 2002",,,John Cornyn,R,50%,False
2002,Texas,Democratic Primary,Zogby International,"October 30 – November 2, 2002",,± 4.5%,John Cornyn,R,49%,False
2002,Texas,Democratic Primary,University of Houston,Late–October 2002,656 (LV),± 3.6%,John Cornyn,R,45%,False
2002,Texas,Democratic Primary,Scripps-Howard,"October 7–29, 2002","1,000 (A)",± 4.3%,John Cornyn,R,44%,False
2002,Texas,Democratic Primary,KXAS-TV,"October 21–27, 2002",550 (LV),± 4.3%,John Cornyn,R,43%,False
2002,Texas,Democratic Primary,KXAS-TV,"October 15–20, 2002",600 (LV),± 4.1%,John Cornyn,R,46%,False
2002,Texas,Democratic Primary,KXAS-TV,"October 8–13, 2002",600 (LV),± 4.1%,John Cornyn,R,46%,False
2002,Texas,Democratic Primary,Zogby International,"October 9–11, 2002",,,John Cornyn,R,45%,False
2002,Texas,Democratic Primary,KXAS-TV,"September 30 – October 6, 2002",600 (LV),± 4.1%,John Cornyn,R,56%,False
2002,Texas,Democratic Primary,RealClearPolitics,"September 22–24, 2002",,± 3.6,John Cornyn,R,35%,False
2002,Texas,Democratic Primary,Zogby International,"September 17–18, 2002",,,John Cornyn,R,42%,False
2002,Texas,Democratic Primary,University of Houston,"September 3–15, 2002",879 (LV),± 4.1%,John Cornyn,R,42%,False
2002,Texas,Democratic Primary,Scripps-Howard,"August 7–27, 2002",756 (LV),± 3.5%,John Cornyn,R,37%,False
2002,Texas,Democratic Primary,Scripps-Howard,"July 31 – August 7, 2002",,,John Cornyn,R,46%,False
2002,Texas,Democratic Primary,University of Houston,"June 20–29, 2002",739 (LV),± 3.5%,John Cornyn,R,28%,False
2002,Texas,Democratic Primary,Scripps-Howard,"May 20 – June 9, 2002",668 (LV),± 3.8%,John Cornyn,R,35%,False
2002,Texas,Democratic Primary,The Texas Tribune,"May 7–13, 2002","1,066 (LV)",± 3.0%,John Cornyn,R,46%,False
2002,Texas,Democratic Primary,Zogby International,"November 3–4, 2002",,,Ron Kirk,D,46%,False
2002,Texas,Democratic Primary,Zogby International,"October 30 – November 2, 2002",,± 4.5%,Ron Kirk,D,48%,False
2002,Texas,Democratic Primary,University of Houston,Late–October 2002,656 (LV),± 3.6%,Ron Kirk,D,39%,False
2002,Texas,Democratic Primary,Scripps-Howard,"October 7–29, 2002","1,000 (A)",± 4.3%,Ron Kirk,D,35%,False
2002,Texas,Democratic Primary,KXAS-TV,"October 21–27, 2002",550 (LV),± 4.3%,Ron Kirk,D,40%,False
2002,Texas,Democratic Primary,KXAS-TV,"October 15–20, 2002",600 (LV),± 4.1%,Ron Kirk,D,36%,False
2002,Texas,Democratic Primary,KXAS-TV,"October 8–13, 2002",600 (LV),± 4.1%,Ron Kirk,D,36%,False
2002,Texas,Democratic Primary,Zogby International,"October 9–11, 2002",,,Ron Kirk,D,37%,False
2002,Texas,Democratic Primary,KXAS-TV,"September 30 – October 6, 2002",600 (LV),± 4.1%,Ron Kirk,D,30%,False
2002,Texas,Democratic Primary,RealClearPolitics,"September 22–24, 2002",,± 3.6,Ron Kirk,D,39%,False
2002,Texas,Democratic Primary,Zogby International,"September 17–18, 2002",,,Ron Kirk,D,30%,False
2002,Texas,Democratic Primary,University of Houston,"September 3–15, 2002",879 (LV),± 4.1%,Ron Kirk,D,36%,False
