Year,State,Election,Election_Type,Row_Type,Incumbent,candidate,party,votes,percentage
1930,Alabama,1930 U.S. Senate election in Alabama: Democratic primary,Primary,Winning,False,John H. Bankhead II,Democratic Party (US),"102,462",63.93%
1930,Alabama,1930 U.S. Senate election in Alabama: Democratic primary,Primary,Candidate,False,Fred I. Thompson,Democratic Party (US),"57,809",36.07%
1930,Alabama,1930 U.S. Senate election in Alabama: Democratic primary,Primary,Total,False,,,"160,271",100.00%
1930,Arkansas,1930 Democratic U.S. Senate primary,Primary,Winning,True,Joseph T. Robinson,Democratic Party (United States),"167,167",76.59%
1930,Arkansas,1930 Democratic U.S. Senate primary,Primary,Candidate,False,Tom W. Campbell,Democratic Party (United States),"51,085",23.41%
1930,Arkansas,1930 Democratic U.S. Senate primary,Primary,Total,False,,,"218,252",100.00%
1930,Colorado,Democratic primary results,Primary,Winning,False,Edward P. Costigan,Democratic Party (United States),"24,698",51.61
1930,Colorado,Democratic primary results,Primary,Candidate,False,Morrison Shafroth,Democratic Party (United States),"15,819",33.06
1930,Colorado,Democratic primary results,Primary,Candidate,False,James A. Marsh,Democratic Party (United States),"7,337",15.33
1930,Colorado,Democratic primary results,Primary,Total,False,,,"47,854",100.00
1930,Colorado,Republican primary results,Primary,Winning,False,George H. Shaw,Republican Party (United States),"63,112",56.27
1930,Colorado,Republican primary results,Primary,Candidate,False,William V. Hodges,Republican Party (United States),"49,043",43.73
1930,Colorado,Republican primary results,Primary,Total,False,,,"112,155",100.00
1930,Illinois,Democratic primary,Primary,Winning,False,James Hamilton Lewis,Democratic Party (United States),"247,420",75.59
1930,Illinois,Democratic primary,Primary,Candidate,False,James O. Monroe,Democratic Party (United States),"24,390",7.45
1930,Illinois,Democratic primary,Primary,Candidate,False,James H. Kirby,Democratic Party (United States),"23,014",7.03
1930,Illinois,Democratic primary,Primary,Candidate,False,Louis Warner,Democratic Party (United States),"19,619",5.99
1930,Illinois,Democratic primary,Primary,Candidate,False,Harold M. Beach,Democratic Party (United States),"12,868",3.93
1930,Illinois,Democratic primary,Primary,Candidate,False,Others,Write-in,1,0.00
1930,Illinois,Democratic primary,Primary,Total,False,,,"327,312",100
1930,Illinois,Republican primary,Primary,Winning,False,Ruth Hanna McCormick,Republican Party (United States),"714,606",50.66
1930,Illinois,Republican primary,Primary,Candidate,True,Charles S. Deneen,Republican Party (United States),"496,412",35.19
1930,Illinois,Republican primary,Primary,Candidate,False,Newton Jenkins,Republican Party (United States),"161,261",11.43
1930,Illinois,Republican primary,Primary,Candidate,False,Abe Lincoln Wisler,Republican Party (United States),"19,778",1.40
1930,Illinois,Republican primary,Primary,Candidate,False,Adelbert McPherson,Republican Party (United States),"18,582",1.32
1930,Illinois,Republican primary,Primary,Total,False,,,"1,410,639",100
1930,Kansas,Democratic primary results,Primary,Winning,False,Jonathan M. Davis,Democratic Party (United States),"47,685",100.00%
1930,Kansas,Democratic primary results,Primary,Total,False,,,"47,685",100.00%
1930,Kansas,Republican primary results,Primary,Winning,False,Arthur Capper (inc.),Republican Party (United States),"231,496",100.00%
1930,Kansas,Republican primary results,Primary,Total,False,,,"231,496",100.00%
1930,Louisiana,1930 United States Senate Democratic primary,Primary,Winning,False,Huey Long,Democratic Party (United States),"149,640",57.31%
1930,Louisiana,1930 United States Senate Democratic primary,Primary,Candidate,True,Joseph E. Ransdell,Democratic Party (United States),"111,451",42.69%
1930,Louisiana,1930 United States Senate Democratic primary,Primary,Total,False,,,"261,091",100.00%
1930,Maine,1930 Republican U.S. Senate primary,Primary,Winning,False,Wallace H. White Jr.,Republican Party (United States),"46,904",50.17%
1930,Maine,1930 Republican U.S. Senate primary,Primary,Candidate,False,Owen Brewster,Republican Party (United States),"39,489",42.24%
1930,Maine,1930 Republican U.S. Senate primary,Primary,Candidate,False,Dugald Dewar,Republican Party (United States),"7,098",7.59%
1930,Maine,1930 Republican U.S. Senate primary,Primary,Total,False,,,"89,183",100.00%
1930,Maine,1930 Democratic U.S. Senate primary,Primary,Winning,False,Frank H. Haskell,Democratic Party (United States),"25,598",99.57%
1930,Maine,1930 Democratic U.S. Senate primary,Primary,Total,False,,,"25,598",100.00%
1930,Massachusetts,Republican primary,Primary,Winning,False,William M. Butler,Republican Party (US),"163,336",47.61%
1930,Massachusetts,Republican primary,Primary,Candidate,False,Eben S. Draper Jr.,Republican Party (US),"156,745",45.69%
1930,Massachusetts,Republican primary,Primary,Candidate,False,Andrew J. Gillis,Republican Party (US),"22,996",6.70%
1930,Massachusetts,Republican primary,Primary,Total,False,,,"343,077",100.00%
1930,Massachusetts,Democratic primary,Primary,Winning,False,Marcus A. Coolidge,Democratic Party (US),"81,451",40.71%
1930,Massachusetts,Democratic primary,Primary,Candidate,False,Joseph F. O'Connell,Democratic Party (US),"54,829",27.41%
1930,Massachusetts,Democratic primary,Primary,Candidate,False,Thomas C. O'Brien,Democratic Party (US),"45,272",22.63%
1930,Massachusetts,Democratic primary,Primary,Candidate,False,Eugene Foss,Democratic Party (US),"12,824",6.41%
1930,Massachusetts,Democratic primary,Primary,Candidate,False,Peter J. Joyce,Democratic Party (US),"5,680",2.84%
1930,Massachusetts,Democratic primary,Primary,Total,False,,,"200,056",100.00%
1930,Minnesota,Farmer–Labor primary election results,Primary,Winning,False,Ernest Lundeen,Farmer–Labor Party,"75,050",65.47%
1930,Minnesota,Farmer–Labor primary election results,Primary,Candidate,False,Knud Wefald,Farmer–Labor Party,"39,589",34.53%
1930,Minnesota,Farmer–Labor primary election results,Primary,Total,False,,,"114,639",100.00%
1930,Minnesota,Republican primary election results,Primary,Winning,True,Thomas D. Schall,Republican Party of Minnesota,"266,736",57.40%
1930,Minnesota,Republican primary election results,Primary,Candidate,False,Theodore Christianson,Republican Party of Minnesota,"173,390",37.31%
1930,Minnesota,Republican primary election results,Primary,Candidate,False,John F. Selb,Republican Party of Minnesota,"24,573",5.29%
1930,Minnesota,Republican primary election results,Primary,Total,False,,,"464,699",100.00%
1930,Montana,Democratic Party primary results,Primary,Winning,True,Thomas J. Walsh,Democratic Party (United States),"32,977",100.00%
1930,Montana,Democratic Party primary results,Primary,Total,False,,,"32,977",100.00%
1930,Montana,Republican Primary results,Primary,Winning,False,Albert J. Galen,Republican Party (United States),"44,103",66.95%
1930,Montana,Republican Primary results,Primary,Candidate,False,O. H. P. Shelley,Republican Party (United States),"21,774",33.05%
1930,Montana,Republican Primary results,Primary,Total,False,,,"65,877",100.00%
1930,Nebraska,Republican primary results,Primary,Winning,False,George W. Norris (inc.),Republican Party (United States),"108,471",57.26%
1930,Nebraska,Republican primary results,Primary,Candidate,False,W. M. Stebbins,Republican Party (United States),"74,486",39.32%
1930,Nebraska,Republican primary results,Primary,Candidate,False,Aaron C. Read,Republican Party (United States),"6,458",3.41%
1930,Nebraska,Republican primary results,Primary,Candidate,False,Scattering,Republican Party (United States),5,0.00%
1930,Nebraska,Republican primary results,Primary,Total,False,,,"189,420",100.00%
1930,Nebraska,Democratic primary results,Primary,Winning,False,Gilbert Hitchcock,Democratic Party (United States),"60,346",78.51%
1930,Nebraska,Democratic primary results,Primary,Candidate,False,Jennie Mather Callras,Democratic Party (United States),"16,417",21.36%
1930,Nebraska,Democratic primary results,Primary,Candidate,False,Scattering,Democratic Party (United States),105,0.14%
