Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
1936,Alabama,1936 Democratic U.S. Senate primary,Primary,Winning,False,Democratic Party (United States),John H. Bankhead II (inc.),"178,500",81.07%
1936,Alabama,1936 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),H.L. Anderton,"41,673",18.93%
1936,Alabama,1936 Democratic U.S. Senate primary,Primary,Total,False,,,"310,929",100.00%
1936,Arkansas,1936 Democratic U.S. Senate primary,Primary,Winning,True,Democratic Party (United States),Joseph T. Robinson,"170,356",72.72%
1936,Arkansas,1936 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),Cleveland Holland,"42,541",18.16%
1936,Arkansas,1936 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),J. Rosser Venable,"21,352",9.12%
1936,Arkansas,1936 Democratic U.S. Senate primary,Primary,Total,False,,,"234,249",100.00%
1936,Colorado,1936 Democratic U.S. Senate primary,Primary,Winning,True,Democratic Party (US),Edwin C. Johnson,"94,922",68.00%
1936,Colorado,1936 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (US),William E. Sweet,"44,672",32.00%
1936,Colorado,1936 Democratic U.S. Senate primary,Primary,Total,False,,,"139,594",100.00%
1936,Colorado,1936 Republican U.S. Senate primary,Primary,Winning,False,Republican Party (US),Raymond L. Sauter,"71,875",100.00%
1936,Colorado,1936 Republican U.S. Senate primary,Primary,Total,False,,,"71,875",100.00%
1936,Florida (Class 1) (special),Democratic primary results,Primary,Winning,False,Democratic Party (United States),Charles O. Andrews,"67,387",51.87%
1936,Florida (Class 1) (special),Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Doyle E. Carlton,"62,530",48.13%
1936,Florida (Class 1) (special),Democratic primary results,Primary,Total,False,,,"129,917",100.00%
1936,Idaho,Democratic primary results,Primary,Winning,False,Democratic Party (United States),C. Ben Ross,"29,471",56.39
1936,Idaho,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),John A. Carver,"22,788",43.61
1936,Idaho,Democratic primary results,Primary,Total,False,,,"52,259",
1936,Idaho,Republican primary results,Primary,Winning,True,Republican Party (United States),William Borah,"32,499",77.49
1936,Idaho,Republican primary results,Primary,Candidate,False,Republican Party (United States),Byron Defenbach,"9,442",22.51
1936,Idaho,Republican primary results,Primary,Total,False,,,"41,941",
1936,Illinois,Democratic primary,Primary,Winning,True,Democratic Party (United States),James Hamilton Lewis,"1,144,096",88.48
1936,Illinois,Democratic primary,Primary,Candidate,False,Democratic Party (United States),C. H. Kavanagh,"92,524",7.16
1936,Illinois,Democratic primary,Primary,Candidate,False,Democratic Party (United States),Ruth R. McNamara,"56,449",4.37
1936,Illinois,Democratic primary,Primary,Total,False,,,"1,293,069",100
1936,Illinois,Republican primary,Primary,Winning,False,Republican Party (United States),Otis F. Glenn,"510,811",56.72
1936,Illinois,Republican primary,Primary,Candidate,False,Republican Party (United States),William E. Hull,"231,863",25.75
1936,Illinois,Republican primary,Primary,Candidate,False,Republican Party (United States),Orville J. Taylor,"78,511",8.72
1936,Illinois,Republican primary,Primary,Candidate,False,Republican Party (United States),William J. Baker,"40,714",4.52
1936,Illinois,Republican primary,Primary,Candidate,False,Republican Party (United States),Willie A. Overholser,"38,6411",4.29
1936,Illinois,Republican primary,Primary,Total,False,,,"900,5401",100
1936,Iowa,1936 Republican U.S. Senate primary,Primary,Winning,True,Republican Party (United States),Lester J. Dickinson,"105,416",40.51%
1936,Iowa,1936 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (United States),Smith W. Brookhart,"58,129",22.34%
1936,Iowa,1936 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (United States),Edwin Manning,"30,709",11.80%
1936,Iowa,1936 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (United States),Norman G. Baker,"28,162",10.82%
1936,Iowa,1936 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (United States),Guy Linville,"27,794",10.68%
1936,Iowa,1936 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (United States),George Chaney,"9,994",3.84%
1936,Iowa,1936 Republican U.S. Senate primary,Primary,Total,False,,,"260,204",100.00%
1936,Iowa,1936 Democratic U.S. Senate primary,Primary,Winning,False,Democratic Party (United States),Clyde Herring,"75,826",53.64%
1936,Iowa,1936 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),Hubert Utterback,"49,341",34.90%
1936,Iowa,1936 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),Samuel D. Whiting,"16,205",11.46%
1936,Iowa,1936 Democratic U.S. Senate primary,Primary,Total,False,,,"141,372",100.00%
1936,Iowa,1936 Farmer-Labor U.S. Senate primary,Primary,Winning,False,Farmer–Labor Party,George F. Buresh,"1,199",71.80%
1936,Iowa,1936 Farmer-Labor U.S. Senate primary,Primary,Candidate,False,Farmer–Labor Party,Francis G. Cutler,471,28.20%
1936,Iowa,1936 Farmer-Labor U.S. Senate primary,Primary,Total,False,,,"1,670",100.00%
1936,Kansas,Democratic primary results,Primary,Winning,False,Democratic Party (United States),Omar B. Ketchum,"103,083",68.08%
1936,Kansas,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Dempster O. Potts,"31,717",20.95%
1936,Kansas,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Robert George,"10,170",6.72%
1936,Kansas,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),John H. Arnett,"6,451",4.26%
1936,Kansas,Democratic primary results,Primary,Total,False,,,"151,421",100.00%
1936,Kansas,Republican primary results,Primary,Winning,False,Republican Party (United States),Arthur Capper (inc.),"200,643",76.05%
1936,Kansas,Republican primary results,Primary,Candidate,False,Republican Party (United States),H. L. Stout,"32,691",12.39%
1936,Kansas,Republican primary results,Primary,Candidate,False,Republican Party (United States),Walter C. Neibarger,"30,508",11.56%
1936,Kansas,Republican primary results,Primary,Total,False,,,"263,842",100.00%
1936,Kentucky,Democratic primary results,Primary,Winning,True,Democratic Party (United States),M. M. Logan,181311,39.94
1936,Kentucky,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),J. C. W. Beckham,178926,39.41
1936,Kentucky,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),"John Y. Brown, Sr.",85221,18.77
1936,Kentucky,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),K. N. Salyer,5231,1.15
1936,Kentucky,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Montgomery Walker,3284,0.72
1936,Kentucky,Democratic primary results,Primary,Total,False,,,453973,100.00
1936,Kentucky,Republican primary results,Primary,Winning,False,Republican Party (United States),Robert H. Lucas,120844,63.76
1936,Kentucky,Republican primary results,Primary,Candidate,False,Republican Party (United States),Elmer C. Roberts,26935,14.21
1936,Kentucky,Republican primary results,Primary,Candidate,False,Republican Party (United States),Helen May Young,16059,8.47
1936,Kentucky,Republican primary results,Primary,Candidate,False,Republican Party (United States),Roscoe Conklin Douglas,14342,7.57
1936,Kentucky,Republican primary results,Primary,Candidate,False,Republican Party (United States),G. Tom Hawkins,11360,5.99
1936,Kentucky,Republican primary results,Primary,Total,False,,,189540,100.00
1936,Louisiana (special),Democratic primary results,Primary,Winning,False,Democratic Party (United States),Oscar K. Allen,"368,115",68.72
1936,Louisiana (special),Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Frank J. Looney,"160,566",29.97
1936,Louisiana (special),Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Irving Ward-Steinman,"7,026",1.31
1936,Louisiana (special),Democratic primary results,Primary,Total,False,,,"535,707",100.00
1936,Maine,1936 Republican U.S. Senate primary,Primary,Winning,False,Republican Party (United States),Wallace H. White Jr. (inc.),"89,183",100.00%
1936,Maine,1936 Republican U.S. Senate primary,Primary,Total,False,,,"89,183",100.00%
1936,Maine,1936 Democratic U.S. Senate primary,Primary,Winning,False,Democratic Party (United States),Louis J. Brann,"25,598",100.00%
1936,Maine,1936 Democratic U.S. Senate primary,Primary,Total,False,,,"25,598",100.00%
1936,Massachusetts,1936 Republican U.S. Senate primary,Primary,Winning,False,Republican Party (US),Henry Cabot Lodge Jr.,"356,756",83.99%
1936,Massachusetts,1936 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (US),Alonzo B. Cook,"42,261",9.95%
1936,Massachusetts,1936 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (US),Guy M. Gray,"18,076",4.26%
1936,Massachusetts,1936 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (US),Thomas C. O'Brien,"6,834",1.61%
1936,Massachusetts,1936 Republican U.S. Senate primary,Primary,Write-in,False,,,821,0.19%
1936,Massachusetts,1936 Republican U.S. Senate primary,Primary,Total,False,,,"424,748",100.00
1936,Massachusetts,1936 Democratic U.S. Senate primary,Primary,Winning,False,Democratic Party (US),James Michael Curley,"245,606",62.97%
1936,Massachusetts,1936 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (US),Robert E. Greenwood,"104,615",26.81%
