Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage,title,url,website,publisher
1978,Alabama,Primary election results,Primary,Winning,False,Democratic Party (United States),Howell Heflin,"369,270",48.37%,,,,
1978,Alabama,Primary election results,Primary,Winning,False,Democratic Party (United States),Walter Flowers,"236,894",31.03%,,,,
1978,Alabama,Primary election results,Primary,Candidate,False,Democratic Party (United States),John Baker,"101,110",13.24%,,,,
1978,Alabama,Primary election results,Primary,Candidate,False,Democratic Party (United States),Mac Newton,"18,709",2.45%,,,,
1978,Alabama,Primary election results,Primary,Candidate,False,Democratic Party (United States),Margaret E. Stewart,"17,562",2.35%,,,,
1978,Alabama,Primary election results,Primary,Candidate,False,Democratic Party (United States),Gordon Tucker,"10,206",2.35%,,,,
1978,Alabama,Primary election results,Primary,Candidate,False,Democratic Party (United States),Glenn Hewett,"9,702",1.27%,,,,
1978,Alabama,Primary election results,Primary,Total,False,,,"763,453",100.00%,,,,
1978,Alabama,Primary runoff election results,Primary,Winning,False,Democratic Party (United States),Howell Heflin,"556,685",64.93%,,,,
1978,Alabama,Primary runoff election results,Primary,Candidate,False,Democratic Party (United States),Walter Flowers,"300,654",35.07%,,,,
1978,Alabama,Primary runoff election results,Primary,Total,False,,,"857,339",100.00%,,,,
1978,Alabama (special),Primary election results,Primary,Winning,True,Democratic Party (United States),Maryon Pittman Allen,"334,156",44.51%,,,,
1978,Alabama (special),Primary election results,Primary,Candidate,False,Democratic Party (United States),Donald W. Stewart,"259,795",34.61%,,,,
1978,Alabama (special),Primary election results,Primary,Candidate,False,Democratic Party (United States),Ted Taylor,"70,894",9.44%,,,,
1978,Alabama (special),Primary election results,Primary,Candidate,False,Democratic Party (United States),Dan Wiley,"66,689",8.88%,,,,
1978,Alabama (special),Primary election results,Primary,Candidate,False,Democratic Party (United States),Gene Myracle,"19,166",2.55%,,,,
1978,Alabama (special),Primary election results,Primary,Total,False,,,"750,700",100.00%,,,,
1978,Alabama (special),Primary runoff election results,Primary,Winning,False,Democratic Party (United States),Donald W. Stewart,"502,346",57.20%,,,,
1978,Alabama (special),Primary runoff election results,Primary,Candidate,True,Democratic Party (United States),Maryon Pittman Allen,"375,894",42.80%,,,,
1978,Alabama (special),Primary runoff election results,Primary,Total,False,,,"878,240",100.00%,,,,
1978,Alabama (special),Primary election results,Primary,Winning,False,Republican Party (United States),George W. Nichols,"15,637",72.47%,,,,
1978,Alabama (special),Primary election results,Primary,Candidate,False,Republican Party (United States),Elvin McCary,"5,941",27.53%,,,,
1978,Alabama (special),Primary election results,Primary,Total,False,,,"21,578",100.00%,,,,
1978,Alaska,1978 Senate primary,Primary,Winning,True,Republican Party (United States),Ted Stevens,"83,528",81.27%,,,,
1978,Alaska,1978 Senate primary,Primary,Winning,False,Democratic Party (United States),Donald W. Hobbs,"10,589",10.30%,,,,
1978,Alaska,1978 Senate primary,Primary,Candidate,False,Democratic Party (United States),Joseph A. Sonneman,"8,662",8.43%,,,,
1978,Alaska,1978 Senate primary,Primary,Total,False,,,"102,779",100.00%,,,,
1978,Arkansas,Democratic primary results,Primary,Winning,False,Democratic Party (United States),David Pryor,"198,041",34.27%,,,,
1978,Arkansas,Democratic primary results,Primary,Winning,False,Democratic Party (United States),Jim Guy Tucker,"187,568",32.46%,,,,
1978,Arkansas,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Ray Thornton,"184,095",31.86%,,,,
1978,Arkansas,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),A.C. Grigson,"8,166",1.41%,,,,
1978,Arkansas,Democratic primary results,Primary,Total,False,,,"577,870",100.00%,,,,
1978,Colorado,Republican primary results,Primary,Winning,False,Republican Party (United States),William L. Armstrong,"109,021",73.45%,,,,
1978,Colorado,Republican primary results,Primary,Candidate,False,Republican Party (United States),Jack Swigert,"39,415",26.55%,,,,
1978,Colorado,Republican primary results,Primary,Total,False,,,"148,436",100.00%,,,,
1978,Delaware,Republican primary results,Primary,Winning,False,Republican Party (United States),James H. Baxter Jr.,"12,107",53.74%,,,,
1978,Delaware,Republican primary results,Primary,Candidate,False,James Allyn Venema,Republican Party (United States),"10,422",46.26%
1978,Delaware,Republican primary results,Primary,Total,False,,,"22,662",100.00%,,,,
1978,Illinois,Democratic primary results,Primary,Winning,False,Democratic Party (United States),Alex Seith,"483,196",69.49,,,,
1978,Illinois,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Anthony R. Martin-Trigona,"212,105",30.51,,,,
1978,Illinois,Democratic primary results,Primary,Write-in,False,,,11,0.00,,,,
1978,Illinois,Democratic primary results,Primary,Total,False,,,"695,312",100.00,,,,
