Year,State,Election,Election_Type,Row_Type,Incumbent,candidate,party,votes,percentage,name
1998,Alaska,Open primary results,Primary,Winning,True,Frank Murkowski,Republican Party (United States),"76,649",71.76%,
1998,Alaska,Open primary results,Primary,Winning,False,Joseph Sonneman,Democratic Party (United States),"10,721",10.04%,
1998,Alaska,Open primary results,Primary,Winning,False,Jeffrey Gottlieb,Green Party (United States),"4,796",4.49%,
1998,Alaska,Open primary results,Primary,Winning,False,Scott A. Kohlhaas,Alaska Libertarian Party,"1,987",1.86%,
1998,Alaska,Open primary results,Primary,Candidate,False,Frank Vondersaar,Democratic Party (United States),"6,342",5.94%,
1998,Alaska,Open primary results,Primary,Candidate,False,William L. Hale,Republican Party (United States),"6,313",5.91%,
1998,Alaska,Open primary results,Primary,Total,False,,,"106,808",100.00%,
1998,Arkansas,Democratic primary results,Primary,Winning,False,Blanche Lincoln,Democratic Party (United States),"145,009",45.5%,
1998,Arkansas,Democratic primary results,Primary,Candidate,False,Winston Bryant,Democratic Party (United States),"87,183",27.4%,
1998,Arkansas,Democratic primary results,Primary,Candidate,False,Scott Ferguson,Democratic Party (United States),"44,761",14.0%,
1998,Arkansas,Democratic primary results,Primary,Candidate,False,Nate Coulter,Democratic Party (United States),"41,848",13.1%,
1998,Arkansas,Democratic primary results,Primary,Total,False,,,"318,801",100.00%,
1998,Arkansas,Republican primary results,Primary,Winning,False,Fay Boozman,Republican Party (United States),"128,929",78.0%,
1998,Arkansas,Republican primary results,Primary,Candidate,False,Tom Prince,Republican Party (United States),"44,006",22.0%,
1998,Arkansas,Republican primary results,Primary,Total,False,,,"172,035",100.00%,
1998,California,1998 California Democratic primary,Primary,Winning,True,Barbara Boxer,Democratic Party (US),"2,574,264",92.15%,
1998,California,1998 California Democratic primary,Primary,Candidate,False,John Pinkerton,Democratic Party (US),"219,250",7.85%,
1998,California,1998 California Democratic primary,Primary,Total,False,,,"2,793,514",100.00%,
1998,California,1998 California Republican primary,Primary,Winning,False,Matt Fong,Republican Party (US),"1,292,662",45.28%,
1998,California,1998 California Republican primary,Primary,Candidate,False,Darrell Issa,Republican Party (US),"1,142,567",40.02%,
1998,California,1998 California Republican primary,Primary,Candidate,False,Frank Riggs,Republican Party (US),"295,886",10.36%,
1998,California,1998 California Republican primary,Primary,Candidate,False,John M. Brown,Republican Party (US),"48,941",1.71%,
1998,California,1998 California Republican primary,Primary,Candidate,False,Mark Raus,Republican Party (US),"45,480",1.59%,
1998,California,1998 California Republican primary,Primary,Candidate,False,Linh Dao,Republican Party (US),"29,241",1.02%,
1998,California,1998 California Republican primary,Primary,Total,False,,,"2,854,777",100.00%,
1998,California,"1998 United States Senate primary, California (Others)",Primary,Winning,False,Ted Brown,Libertarian Party (California),"67,408",100.00%,
1998,California,"1998 United States Senate primary, California (Others)",Primary,Winning,False,Ophie C. Beltran,Peace and Freedom Party (United States),"52,306",100.00%,
1998,California,"1998 United States Senate primary, California (Others)",Primary,Winning,False,Timothy R. Erich,Reform Party (United States),"45,601",100.00%,
1998,California,"1998 United States Senate primary, California (Others)",Primary,Winning,False,"Joseph Perrin, Sr.",American Independent Party,"24,026",100.00%,
1998,California,"1998 United States Senate primary, California (Others)",Primary,Winning,False,Brian M. Rees,Natural Law Party,"23,945",100.00%,
1998,Colorado,Democratic primary results,Primary,Winning,False,Dottie Lamm,Democratic Party (United States),"84,929",57.98%,
1998,Colorado,Democratic primary results,Primary,Candidate,False,Gil Romero,Democratic Party (United States),"61,548",42.02%,
1998,Colorado,Democratic primary results,Primary,Total,False,,,"146,477",100.00%,
1998,Colorado,Republican primary results,Primary,Winning,True,Ben Nighthorse Campbell,Republican Party (United States),"154,702",70.62%,
1998,Colorado,Republican primary results,Primary,Candidate,False,Bill Eggert,Republican Party (United States),"64,347",29.38%,
1998,Colorado,Republican primary results,Primary,Total,False,,,"219,049",100.00%,
1998,Florida,Democratic primary results,Primary,Winning,True,Bob Graham,Democratic Party (United States),"909,349",100.00%,
1998,Florida,Republican Primary results,Primary,Winning,False,Charlie Crist,Republican Party (United States),"365,894",66.40%,
1998,Florida,Republican Primary results,Primary,Candidate,False,Andy Martin,Republican Party (United States),"184,739",33.60%,
1998,Florida,Republican Primary results,Primary,Total,False,,,"550,633",100.00%,
1998,Georgia,Democratic primary results,Primary,Winning,False,Michael Coles,Democratic Party (United States),"312,765",76.14%,
1998,Georgia,Democratic primary results,Primary,Candidate,False,Jimmy Allen Boyd,Democratic Party (United States),"98,020",23.86%,
1998,Georgia,Democratic primary results,Primary,Total,False,,,"410,785",100.00%,
1998,Idaho,Democratic primary results,Primary,Winning,False,Bill Mauk,Democratic Party (United States),"22,503",100.00%,
1998,Idaho,Democratic primary results,Primary,Total,False,,,"22,503",100.00%,
1998,Idaho,Republican primary results,Primary,Winning,False,Mike Crapo,Republican Party (United States),"110,205",87.27%,
1998,Idaho,Republican primary results,Primary,Candidate,False,Matt Lambert,Republican Party (United States),"16,075",12.73%,
1998,Idaho,Republican primary results,Primary,Total,False,,,"126,280",100.00%,
1998,Illinois,Democratic primary results,Primary,Winning,True,Carol Moseley Braun,Democratic Party (United States),"666,419",100.00%,
1998,Illinois,Democratic primary results,Primary,Total,False,,,"666,419",100.00%,
1998,Illinois,Republican primary results,Primary,Winning,False,Peter Fitzgerald,Republican Party (United States),"372,916",51.83%,
1998,Illinois,Republican primary results,Primary,Candidate,False,Loleta Didrickson,Republican Party (United States),"346,606",48.17%,
1998,Illinois,Republican primary results,Primary,Total,False,,,"719,522",100.00%,
1998,Illinois,Reform primary results,Primary,Winning,False,Don A. Torgersen,Reform Party (United States),403,53.52%,
1998,Illinois,Reform primary results,Primary,Candidate,False,Steve Denari,Reform Party (United States),350,46.48%,
1998,Illinois,Reform primary results,Primary,Total,False,,,753,100.00%,
1998,Iowa,Democratic primary results,Primary,Winning,False,David Osterberg,Democratic Party (United States),"86,064",99.45%,
1998,Iowa,Democratic primary results,Primary,Candidate,False,Write-ins,Democratic Party (United States),476,0.55%,
1998,Iowa,Democratic primary results,Primary,Total,False,,,"86,540",100.00%,
1998,Iowa,Republican primary results,Primary,Winning,True,Chuck Grassley,Republican Party (United States),"149,943",99.72%,
1998,Iowa,Republican primary results,Primary,Candidate,False,Write-ins,Republican Party (United States),419,0.28%,
1998,Iowa,Republican primary results,Primary,Total,False,,,"150,362",100.00%,
1998,Kansas,Democratic primary results,Primary,Winning,False,Paul Feleciano,Democratic Party (United States),"58,097",58.73%,
1998,Kansas,Democratic primary results,Primary,Candidate,False,Todd Covault,Democratic Party (United States),"40,825",41.27%,
1998,Kansas,Democratic primary results,Primary,Total,False,,,"98,922",100.00%,
1998,Kansas,Republican Party primary results,Primary,Winning,True,Sam Brownback,Republican Party (United States),"255,747",100.00%,
1998,Kansas,Republican Party primary results,Primary,Total,False,,,"255,747",100.00%,
1998,Kentucky,Democratic Primary results,Primary,Winning,False,Scotty Baesler,Democratic Party (United States),"194,125",34.16%,
1998,Kentucky,Democratic Primary results,Primary,Candidate,False,Charlie Owen,Democratic Party (United States),"166,472",29.29%,
1998,Kentucky,Democratic Primary results,Primary,Candidate,False,Steve Henry,Democratic Party (United States),"156,576",27.55%,
1998,Kentucky,Democratic Primary results,Primary,Candidate,False,Jim Brown,Democratic Party (United States),"19,975",3.51%,
1998,Kentucky,Democratic Primary results,Primary,Candidate,False,David L. Williams,Democratic Party (United States),"16,366",2.88%,
1998,Kentucky,Democratic Primary results,Primary,Candidate,False,Ken Buchanan Thompson,Democratic Party (United States),"14,778",2.60%,
1998,Kentucky,Democratic Primary results,Primary,Total,False,,,"568,292",100.00%,
1998,Kentucky,Republican primary results,Primary,Winning,False,Jim Bunning,Republican Party (United States),"152,493",74.28%,
1998,Kentucky,Republican primary results,Primary,Candidate,False,Barry Metcalf,Republican Party (United States),"52,798",25.72%,
1998,Kentucky,Republican primary results,Primary,Total,False,,,"205,291",100.00%,
1998,Maryland,Democratic Primary results,Primary,Winning,True,Barbara A. Mikulski,Democratic Party (United States),"349,382",84.36%,
1998,Maryland,Democratic Primary results,Primary,Candidate,False,Ann L. Mallory,Democratic Party (United States),"43,120",10.41%,
1998,Maryland,Democratic Primary results,Primary,Candidate,False,Kauko H. Kokkonen,Democratic Party (United States),"21,658",5.23%,
1998,Maryland,Democratic Primary results,Primary,Total,False,,,"414,160",100.00%,
1998,Maryland,Republican Primary results,Primary,Winning,False,Ross Z. Pierpont,Republican Party (United States),"32,691",18.40%,
1998,Maryland,Republican Primary results,Primary,Candidate,False,John Taylor,Republican Party (United States),"22,855",12.87%,
1998,Maryland,Republican Primary results,Primary,Candidate,False,Michael Gloth,Republican Party (United States),"19,926",11.22%,
1998,Maryland,Republican Primary results,Primary,Candidate,False,Kenneth Wayman,Republican Party (United States),"16,505",9.29%,
1998,Maryland,Republican Primary results,Primary,Candidate,False,Bradlyn McClanahan,Republican Party (United States),"16,439",9.25%,
1998,Maryland,Republican Primary results,Primary,Candidate,False,Howard David Greyber,Republican Party (United States),"16,177",9.11%,
1998,Maryland,Republican Primary results,Primary,Candidate,False,John Stafford,Republican Party (United States),"15,031",8.46%,
1998,Maryland,Republican Primary results,Primary,Candidate,False,George Liebmann,Republican Party (United States),"14,440",8.13%,
1998,Maryland,Republican Primary results,Primary,Candidate,False,Barry Steve Asbury,Republican Party (United States),"11,881",6.69%,
1998,Maryland,Republican Primary results,Primary,Candidate,False,Thomas Scott,Republican Party (United States),"11,707",6.59%,
1998,Maryland,Republican Primary results,Primary,Total,False,,,"177,652",100.00%,
1998,Nevada,Republican primary results,Primary,Winning,False,John Ensign,Republican Party (United States),"105,263",80.57%,
1998,Nevada,Republican primary results,Primary,Candidate,False,Ralph W. Stephens,Republican Party (United States),"13,679",10.47%,
1998,Nevada,Republican primary results,Primary,Candidate,False,None of these candidates,Republican Party (United States),"11,704",8.96%,
1998,Nevada,Republican primary results,Primary,Total,False,,,"130,646",100.00%,
1998,New Hampshire,Democratic primary results,Primary,Winning,False,George Condodemetraky,Democratic Party (United States),"22,988",98.18%,
1998,New Hampshire,Democratic primary results,Primary,Candidate,False,Write-ins,Democratic Party (United States),426,1.82%,
1998,New Hampshire,Democratic primary results,Primary,Total,False,,,"23,414",100.00%,
1998,New Hampshire,Republican primary results,Primary,Winning,False,Judd Gregg (inc.),Republican Party (United States),"63,729",85.48%,
1998,New Hampshire,Republican primary results,Primary,Candidate,False,Phil Weber,Republican Party (United States),"10,784",38.21%,
1998,New Hampshire,Republican primary results,Primary,Candidate,False,Write-ins,Republican Party (United States),42,0.06%,
1998,New Hampshire,Republican primary results,Primary,Total,False,,,"74,555",100.00%,
1998,New York,1998 U.S. Senate Democratic primary,Primary,Winning,False,Chuck Schumer,Democratic Party (United States),"388,701",50.84%,
1998,New York,1998 U.S. Senate Democratic primary,Primary,Candidate,False,Geraldine Ferraro,Democratic Party (United States),"201,625",26.37%,
1998,New York,1998 U.S. Senate Democratic primary,Primary,Candidate,False,Mark Green,Democratic Party (United States),"145,819",19.07%,
1998,New York,1998 U.S. Senate Democratic primary,Primary,Candidate,False,Eric Ruano-Melendez,Democratic Party (United States),"28,493",3.73%,
1998,New York,Independence Party primary for the 1998 United States Senate election in New York,Primary,Winning,False,Chuck Schumer,Independence Party (New York),"2,562",58.04%,
1998,New York,Independence Party primary for the 1998 United States Senate election in New York,Primary,Candidate,False,Mark Green,Independence Party (New York),"1,852",41.96%,
1998,North Carolina,1998 Democratic U.S. Senate primary,Primary,Winning,False,John Edwards,Democratic Party (US),"277,468",51.38%,
1998,North Carolina,1998 Democratic U.S. Senate primary,Primary,Candidate,False,D. G. Martin,Democratic Party (US),"149,049",27.60%,
1998,North Carolina,1998 Democratic U.S. Senate primary,Primary,Candidate,False,Ella Scarborough,Democratic Party (US),"55,486",10.28%,
1998,North Carolina,1998 Democratic U.S. Senate primary,Primary,Candidate,False,Bob Ayers Jr.,Democratic Party (US),"22,477",4.16%,
1998,North Carolina,1998 Democratic U.S. Senate primary,Primary,Candidate,False,Mike Robinson,Democratic Party (US),"20,178",3.74%,
1998,North Carolina,1998 Democratic U.S. Senate primary,Primary,Candidate,False,James Carmack,Democratic Party (US),"8,200",1.52%,
1998,North Carolina,1998 Democratic U.S. Senate primary,Primary,Candidate,False,Gene Gay,Democratic Party (US),"7,173",1.33%,
1998,North Carolina,1998 Democratic U.S. Senate primary,Primary,Total,False,,,"540,031",100.00%,
1998,Oregon,Oregon Democratic U.S. Senate primary results,Primary,Winning,True,Ronald Wyden,Democratic Party (United States),"283,654",91.51%,
1998,Oregon,Oregon Democratic U.S. Senate primary results,Primary,Candidate,False,John Sweeney,Democratic Party (United States),"25,456",8.21%,
1998,Oregon,Oregon Democratic U.S. Senate primary results,Primary,Candidate,False,Write-ins,Democratic Party (United States),853,0.28%,
1998,Oregon,Oregon Democratic U.S. Senate primary results,Primary,Total,False,,,"309,963",100.00%,
1998,Oregon,Oregon Republican U.S. Senate primary results,Primary,Winning,False,John Lim,Republican Party (United States),"135,048",62.45%,
1998,Oregon,Oregon Republican U.S. Senate primary results,Primary,Candidate,False,John Michael Fitzpatrick,Republican Party (United States),"58,139",26.88%,
1998,Oregon,Oregon Republican U.S. Senate primary results,Primary,Candidate,False,Valentine Christian,Republican Party (United States),"20,569",9.51%,
1998,Oregon,Oregon Republican U.S. Senate primary results,Primary,Candidate,False,Write-ins,Republican Party (United States),"2,509",1.16%,
1998,Oregon,Oregon Republican U.S. Senate primary results,Primary,Total,False,,,"216,265",100.00%,
1998,Pennsylvania,Republican primary results,Primary,Winning,True,Arlen Specter,Republican Party (United States),376322,67.21,
1998,Pennsylvania,Republican primary results,Primary,Candidate,False,Larry Murphy,Republican Party (United States),101120,18.06,
1998,Pennsylvania,Republican primary results,Primary,Candidate,False,Tom Lingenfelter,Republican Party (United States),82168,14.67,
1998,Pennsylvania,Republican primary results,Primary,Write-in,False,,Republican Party (United States),328,0.06,
1998,Pennsylvania,Republican primary results,Primary,Total,False,,,559938,100.00,
1998,Pennsylvania,Democratic primary results,Primary,Winning,False,William R. Lloyd Jr.,Democratic Party (United States),236435,49.53,
1998,Pennsylvania,Democratic primary results,Primary,Candidate,False,Richard J. Orloski,Democratic Party (United States),121669,25.49,
