Year,State,Election,Election_Type,Row_Type,Incumbent,candidate,party,votes,percentage,name,pad
2020,Alabama,Republican primary results,Primary,Winning,False,Tommy Tuberville,Republican Party (United States),"239,616",33.39%,,
2020,Alabama,Republican primary results,Primary,Winning,False,Jeff Sessions,Republican Party (United States),"227,088",31.64%,,
2020,Alabama,Republican primary results,Primary,Candidate,False,Bradley Byrne,Republican Party (United States),"178,627",24.89%,,
2020,Alabama,Republican primary results,Primary,Candidate,False,Roy Moore,Republican Party (United States),"51,377",7.16%,,
2020,Alabama,Republican primary results,Primary,Candidate,False,Ruth Page Nelson,Republican Party (United States),"7,200",1.00%,,
2020,Alabama,Republican primary results,Primary,Candidate,False,Arnold Mooney,Republican Party (United States),"7,149",1.00%,,
2020,Alabama,Republican primary results,Primary,Candidate,False,Stanley Adair,Republican Party (United States),"6,608",0.92%,,
2020,Alabama,Republican primary results,Primary,Total,False,,,"717,665",100.00%,,
2020,Alabama,Republican primary runoff results,Primary,Winning,False,Tommy Tuberville,Republican Party (United States),"334,675",60.73%,,
2020,Alabama,Republican primary runoff results,Primary,Candidate,False,Jeff Sessions,Republican Party (United States),"216,452",39.27%,,
2020,Alabama,Republican primary runoff results,Primary,Total,False,,,"551,127",100.00%,,
2020,Alaska,Republican primary results,Primary,Winning,False,[[Dan Sullivan (U.S. senator),Republican Party (United States),"65,257",100.00%,,
2020,Alaska,Republican primary results,Primary,Total,False,,,"65,257",100.00%,,
2020,Alaska,Democratic–Libertarian–Independence primary results,Primary,Winning,False,[[Al Gross (politician),Independent politician,"50,047",79.87%,,
2020,Alaska,Democratic–Libertarian–Independence primary results,Primary,Winning,False,John Howe,Alaskan Independence Party,"4,165",6.65%,,
2020,Alaska,Democratic–Libertarian–Independence primary results,Primary,Candidate,False,Edgar Blatchford,Democratic Party (United States),"5,463",8.72%,,
2020,Alaska,Democratic–Libertarian–Independence primary results,Primary,Candidate,False,Christopher Cumings,Independent politician,"2,989",4.77%,,
2020,Alaska,Democratic–Libertarian–Independence primary results,Primary,Total,False,,,"62,664",100.00%,,
2020,Arizona (special),Republican primary results,Primary,Winning,True,Martha McSally,Republican Party (United States),"551,119",75.2%,,
