Year,State,Primary_Type,Poll_Source,Date,Sample,MoE,Candidate,Party,Pct,Incumbent
2024,Delaware,General,University of Delaware,"September 11–19, 2024",400 (RV),± 5.8%,Lisa Blunt Rochester,D,52%,False
2024,Delaware,General,University of Delaware,"September 11–19, 2024",400 (RV),± 5.8%,Eric Hansen,R,32%,False
2024,Delaware,General,University of Delaware,"September 11–19, 2024",400 (RV),± 5.8%,Michael Katz,I,6%,False
2024,Florida,General,FiveThirtyEight,"through November 3, 2024",,Scott +4.7%,Rick Scott,R,49.6%,True
2024,Florida,General,RealClearPolitics,"September 29 – November 1, 2024",,Scott +4.6%,Rick Scott,R,48.9%,True
2024,Florida,General,270toWin,"October 23 – November 4, 2024",,Scott +4.8%,Rick Scott,R,49.3%,True
2024,Florida,General,TheHill,"November 3, 2024",,Scott +5.4%,Rick Scott,R,50.8%,True
2024,Florida,General,FiveThirtyEight,"through November 3, 2024",,Scott +4.7%,Powell,D,44.9%,False
2024,Florida,General,RealClearPolitics,"September 29 – November 1, 2024",,Scott +4.6%,Powell,D,44.3%,False
2024,Florida,General,270toWin,"October 23 – November 4, 2024",,Scott +4.8%,Powell,D,44.5%,False
2024,Florida,General,TheHill,"November 3, 2024",,Scott +5.4%,Powell,D,45.4%,False
2024,Indiana,General,Emerson College,"September 12–13, 2024","1,000 (LV)",± 3.0%,Jim Banks,R,47%,False
2024,Indiana,General,Emerson College,"October 1–4, 2023",462 (RV),± 4.4%,Jim Banks,R,31%,False
2024,Indiana,General,Emerson College,"September 12–13, 2024","1,000 (LV)",± 3.0%,Valerie McCray,D,33%,False
2024,Indiana,General,Emerson College,"October 1–4, 2023",462 (RV),± 4.4%,Valerie McCray,D,22%,False
2024,Montana,General,RealClearPolitics,"October 5 – November 4, 2024",,Sheehy +7.7%,Tim Sheehy,R,50.7%,False
2024,Montana,General,538,"through November 4, 2024",,Sheehy +7.0%,Tim Sheehy,R,49.7%,False
2024,Montana,General,270toWin,"October 10–27, 2024",,Sheehy +6.0%,Tim Sheehy,R,51.0%,False
2024,Montana,General,TheHill,"through November 4, 2024",,Sheehy +6.9%,Tim Sheehy,R,50.0%,False
2024,Montana,General,RealClearPolitics,"October 5 – November 4, 2024",,Sheehy +7.7%,Jon Tester,D,43.0%,True
2024,Montana,General,538,"through November 4, 2024",,Sheehy +7.0%,Jon Tester,D,42.7%,True
2024,Montana,General,270toWin,"October 10–27, 2024",,Sheehy +6.0%,Jon Tester,D,45.0%,True
2024,Montana,General,TheHill,"through November 4, 2024",,Sheehy +6.9%,Jon Tester,D,43.1%,True
2024,New York,General,538,"through November 3, 2024",,Gillibrand +23.2%,Kirsten Gillibrand,D,57.2%,True
2024,New York,General,RealClearPolitics,"September 23 – October 27, 2024",,Gillibrand +20.7%,Kirsten Gillibrand,D,55.0%,True
2024,New York,General,270ToWin,"September 30 - November 4, 2024",,Gillibrand +23.0%,Kirsten Gillibrand,D,55.8%,True
2024,New York,General,TheHill,"through November 3, 2024",,Gillibrand +24.1%,Kirsten Gillibrand,D,58.9%,True
2024,New York,General,538,"through November 3, 2024",,Gillibrand +23.2%,Mike Sapraicone,R,33.9%,False
2024,New York,General,RealClearPolitics,"September 23 – October 27, 2024",,Gillibrand +20.7%,Mike Sapraicone,R,34.3%,False
2024,New York,General,270ToWin,"September 30 - November 4, 2024",,Gillibrand +23.0%,Mike Sapraicone,R,32.8%,False
2024,New York,General,TheHill,"through November 3, 2024",,Gillibrand +24.1%,Mike Sapraicone,R,34.8%,False
2024,Ohio,General,FiveThirtyEight,"through November 4, 2024",,Moreno +0.7%,Sherrod Brown,D,47.1%,True
2024,Ohio,General,RealClearPolitics,"October 23 – November 4, 2024",,Moreno +1.7%,Sherrod Brown,D,46.3%,True
2024,Ohio,General,270toWin,"October 10 – November 4, 2024",,Brown +0.3%,Sherrod Brown,D,47.3%,True
2024,Ohio,General,TheHill,"through November 4, 2024",,Moreno +2.1%,Sherrod Brown,D,46.8%,True
2024,Ohio,General,FiveThirtyEight,"through November 4, 2024",,Moreno +0.7%,Bernie Moreno,R,47.8%,False
2024,Ohio,General,RealClearPolitics,"October 23 – November 4, 2024",,Moreno +1.7%,Bernie Moreno,R,48.0%,False
2024,Ohio,General,270toWin,"October 10 – November 4, 2024",,Brown +0.3%,Bernie Moreno,R,47.0%,False
2024,Ohio,General,TheHill,"through November 4, 2024",,Moreno +2.1%,Bernie Moreno,R,48.9%,False
2024,Washington,General,270ToWin,"October 20 - November 4, 2024",,Cantwell +17.5%,Maria Cantwell,D,55.5%,True
2024,Washington,General,TheHill,"through November 3, 2024",,Cantwell +18.9%,Maria Cantwell,D,57.8%,True
2024,Washington,General,270ToWin,"October 20 - November 4, 2024",,Cantwell +17.5%,Raul,Unknown,38.0%,False
2024,Washington,General,TheHill,"through November 3, 2024",,Cantwell +18.9%,Raul,Unknown,38.9%,False
2024,West Virginia,General,West Virginia MetroNews,"August 21–27, 2024",400 (RV),± 4.9%,Glenn Elliott,D,28%,False
2024,West Virginia,General,West Virginia MetroNews,"June 4, 2024",464 (RV),± 4.6%,Glenn Elliott,D,27%,False
2024,West Virginia,General,West Virginia MetroNews,"August 21–27, 2024",400 (RV),± 4.9%,Jim Justice,R,62%,False
2024,West Virginia,General,West Virginia MetroNews,"June 4, 2024",464 (RV),± 4.6%,Jim Justice,R,60%,False
