Year,State,Election,Election_Type,Row_Type,Incumbent,votes,percentage,candidate,party
1972,Alaska,General election results,General,Total,False,"96,007",100.00%,,
1972,Arkansas,1972 Democratic U.S. Senate run-off results,General,Winning,False,"242,983",52.00%,John L. McClellan (inc.),Democratic Party (United States)
1972,Arkansas,1972 Democratic U.S. Senate run-off results,General,Candidate,False,"224,262",48.00%,David Pryor,Democratic Party (United States)
1972,Arkansas,1972 Democratic U.S. Senate run-off results,General,Total,False,"467,245",100.00%,,
1972,Arkansas,General election results,General,Candidate,False,"248,238",39.12%,Wayne H. Babbitt,Republican Party (United States)
1972,Arkansas,General election results,General,Total,False,"634,636",0.02%,,
1972,Colorado,General election results,General,Candidate,False,"13,228",1.43%,Secundino Salazar,Raza Unida Party
1972,Colorado,General election results,General,Candidate,False,"7,353",0.79%,Henry John Olshaw,American Party (1969)
1972,Colorado,General election results,General,Total,False,"926,083",100.00%,,
1972,Delaware,1972 United States Senate election in Delaware,General,Winning,False,"116,006",50.48%,Joe Biden,Democratic Party (United States)
1972,Delaware,1972 United States Senate election in Delaware,General,Candidate,True,"112,844",49.10%,J. Caleb Boggs,Republican Party (United States)
1972,Delaware,1972 United States Senate election in Delaware,General,Candidate,False,803,0.35%,Henry M. Majka,American Party (1969)
1972,Delaware,1972 United States Senate election in Delaware,General,Candidate,False,175,0.07%,Herbert B. Wood,Prohibition Party
1972,Delaware,1972 United States Senate election in Delaware,General,Total,False,"229,828",100.00%,,
1972,Georgia (special),1972 United States Senate special election in Georgia,General,Winning,False,"404,890",51.98%,Sam Nunn,Democratic Party (United States)
1972,Georgia (special),1972 United States Senate special election in Georgia,General,Candidate,False,"362,501",46.54%,Fletcher Thompson,Republican Party (United States)
1972,Georgia (special),1972 United States Senate special election in Georgia,General,Candidate,False,"7,587",0.97%,Alice Conner,Independent
1972,Georgia (special),1972 United States Senate special election in Georgia,General,Candidate,False,"3,932",0.51%,George E. Schmidt,Independent
1972,Georgia (special),1972 United States Senate special election in Georgia,General,Total,False,"778,910",100.00%,,
1972,Georgia (special),1972 United States Senate election in Georgia,General,Winning,False,"636,060",53.96%,Sam Nunn,Democratic Party (United States)
1972,Georgia (special),1972 United States Senate election in Georgia,General,Candidate,False,"542,291",46.01%,Fletcher Thompson,Republican Party (United States)
1972,Georgia (special),1972 United States Senate election in Georgia,General,Write-in,False,391,0.03%,,
1972,Georgia (special),1972 United States Senate election in Georgia,General,Total,False,"1,178,742",100.00%,,
1972,Idaho,General election results,General,Candidate,False,"6,885",2.22%,Jean L. Stoddard,American Party (1969)
1972,Idaho,General election results,General,Total,False,"309,604",100.00%,,
1972,Illinois,"United States Senate election in Illinois, 1972",General,Winning,True,"2,867,078",62.21%,Charles H. Percy,Republican Party (United States)
1972,Illinois,"United States Senate election in Illinois, 1972",General,Candidate,False,"1,721,031",37.35%,Roman Pucinski,Democratic Party (United States)
1972,Illinois,"United States Senate election in Illinois, 1972",General,Candidate,False,"13,384",0.29%,Edward C. Gross,Socialist Labor Party of America
1972,Illinois,"United States Senate election in Illinois, 1972",General,Candidate,False,"6,103",0.13%,Arnold Becchetti,Communist Party USA
1972,Illinois,"United States Senate election in Illinois, 1972",General,Write-in,False,784,0.02%,,
1972,Iowa,General election results,General,Candidate,False,"8,954",0.74%,"William A. Rocap, Jr.",American Party (1969)
1972,Iowa,General election results,General,Candidate,False,"1,203",0.10%,Fred R. Benton,Independent (politician)
1972,Iowa,General election results,General,Write-in,False,14,0.00%,,
1972,Iowa,General election results,General,Total,False,"1,203,333",100.00%,,
1972,Kentucky,General election results,General,Winning,False,"528,550",50.93%,Walter Dee Huddleston,Democratic Party (United States)
1972,Kentucky,General election results,General,Candidate,False,"494,337",47.63%,Louie Nunn,Republican Party (United States)
1972,Kentucky,General election results,General,Candidate,False,"8,707",0.84%,Helen Breeden,American Party (1969)
1972,Kentucky,General election results,General,Candidate,False,"6,267",0.60%,Walter Bartley,"People's Party (US, 1971)"
1972,Kentucky,General election results,General,Total,False,"1,037,861",100.00%,,
1972,Louisiana,General election results,General,Candidate,False,"250,161",23.06%,John J. McKeithen,Independent (politician)
1972,Louisiana,General election results,General,Total,False,"1,084,904",100.00%,,
1972,Maine,General election results,General,Winning,False,"61,921",90.82%,William Hathaway,Democratic Party (United States)
1972,Maine,General election results,General,Candidate,False,"6,263",9.19%,Jack L. Smith,Democratic Party (United States)
1972,Maine,General election results,General,Total,False,"68,184",100.0%,,
1972,Maine,General election results,General,Winning,False,"224,270",53.23%,William Hathaway,Democratic Party (United States)
1972,Maine,General election results,General,Candidate,True,"197,040",46.77%,Margaret Chase Smith,Republican Party (United States)
1972,Maine,General election results,General,Total,False,"421,310",100.0%,,
1972,Massachusetts,1972 U.S. Senate election in Massachusetts,General,Total,False,"2,370,579",100.00%,,
1972,Michigan,General election results,General,Candidate,False,"23,121",0.68%,Patrick V. Dillinger,American Independent Party
1972,Michigan,General election results,General,Candidate,False,"19,118",0.56%,Barbara Halpert,Human Rights Party (United States)
1972,Michigan,General election results,General,Candidate,False,"2,389",0.07%,Linda Norquist,Socialist Workers Party (US)
1972,Michigan,General election results,General,Candidate,False,"1,908",0.06%,Thomas D. Dennis Jr.,Communist Party USA
1972,Michigan,General election results,General,Total,False,"3,406,906",100.00%,,
1972,Minnesota,General election results,General,Winning,True,"981,320",56.67%,Walter Mondale,Minnesota Democratic–Farmer–Labor Party
1972,Minnesota,General election results,General,Candidate,False,"742,121",42.86%,Phil Hansen,Republican Party of Minnesota
1972,Minnesota,General election results,General,Candidate,False,"8,192",0.47%,Karl H. Heck,Industrial Government Party (United States)
1972,Minnesota,General election results,General,Total,False,"1,731,633",100.00%,,
1972,Mississippi,"Mississippi U.S. Senate Election, 1972",General,Candidate,False,"14,662",2.27%,Prentiss Walker,Independent (politician)
1972,Mississippi,"Mississippi U.S. Senate Election, 1972",General,Candidate,False,"6,203",0.96%,C.L.McKinley,Independent (politician)
1972,Montana,"United States Senate election in Montana, 1972",General,Winning,True,"163,609",51.95%,Lee Metcalf,Democratic Party (United States)
1972,Montana,"United States Senate election in Montana, 1972",General,Candidate,False,"151,316",48.05%,Hank Hibbard,Republican Party (United States)
1972,Nebraska,1972 United States Senate election in Nebraska,General,Winning,False,"301,841",53.09%,Carl Curtis ([[incumbent,Republican Party (United States)
1972,Nebraska,1972 United States Senate election in Nebraska,General,Candidate,False,"265,922",46.77%,Terry Carpenter,Democratic Party (United States)
1972,Nebraska,1972 United States Senate election in Nebraska,General,Write-in,False,817,0.14%,,
1972,Nebraska,1972 United States Senate election in Nebraska,General,Total,False,"568,580",100.00%,,
1972,New Jersey,1972 United States Senate election in New Jersey,General,Candidate,False,"40,980",1.47%,A. Howard Freund,American Party (1969)
1972,New Jersey,1972 United States Senate election in New Jersey,General,Candidate,False,"33,442",1.20%,Charles W. Wiley,Independent politician
1972,New Mexico,General election results,General,Winning,False,"204,253",54.03%,Pete Domenici,Republican Party (US)
1972,New Mexico,General election results,General,Candidate,False,"173,815",45.97%,[[Jack Daniels (New Mexico politician),Democratic Party (US)
1972,New Mexico,General election results,General,Total,False,"378,068",100.00%,,
1972,North Carolina,1972 Democratic Senate runoff,General,Total,False,"606,555",100.00%,,
1972,North Carolina,1972 U.S. Senate election in North Carolina,General,Total,False,"1,472,540",100.00%,,
1972,Oklahoma,1972 United States Senate election in Oklahoma,General,Winning,False,"516,934",51.43%,Dewey F. Bartlett,Republican Party (United States)
1972,Oklahoma,1972 United States Senate election in Oklahoma,General,Candidate,False,"478,212",47.58%,[[Ed Edmondson (politician),Democratic Party (United States)
1972,Oklahoma,1972 United States Senate election in Oklahoma,General,Candidate,False,"5,769",0.57%,William G. Roach,American Party (1969)
