Year,State,Primary_Type,Poll_Source,Date,Sample,MoE,Candidate,Party,Pct,Incumbent
2008,Maine,Democratic Primary,Rasmussen Reports,"November 1, 2008",,,Tom Allen,D,41%,False
2008,Maine,Democratic Primary,Survey USA,"October 20, 2008",,,Tom Allen,D,43%,False
2008,Maine,Democratic Primary,Rasmussen Reports,"October 2, 2008",,,Tom Allen,D,43%,False
2008,Maine,Democratic Primary,Survey USA,"September 22–23, 2008",,,Tom Allen,D,39%,False
2008,Maine,Democratic Primary,Rasmussen Reports,"September 17, 2008",,,Tom Allen,D,42%,False
2008,Maine,Democratic Primary,Rasmussen Reports,"August 12, 2008",,,Tom Allen,D,40%,False
2008,Maine,Democratic Primary,Rasmussen Reports,"July 17, 2008",,,Tom Allen,D,42%,False
2008,Maine,Democratic Primary,Pan Atlantic SMS Group,"June 18, 2008",,,Tom Allen,D,31%,False
2008,Maine,Democratic Primary,Rasmussen Reports,"June 16, 2008",,,Tom Allen,D,42%,False
2008,Maine,Democratic Primary,Rasmussen Reports,"May 14, 2008",,,Tom Allen,D,42%,False
2008,Maine,Democratic Primary,Rasmussen Reports,"April 1, 2008",,,Tom Allen,D,38%,False
2008,Maine,Democratic Primary,McLaughlin & Associates,"March 6–9, 2008",,,Tom Allen,D,31%,False
2008,Maine,Democratic Primary,Critical Insights,"October 12–30, 2007",,,Tom Allen,D,34%,False
2008,Maine,Democratic Primary,Survey USA,"October 26–29, 2007",,,Tom Allen,D,38%,False
2008,Maine,Democratic Primary,Research 2000,"October 15–17, 2007",,,Tom Allen,D,33%,False
2008,Maine,Democratic Primary,Rasmussen Reports,"November 1, 2008",,,Susan Collins,R,57%,True
2008,Maine,Democratic Primary,Survey USA,"October 20, 2008",,,Susan Collins,R,54%,True
2008,Maine,Democratic Primary,Rasmussen Reports,"October 2, 2008",,,Susan Collins,R,53%,True
2008,Maine,Democratic Primary,Survey USA,"September 22–23, 2008",,,Susan Collins,R,55%,True
2008,Maine,Democratic Primary,Rasmussen Reports,"September 17, 2008",,,Susan Collins,R,55%,True
2008,Maine,Democratic Primary,Rasmussen Reports,"August 12, 2008",,,Susan Collins,R,55%,True
2008,Maine,Democratic Primary,Rasmussen Reports,"July 17, 2008",,,Susan Collins,R,49%,True
2008,Maine,Democratic Primary,Pan Atlantic SMS Group,"June 18, 2008",,,Susan Collins,R,56%,True
2008,Maine,Democratic Primary,Rasmussen Reports,"June 16, 2008",,,Susan Collins,R,49%,True
2008,Maine,Democratic Primary,Rasmussen Reports,"May 14, 2008",,,Susan Collins,R,52%,True
2008,Maine,Democratic Primary,Rasmussen Reports,"April 1, 2008",,,Susan Collins,R,54%,True
2008,Maine,Democratic Primary,McLaughlin & Associates,"March 6–9, 2008",,,Susan Collins,R,54%,True
2008,Maine,Democratic Primary,Critical Insights,"October 12–30, 2007",,,Susan Collins,R,54%,True
2008,Maine,Democratic Primary,Survey USA,"October 26–29, 2007",,,Susan Collins,R,55%,True
2008,Maine,Democratic Primary,Research 2000,"October 15–17, 2007",,,Susan Collins,R,56%,True
