Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
1918,Alabama,Alabama primary,Primary,Winning,True,Democratic Party (US),John H. Bankhead,"59,387",55.62
1918,Alabama,Alabama primary,Primary,Candidate,False,Democratic Party (US),[[Frank White (Alabama politician),"47,381",44.38
1918,Alabama,Alabama primary,Primary,Total,False,,,"106,768",100.00
1918,Alabama,South Carolina Democratic primary,Primary,Winning,False,Democratic Party (US),Nathaniel B. Dial,"65,064",58.70
1918,Alabama,South Carolina Democratic primary,Primary,Candidate,False,Democratic Party (US),Cole L. Blease,"40,456",36.50
1918,Alabama,South Carolina Democratic primary,Primary,Candidate,False,Democratic Party (US),James F. Rice,"5,317",4.80
1918,Alabama,South Carolina Democratic primary,Primary,Total,False,,,"110,837",100.00
1918,Alabama,South Carolina special Democratic primary,Primary,Winning,False,Democratic Party (US),William P. Pollock,"38,816",34.91
1918,Alabama,South Carolina special Democratic primary,Primary,Winning,False,Democratic Party (US),Thomas H. Peeples,"37,567",33.79
1918,Alabama,South Carolina special Democratic primary,Primary,Candidate,True,Democratic Party (US),Christie Benet,"34,807",31.30
1918,Alabama,South Carolina special Democratic primary,Primary,Total,False,,,"111,190",100.00
1918,Alabama,South Carolina special Democratic primary runoff,Primary,Winning,False,Democratic Party (US),William P. Pollock,"49,920",62.43
1918,Alabama,South Carolina special Democratic primary runoff,Primary,Candidate,False,Democratic Party (US),Thomas H. Peeples,"30,044",37.57
1918,Alabama,South Carolina special Democratic primary runoff,Primary,Total,False,,,"79,964",100.00
1918,Arkansas,Alabama primary,Primary,Winning,True,Democratic Party (US),John H. Bankhead,"59,387",55.62
1918,Arkansas,Alabama primary,Primary,Candidate,False,Democratic Party (US),[[Frank White (Alabama politician),"47,381",44.38
1918,Arkansas,Alabama primary,Primary,Total,False,,,"106,768",100.00
1918,Arkansas,South Carolina Democratic primary,Primary,Winning,False,Democratic Party (US),Nathaniel B. Dial,"65,064",58.70
1918,Arkansas,South Carolina Democratic primary,Primary,Candidate,False,Democratic Party (US),Cole L. Blease,"40,456",36.50
1918,Arkansas,South Carolina Democratic primary,Primary,Candidate,False,Democratic Party (US),James F. Rice,"5,317",4.80
1918,Arkansas,South Carolina Democratic primary,Primary,Total,False,,,"110,837",100.00
1918,Arkansas,South Carolina special Democratic primary,Primary,Winning,False,Democratic Party (US),William P. Pollock,"38,816",34.91
1918,Arkansas,South Carolina special Democratic primary,Primary,Winning,False,Democratic Party (US),Thomas H. Peeples,"37,567",33.79
1918,Arkansas,South Carolina special Democratic primary,Primary,Candidate,True,Democratic Party (US),Christie Benet,"34,807",31.30
1918,Arkansas,South Carolina special Democratic primary,Primary,Total,False,,,"111,190",100.00
1918,Arkansas,South Carolina special Democratic primary runoff,Primary,Winning,False,Democratic Party (US),William P. Pollock,"49,920",62.43
1918,Arkansas,South Carolina special Democratic primary runoff,Primary,Candidate,False,Democratic Party (US),Thomas H. Peeples,"30,044",37.57
1918,Arkansas,South Carolina special Democratic primary runoff,Primary,Total,False,,,"79,964",100.00
1918,Colorado,Democratic primary results,Primary,Winning,False,Democratic Party (United States),John F. Shafroth (inc.),"42,664",100.00
1918,Colorado,Democratic primary results,Primary,Total,False,,,"42,664",100.00
1918,Colorado,Republican primary results,Primary,Winning,False,Republican Party (United States),Lawrence C. Phipps,"31,537",67.43
1918,Colorado,Republican primary results,Primary,Candidate,False,Republican Party (United States),Charles W. Waterman,"15,235",32.57
1918,Colorado,Republican primary results,Primary,Total,False,,,"46,772",100.00
1918,Delaware,Alabama primary,Primary,Winning,True,Democratic Party (US),John H. Bankhead,"59,387",55.62
1918,Delaware,Alabama primary,Primary,Candidate,False,Democratic Party (US),[[Frank White (Alabama politician),"47,381",44.38
1918,Delaware,Alabama primary,Primary,Total,False,,,"106,768",100.00
1918,Delaware,South Carolina Democratic primary,Primary,Winning,False,Democratic Party (US),Nathaniel B. Dial,"65,064",58.70
1918,Delaware,South Carolina Democratic primary,Primary,Candidate,False,Democratic Party (US),Cole L. Blease,"40,456",36.50
1918,Delaware,South Carolina Democratic primary,Primary,Candidate,False,Democratic Party (US),James F. Rice,"5,317",4.80
1918,Delaware,South Carolina Democratic primary,Primary,Total,False,,,"110,837",100.00
1918,Delaware,South Carolina special Democratic primary,Primary,Winning,False,Democratic Party (US),William P. Pollock,"38,816",34.91
1918,Delaware,South Carolina special Democratic primary,Primary,Winning,False,Democratic Party (US),Thomas H. Peeples,"37,567",33.79
1918,Delaware,South Carolina special Democratic primary,Primary,Candidate,True,Democratic Party (US),Christie Benet,"34,807",31.30
1918,Delaware,South Carolina special Democratic primary,Primary,Total,False,,,"111,190",100.00
1918,Delaware,South Carolina special Democratic primary runoff,Primary,Winning,False,Democratic Party (US),William P. Pollock,"49,920",62.43
1918,Delaware,South Carolina special Democratic primary runoff,Primary,Candidate,False,Democratic Party (US),Thomas H. Peeples,"30,044",37.57
1918,Delaware,South Carolina special Democratic primary runoff,Primary,Total,False,,,"79,964",100.00
1918,Georgia,Alabama primary,Primary,Winning,True,Democratic Party (US),John H. Bankhead,"59,387",55.62
1918,Georgia,Alabama primary,Primary,Candidate,False,Democratic Party (US),[[Frank White (Alabama politician),"47,381",44.38
1918,Georgia,Alabama primary,Primary,Total,False,,,"106,768",100.00
1918,Georgia,South Carolina Democratic primary,Primary,Winning,False,Democratic Party (US),Nathaniel B. Dial,"65,064",58.70
1918,Georgia,South Carolina Democratic primary,Primary,Candidate,False,Democratic Party (US),Cole L. Blease,"40,456",36.50
1918,Georgia,South Carolina Democratic primary,Primary,Candidate,False,Democratic Party (US),James F. Rice,"5,317",4.80
1918,Georgia,South Carolina Democratic primary,Primary,Total,False,,,"110,837",100.00
1918,Georgia,South Carolina special Democratic primary,Primary,Winning,False,Democratic Party (US),William P. Pollock,"38,816",34.91
1918,Georgia,South Carolina special Democratic primary,Primary,Winning,False,Democratic Party (US),Thomas H. Peeples,"37,567",33.79
1918,Georgia,South Carolina special Democratic primary,Primary,Candidate,True,Democratic Party (US),Christie Benet,"34,807",31.30
1918,Georgia,South Carolina special Democratic primary,Primary,Total,False,,,"111,190",100.00
1918,Georgia,South Carolina special Democratic primary runoff,Primary,Winning,False,Democratic Party (US),William P. Pollock,"49,920",62.43
1918,Georgia,South Carolina special Democratic primary runoff,Primary,Candidate,False,Democratic Party (US),Thomas H. Peeples,"30,044",37.57
1918,Georgia,South Carolina special Democratic primary runoff,Primary,Total,False,,,"79,964",100.00
1918,Idaho,Democratic primary results,Primary,Winning,False,Democratic Party (United States),Frank L. Moore,"18,905",100.00
1918,Idaho,Democratic primary results,Primary,Total,False,,,"18,905",
1918,Idaho,Republican primary results,Primary,Winning,True,Republican Party (United States),William Borah,"26,910",100.00
1918,Idaho,Republican primary results,Primary,Total,False,,,"26,910",
1918,Idaho (special),Democratic primary results,Primary,Winning,True,Democratic Party (United States),John F. Nugent,"21,312",64.81
1918,Idaho (special),Democratic primary results,Primary,Candidate,False,Democratic Party (United States),James H. Hawley,"11,570",35.19
1918,Idaho (special),Democratic primary results,Primary,Total,False,,,"32,882",
1918,Idaho (special),Republican primary results,Primary,Winning,False,Republican Party (United States),Frank R. Gooding,"16,427",59.87
1918,Idaho (special),Republican primary results,Primary,Candidate,False,Republican Party (United States),James F. Ailshie,"11,011",40.13
1918,Idaho (special),Republican primary results,Primary,Total,False,,,"27,438",
1918,Illinois,Democratic primary,Primary,Winning,True,Democratic Party (United States),James Hamilton Lewis,"169,552",81.37
1918,Illinois,Democratic primary,Primary,Candidate,False,Democratic Party (United States),James O. Monroe,"21,288",10.22
1918,Illinois,Democratic primary,Primary,Candidate,False,Democratic Party (United States),James Traynor,"17,523",8.41
1918,Illinois,Democratic primary,Primary,Total,False,,,"208,363",100
1918,Illinois,Republican primary,Primary,Winning,False,Republican Party (United States),Medill McCormick,"192,222",44.04
1918,Illinois,Republican primary,Primary,Candidate,False,Republican Party (United States),William Hale Thompson,"169,552",38.85
1918,Illinois,Republican primary,Primary,Candidate,False,Republican Party (United States),George Edmund Foss,"62,040",14.22
1918,Illinois,Republican primary,Primary,Candidate,False,Republican Party (United States),Patrick H. O'Donnell,"7,535",1.73
1918,Illinois,Republican primary,Primary,Candidate,False,Republican Party (United States),Alfred E. Case,"5,075",1.16
1918,Illinois,Republican primary,Primary,Total,False,,,"436,424",100
1918,Illinois,Socialist primary,Primary,Winning,False,Socialist Party of America,William Bross Lloyd,"1,801",100
1918,Illinois,Socialist primary,Primary,Total,False,,,"1,801",100
1918,Kansas,Democratic primary results,Primary,Winning,False,Democratic Party (United States),William H. Thompson (inc.),"29,080",75.36%
1918,Kansas,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),George W. Marble,"9,510",24.64%
1918,Kansas,Democratic primary results,Primary,Total,False,,,"38,590",100.00%
1918,Kansas,Republican primary results,Primary,Winning,False,Republican Party (United States),Arthur Capper,"103,120",59.45%
1918,Kansas,Republican primary results,Primary,Candidate,False,Republican Party (United States),Walter R. Stubbs,"31,614",18.22%
1918,Kansas,Republican primary results,Primary,Candidate,False,Republican Party (United States),Charles F. Scott,"24,826",14.31%
1918,Kansas,Republican primary results,Primary,Candidate,False,Republican Party (United States),Joseph L. Bristow,"13,911",8.02%
1918,Kansas,Republican primary results,Primary,Total,False,,,"173,471",100.00%
1918,Kansas,Socialist primary results,Primary,Winning,False,Socialist Party (United States),Eva Harding,"1,245",100.00%
1918,Kansas,Socialist primary results,Primary,Total,False,,,"1,245",100.00%
1918,Louisiana,Alabama primary,Primary,Winning,True,Democratic Party (US),John H. Bankhead,"59,387",55.62
1918,Louisiana,Alabama primary,Primary,Candidate,False,Democratic Party (US),[[Frank White (Alabama politician),"47,381",44.38
1918,Louisiana,Alabama primary,Primary,Total,False,,,"106,768",100.00
1918,Louisiana,South Carolina Democratic primary,Primary,Winning,False,Democratic Party (US),Nathaniel B. Dial,"65,064",58.70
1918,Louisiana,South Carolina Democratic primary,Primary,Candidate,False,Democratic Party (US),Cole L. Blease,"40,456",36.50
1918,Louisiana,South Carolina Democratic primary,Primary,Candidate,False,Democratic Party (US),James F. Rice,"5,317",4.80
1918,Louisiana,South Carolina Democratic primary,Primary,Total,False,,,"110,837",100.00
1918,Louisiana,South Carolina special Democratic primary,Primary,Winning,False,Democratic Party (US),William P. Pollock,"38,816",34.91
1918,Louisiana,South Carolina special Democratic primary,Primary,Winning,False,Democratic Party (US),Thomas H. Peeples,"37,567",33.79
1918,Louisiana,South Carolina special Democratic primary,Primary,Candidate,True,Democratic Party (US),Christie Benet,"34,807",31.30
1918,Louisiana,South Carolina special Democratic primary,Primary,Total,False,,,"111,190",100.00
1918,Louisiana,South Carolina special Democratic primary runoff,Primary,Winning,False,Democratic Party (US),William P. Pollock,"49,920",62.43
