Year,State,Election,Election_Type,Row_Type,Incumbent,candidate,party,votes,percentage
2014,Alaska,Democratic–Libertarian–Independence primary results,Primary,Winning,True,Mark Begich,Democratic Party (United States),"58,092",83.31%
2014,Alaska,Democratic–Libertarian–Independence primary results,Primary,Winning,False,Thom Walker,Alaska Libertarian Party,"3,167",4.54%
2014,Alaska,Democratic–Libertarian–Independence primary results,Primary,Winning,False,Vic Kohring,Alaskan Independence Party,"2,557",3.67%
2014,Alaska,Democratic–Libertarian–Independence primary results,Primary,Candidate,False,William Bryk,Democratic Party (United States),"2,024",2.90%
2014,Alaska,Democratic–Libertarian–Independence primary results,Primary,Candidate,False,Zachary Kile,Alaskan Independence Party,"1,869",2.68%
2014,Alaska,Democratic–Libertarian–Independence primary results,Primary,Candidate,False,Mark Fish,Alaska Libertarian Party,"1,290",1.85%
2014,Alaska,Democratic–Libertarian–Independence primary results,Primary,Candidate,False,Scott Kohlhaas,Alaska Libertarian Party,734,1.05%
2014,Alaska,Democratic–Libertarian–Independence primary results,Primary,Total,False,,,"69,733",100.00%
2014,Alaska,Republican primary results,Primary,Winning,False,[[Dan Sullivan (U.S. senator),Republican Party (United States),"44,740",40.05%
2014,Alaska,Republican primary results,Primary,Candidate,False,[[Joe Miller (Alaska politician),Republican Party (United States),"35,904",32.14%
2014,Alaska,Republican primary results,Primary,Candidate,False,Mead Treadwell,Republican Party (United States),"27,807",24.90%
2014,Alaska,Republican primary results,Primary,Candidate,False,John Jaramillo,Republican Party (United States),"3,246",2.91%
2014,Alaska,Republican primary results,Primary,Total,False,,,"111,697",100.00%
2014,Colorado,Democratic primary results,Primary,Winning,True,Mark Udall,Democratic Party (United States),"213,746",100.00%
2014,Colorado,Democratic primary results,Primary,Total,False,,,"213,746",100.00%
2014,Colorado,Republican primary results,Primary,Winning,False,Cory Gardner,Republican Party (United States),"338,324",100.00%
2014,Colorado,Republican primary results,Primary,Total,False,,,"338,324",100.00%
2014,Delaware,Republican primary results,Primary,Winning,False,Kevin Wade,Republican Party (United States),"18,181",75.66
2014,Delaware,Republican primary results,Primary,Candidate,False,Carl Smink,Republican Party (United States),"5,848",24.34
2014,Delaware,Republican primary results,Primary,Total,False,,,"24,029",100
2014,Georgia,Republican primary results,Primary,Winning,False,David Perdue,Republican Party (United States),"185,466",30.64%
2014,Georgia,Republican primary results,Primary,Winning,False,Jack Kingston,Republican Party (United States),"156,157",25.80%
2014,Georgia,Republican primary results,Primary,Candidate,False,Karen Handel,Republican Party (United States),"132,944",21.96%
2014,Georgia,Republican primary results,Primary,Candidate,False,Phil Gingrey,Republican Party (United States),"60,735",10.03%
2014,Georgia,Republican primary results,Primary,Candidate,False,Paul Broun,Republican Party (United States),"58,297",9.63%
2014,Georgia,Republican primary results,Primary,Candidate,False,Derrick Grayson,Republican Party (United States),"6,045",1.00%
2014,Georgia,Republican primary results,Primary,Candidate,False,Art Gardner,Republican Party (United States),"5,711",0.94%
2014,Georgia,Republican primary results,Primary,Total,False,,,"605,355",100.00%
2014,Georgia,Republican primary runoff results,Primary,Winning,False,David Perdue,Republican Party (United States),"245,951",50.88%
2014,Georgia,Republican primary runoff results,Primary,Candidate,False,Jack Kingston,Republican Party (United States),"237,448",49.12%
2014,Georgia,Republican primary runoff results,Primary,Total,False,,,"483,399",100.00%
2014,Georgia,Democratic primary results,Primary,Winning,False,Michelle Nunn,Democratic Party (United States),"246,369",74.95%
2014,Georgia,Democratic primary results,Primary,Candidate,False,Steen Miles,Democratic Party (United States),"39,418",11.99%
2014,Georgia,Democratic primary results,Primary,Candidate,False,Todd Robinson,Democratic Party (United States),"31,822",9.68%
2014,Georgia,Democratic primary results,Primary,Candidate,False,Branko Radulovacki,Democratic Party (United States),"11,101",3.38%
2014,Georgia,Democratic primary results,Primary,Total,False,,,"328,710",100.00%
2014,Hawaii (special),Democratic primary results,Primary,Winning,True,Brian Schatz,Democratic Party (United States),"115,445",48.52%
2014,Hawaii (special),Democratic primary results,Primary,Candidate,False,Colleen Hanabusa,Democratic Party (United States),"113,663",47.77%
2014,Hawaii (special),Democratic primary results,Primary,Candidate,False,Brian Evans,Democratic Party (United States),"4,842",2.03%
2014,Hawaii (special),Democratic primary results,Primary,Candidate,False,[[Undervote,Democratic Party (United States),"3,842",1.61%
2014,Hawaii (special),Democratic primary results,Primary,Candidate,False,[[Overvote,Democratic Party (United States),150,0.06%
2014,Hawaii (special),Democratic primary results,Primary,Total,False,,,"237,942",100.00%
2014,Hawaii (special),Republican primary results,Primary,Winning,False,Campbell Cavasso,Republican Party (United States),"25,874",58.61%
2014,Hawaii (special),Republican primary results,Primary,Candidate,False,John P. Roco,Republican Party (United States),"4,425",10.02%
2014,Hawaii (special),Republican primary results,Primary,Candidate,False,"Harry J. Friel, Jr.",Republican Party (United States),"3,477",7.88%
2014,Hawaii (special),Republican primary results,Primary,Candidate,False,Eddie Pirkowski,Republican Party (United States),"2,033",4.60%
2014,Hawaii (special),Republican primary results,Primary,Candidate,False,[[Undervote,Republican Party (United States),"8,306",18.81%
2014,Hawaii (special),Republican primary results,Primary,Candidate,False,[[Overvote,Republican Party (United States),34,0.08%
2014,Hawaii (special),Republican primary results,Primary,Total,False,,,"44,149",100.00%
2014,Hawaii (special),Libertarian primary results,Primary,Winning,False,Michael Kokoski,Libertarian Party (United States),568,79.89%
2014,Hawaii (special),Libertarian primary results,Primary,Candidate,False,[[Undervote,Libertarian Party (United States),143,20.11%
2014,Hawaii (special),Libertarian primary results,Primary,Total,False,,,711,100.00%
2014,Hawaii (special),Independent primary results,Primary,Candidate,False,Joy Allison,Independent politician,388,34.80%
2014,Hawaii (special),Independent primary results,Primary,Candidate,False,Arturo Pacheco Reyes,Independent politician,184,16.50%
2014,Hawaii (special),Independent primary results,Primary,Candidate,False,[[Undervote,Independent politician,540,48.43%
2014,Hawaii (special),Independent primary results,Primary,Candidate,False,[[Overvote,Independent politician,3,0.27%
2014,Hawaii (special),Independent primary results,Primary,Total,False,,,"1,115",100.00%
2014,Idaho,Republican primary results,Primary,Winning,True,Jim Risch,Republican Party (United States),"118,927",79.91%
2014,Idaho,Republican primary results,Primary,Candidate,False,Jeremy Anderson,Republican Party (United States),"29,897",20.09%
2014,Idaho,Republican primary results,Primary,Total,False,,,"148,824",100.00%
2014,Idaho,Democratic primary results,Primary,Winning,False,Nels Mitchell,Democratic Party (United States),"16,905",69.6%
2014,Idaho,Democratic primary results,Primary,Candidate,False,William Bryk,Democratic Party (United States),"7,383",30.4%
2014,Idaho,Democratic primary results,Primary,Total,False,,,"24,288",100.0%
2014,Illinois,Democratic primary results,Primary,Winning,True,Dick Durbin,Democratic Party (United States),"429,041",100.00%
2014,Illinois,Democratic primary results,Primary,Total,False,,,"429,041",100.00%
2014,Illinois,Republican primary results,Primary,Winning,False,Jim Oberweis,Republican Party (United States),"423,097",56.08%
2014,Illinois,Republican primary results,Primary,Candidate,False,Doug Truax,Republican Party (United States),"331,237",43.91%
2014,Illinois,Republican primary results,Primary,Candidate,False,Write-in,Republican Party (United States),54,<0.01%
2014,Illinois,Republican primary results,Primary,Total,False,,,"754,388",100.00%
2014,Iowa,Democratic primary results,Primary,Winning,False,Bruce Braley,Democratic Party (United States),"62,623",99.2%
2014,Iowa,Democratic primary results,Primary,Candidate,False,Write-ins,Democratic Party (United States),504,0.8%
2014,Iowa,Democratic primary results,Primary,Total,False,,,"63,127",100.0%
2014,Iowa,Republican primary results,Primary,Winning,False,Joni Ernst,Republican Party (United States),"88,692",56.12%
2014,Iowa,Republican primary results,Primary,Candidate,False,Sam Clovis,Republican Party (United States),"28,434",17.99%
2014,Iowa,Republican primary results,Primary,Candidate,False,Mark Jacobs,Republican Party (United States),"26,582",16.82%
2014,Iowa,Republican primary results,Primary,Candidate,False,Matthew Whitaker,Republican Party (United States),"11,909",7.54%
2014,Iowa,Republican primary results,Primary,Candidate,False,Scott Schaben,Republican Party (United States),"2,270",1.44%
2014,Iowa,Republican primary results,Primary,Candidate,False,Write-ins,Republican Party (United States),144,0.09%
2014,Iowa,Republican primary results,Primary,Total,False,,,"158,031",100.00%
2014,Kansas,Republican primary results,Primary,Winning,True,Pat Roberts,Republican Party (United States),"127,089",48.08%
2014,Kansas,Republican primary results,Primary,Candidate,False,Milton Wolf,Republican Party (United States),"107,799",40.78%
2014,Kansas,Republican primary results,Primary,Candidate,False,D.J. Smith,Republican Party (United States),"15,288",5.78%
2014,Kansas,Republican primary results,Primary,Candidate,False,Alvin E. Zahnter,Republican Party (United States),"13,935",5.26%
2014,Kansas,Republican primary results,Primary,Total,False,,,"264,340",100.00%
2014,Kansas,Democratic primary results,Primary,Winning,False,Chad Taylor,Democratic Party (United States),"35,067",53.3%
2014,Kansas,Democratic primary results,Primary,Candidate,False,Patrick Wiesner,Democratic Party (United States),"30,752",46.7%
2014,Kansas,Democratic primary results,Primary,Total,False,,,"65,819",100.0%
2014,Kentucky,Republican primary results,Primary,Winning,True,Mitch McConnell,Republican Party (United States),"213,753",60.19%
2014,Kentucky,Republican primary results,Primary,Candidate,False,Matt Bevin,Republican Party (United States),"125,787",35.42%
2014,Kentucky,Republican primary results,Primary,Candidate,False,Shawna Sterling,Republican Party (United States),"7,214",2.03%
2014,Kentucky,Republican primary results,Primary,Candidate,False,Chris Payne,Republican Party (United States),"5,338",1.51%
2014,Kentucky,Republican primary results,Primary,Candidate,False,Brad Copas,Republican Party (United States),"3,024",0.85%
2014,Kentucky,Republican primary results,Primary,Total,False,,,"355,116",100.00%
2014,Kentucky,Democratic primary results,Primary,Winning,False,Alison Lundergan Grimes,Democratic Party (United States),"307,821",76.47%
2014,Kentucky,Democratic primary results,Primary,Candidate,False,Greg Leichty,Democratic Party (United States),"32,602",8.10%
2014,Kentucky,Democratic primary results,Primary,Candidate,False,Burrel Farnsley,Democratic Party (United States),"32,310",8.03%
2014,Kentucky,Democratic primary results,Primary,Candidate,False,Tom Recktenwald,Democratic Party (United States),"29,791",7.40%
2014,Kentucky,Democratic primary results,Primary,Total,False,,,"402,524",100.00%
2014,Louisiana,"United States Senate election jungle primary in Louisiana, 2014",Primary,Winning,True,Mary Landrieu,Democratic Party (United States),"619,402",42.08%
2014,Louisiana,"United States Senate election jungle primary in Louisiana, 2014",Primary,Winning,False,Bill Cassidy,Republican Party (United States),"603,048",40.97%
2014,Louisiana,"United States Senate election jungle primary in Louisiana, 2014",Primary,Candidate,False,Rob Maness,Republican Party (United States),"202,556",13.76%
2014,Louisiana,"United States Senate election jungle primary in Louisiana, 2014",Primary,Candidate,False,Thomas Clements,Republican Party (United States),"14,173",0.96%
2014,Louisiana,"United States Senate election jungle primary in Louisiana, 2014",Primary,Candidate,False,Brannon McMorris,Libertarian Party (United States),"13,034",0.89%
2014,Louisiana,"United States Senate election jungle primary in Louisiana, 2014",Primary,Candidate,False,Wayne Ables,Democratic Party (United States),"11,323",0.77%
2014,Louisiana,"United States Senate election jungle primary in Louisiana, 2014",Primary,Candidate,False,William Waymire,Democratic Party (United States),"4,673",0.32%
2014,Louisiana,"United States Senate election jungle primary in Louisiana, 2014",Primary,Candidate,False,Vallian Senegal,Democratic Party (United States),"3,835",0.26%
2014,Louisiana,"United States Senate election jungle primary in Louisiana, 2014",Primary,Total,False,,,"1,473,826",100%
2014,Maine,Republican primary results,Primary,Winning,True,Susan Collins,Republican Party (United States),"59,767",100.00%
2014,Maine,Republican primary results,Primary,Total,False,,,"59,767",100.00%
2014,Maine,Democratic primary results,Primary,Winning,False,Shenna Bellows,Democratic Party (United States),"65,085",100.00%
2014,Maine,Democratic primary results,Primary,Total,False,,,"65,085",100.00%
2014,Michigan,Democratic primary results,Primary,Winning,False,Gary Peters,Democratic Party (United States),"504,102",100.00%
2014,Michigan,Democratic primary results,Primary,Total,False,,,"504,102",100.00%
2014,Michigan,Republican primary results,Primary,Winning,False,Terri Lynn Land,Republican Party (United States),"588,084",100.00%
2014,Michigan,Republican primary results,Primary,Total,False,,,"588,084",100.00%
2014,Minnesota,Democratic primary election results,Primary,Winning,True,Al Franken,Minnesota Democratic–Farmer–Labor Party,"182,720",94.5%
2014,Minnesota,Democratic primary election results,Primary,Candidate,False,Sandra Henningsgard,Minnesota Democratic–Farmer–Labor Party,"10,627",5.5%
2014,Minnesota,Democratic primary election results,Primary,Total,False,,,"193,347",100.0%
