year,state,state_code,chamber,district,race,candidate,party,votes,percentage,winner,incumbent
2014,Alabama,AL,State House,1,general,Phillip Pettus,Republican,4933.0,51.4,True,False
2014,Alabama,AL,State House,1,general,Greg Burdine,Democratic,4652.0,48.5,False,True
2014,Alabama,AL,State House,2,general,Lynn Greer,Republican,8561.0,62.1,True,True
2014,Alabama,AL,State House,2,general,Andy Betterton,Democratic,5224.0,37.8,False,False
2014,Alabama,AL,State House,3,general,Marcel Black,Democratic,7993.0,59.8,True,True
2014,Alabama,AL,State House,3,general,Fred Joly,Republican,5357.0,40.1,False,False
2014,Alabama,AL,State House,4,general,Micky Hammon,Republican,8473.0,98.35,True,True
2014,Alabama,AL,State House,5,general,Dan Williams,Republican,8807.0,56.24,True,True
2014,Alabama,AL,State House,5,general,Henry A. White,Democratic,5520.0,43.56,False,False
2014,Alabama,AL,State House,6,general,Phil Williams,Republican,8323.0,97.2,True,False
2014,Alabama,AL,State House,7,general,Ken Johnson,Republican,7096.0,50.62,True,True
2014,Alabama,AL,State House,7,general,Jody Letson,Democratic,6911.0,49.3,False,False
2014,Alabama,AL,State House,8,general,Terri Collins,Republican,6574.0,56.0,True,False
2014,Alabama,AL,State House,8,general,Drama Breland,Democratic,5147.0,43.9,False,False
2014,Alabama,AL,State House,9,general,Ed Henry,Republican,11405.0,72.6,True,False
2014,Alabama,AL,State House,9,general,Kathy White Goodwin,Democratic,4294.0,27.3,False,False
2014,Alabama,AL,State House,10,general,Mike Ball,Republican,11950.0,98.4,True,True
2014,Alabama,AL,State House,11,general,Jeremy H. Oden,Republican,12977.0,98.9,True,True
2014,Alabama,AL,State House,12,general,Mac Buttram,Republican,9062.0,54.1,True,False
2014,Alabama,AL,State House,12,general,James C. Fields Jr.,Democratic,7667.0,45.8,False,False
2014,Alabama,AL,State House,13,general,Connie Rowe,Republican,9455.0,98.1,True,False
2014,Alabama,AL,State House,14,general,Richard Baughn,Republican,9255.0,98.6,True,False
2014,Alabama,AL,State House,15,general,Allen Farley,Republican,14117.0,99.1,True,False
2014,Alabama,AL,State House,16,general,Kyle South,Republican,10467.0,75.3,True,False
2014,Alabama,AL,State House,16,general,Daniel Boman,Democratic,3430.0,24.7,False,True
2014,Alabama,AL,State House,17,general,Mike Millican,Democratic,8107.0,96.7,True,True
2014,Alabama,AL,State House,18,general,Johnny Mack Morrow,Democratic,8344.0,97.4,True,True
2014,Alabama,AL,State House,19,general,Laura Hall,Democratic,7615.0,82.88,True,True
2014,Alabama,AL,State House,19,general,A.J. Smith,Independent (politician),1557.0,16.95,False,False
2014,Alabama,AL,State House,20,general,Howard Sanderford,Republican,17733.0,98.8,True,True
2014,Alabama,AL,State House,21,general,Jim Patterson,Republican,6654.0,51.7,True,False
2014,Alabama,AL,State House,21,general,Randy Hinshaw,Democratic,6201.0,48.2,False,True
2014,Alabama,AL,State House,22,general,Wayne Johnson,Republican,9523.0,64.7,True,False
2014,Alabama,AL,State House,22,general,Butch Taylor,Democratic,5177.0,35.2,False,False
2014,Alabama,AL,State House,23,general,John Robinson,Democratic,7782.0,90.0,True,True
2014,Alabama,AL,State House,24,general,Todd Greeson,Republican,7967.0,53.3,True,True
