year,state,state_code,chamber,district,race,candidate,party,votes,percentage,winner,incumbent
2004,Arizona,AZ,State House,1,general,Lucy Mason,Republican,48585,32.58,True,True
2004,Arizona,AZ,State House,1,general,Tom O'Halleran,Republican,47777,32.04,True,True
2004,Arizona,AZ,State House,1,general,James Kimes,Democratic,24346,16.33,False,False
2004,Arizona,AZ,State House,1,general,Wesley L. Edmonds,Democratic,23704,15.9,False,False
2004,Arizona,AZ,State House,1,general,Allan Briney,Libertarian,4693,3.15,False,False
2004,Arizona,AZ,State House,2,general,Ann Kirkpatrick,Democratic,28947,38.72,True,False
2004,Arizona,AZ,State House,2,general,Albert Tom,Democratic,24664,32.99,True,False
2004,Arizona,AZ,State House,2,general,Sylvia Laughter,Independent (politician),21150,28.29,False,True
2004,Arizona,AZ,State House,3,general,Nancy McLain,Republican,29993,31.94,True,False
2004,Arizona,AZ,State House,3,general,Trish Groe,Republican,28396,30.24,True,False
2004,Arizona,AZ,State House,3,general,Bruce Hinman,Democratic,18138,19.31,False,False
2004,Arizona,AZ,State House,3,general,Peggy Toomey Hammann,Democratic,17387,18.51,False,False
2004,Arizona,AZ,State House,4,general,Judy M. Burges,Republican,59589,50.04,True,False
2004,Arizona,AZ,State House,4,general,Tom Boone,Republican,59496,49.96,True,True
2004,Arizona,AZ,State House,5,general,Bill Konopnicki,Republican,33326,38.12,True,True
2004,Arizona,AZ,State House,5,general,Jack A. Brown,Democratic,27228,31.14,True,False
2004,Arizona,AZ,State House,5,general,Sylvia Tenney Allen,Republican,26880,30.74,False,False
2004,Arizona,AZ,State House,6,general,Pamela Gorman,Republican,35457,37.97,True,False
2004,Arizona,AZ,State House,6,general,Ted Carpenter,Republican,33758,36.15,True,True
2004,Arizona,AZ,State House,6,general,Rano Singh,Democratic,24178,25.89,False,False
2004,Arizona,AZ,State House,7,general,Ray Barnes,Republican,40381,33.12,True,True
2004,Arizona,AZ,State House,7,general,David Burnell Smith,Republican,37752,30.97,True,False
2004,Arizona,AZ,State House,7,general,Virgel Cain,Democratic,22694,18.61,False,False
2004,Arizona,AZ,State House,7,general,Mark Monday,Democratic,21087,17.3,False,False
2004,Arizona,AZ,State House,8,general,Michele Reagan,Republican,50806,34.44,True,True
2004,Arizona,AZ,State House,8,general,Colette Rosati,Republican,41496,28.13,True,True
2004,Arizona,AZ,State House,8,general,Nancy Stein,Democratic,28480,19.31,False,False
2004,Arizona,AZ,State House,8,general,Nancy Buel,Democratic,26737,18.12,False,False
2004,Arizona,AZ,State House,9,general,Bob Stump,Republican,43216,50.06,True,True
2004,Arizona,AZ,State House,9,general,Rick Murphy,Republican,43111,49.94,True,False
2004,Arizona,AZ,State House,10,general,Jim Weiers,Republican,24185,28.3,True,False
2004,Arizona,AZ,State House,10,general,Doug Quelland,Republican,22959,26.86,True,True
2004,Arizona,AZ,State House,10,general,Jackie Thrasher,Democratic,21284,24.9,False,False
2004,Arizona,AZ,State House,10,general,Aaron Jahneke,Democratic,17042,19.94,False,False
2004,Arizona,AZ,State House,11,general,Stephen Tully,Republican,45503,38.97,True,True
2004,Arizona,AZ,State House,11,general,John Allen,Republican,44054,37.73,True,True
2004,Arizona,AZ,State House,11,general,Garry Myers,Libertarian,14507,12.42,False,False
2004,Arizona,AZ,State House,11,general,James Iannuzo,Libertarian,12693,10.87,False,False
2004,Arizona,AZ,State House,12,general,John Nelson,Republican,35108,29.83,True,True
2004,Arizona,AZ,State House,12,general,Jerry Weiers,Republican,34544,29.35,True,False
2004,Arizona,AZ,State House,12,general,Ken Thomas,Democratic,25575,21.73,False,False
2004,Arizona,AZ,State House,12,general,Leonard A. Clark,Democratic,22452,19.08,False,False
2004,Arizona,AZ,State House,13,general,Martha Garcia,Democratic,14202,39.17,True,False
2004,Arizona,AZ,State House,13,general,Steve Gallardo,Democratic,12430,34.28,True,True
2004,Arizona,AZ,State House,13,general,Bill Johnson,Republican,9627,26.55,False,False
2004,Arizona,AZ,State House,14,general,Debbie McCune-Davis,Democratic,12261,51.22,True,True
2004,Arizona,AZ,State House,14,general,Robert Meza,Democratic,11678,48.78,True,True
2004,Arizona,AZ,State House,15,general,David Lujan,Democratic,19999,31.12,True,False
2004,Arizona,AZ,State House,15,general,Kyrsten Sinema,Democratic,19402,30.19,True,False
2004,Arizona,AZ,State House,15,general,Tara Roesler,Republican,12565,19.55,False,False
2004,Arizona,AZ,State House,15,general,Oksana Komarnyckyj,Republican,12299,19.14,False,False
2004,Arizona,AZ,State House,16,general,Leah Landrum,Democratic,19077,50.61,True,True
2004,Arizona,AZ,State House,16,general,Ben R. Miranda,Democratic,18619,49.39,True,True
2004,Arizona,AZ,State House,17,general,Meg Burton Cahill,Democratic,27915,26.84,True,True
2004,Arizona,AZ,State House,17,general,Laura Knaperek,Republican,25618,24.63,True,False
2004,Arizona,AZ,State House,17,general,Edward Z. Ableser,Democratic,24194,23.26,False,False
2004,Arizona,AZ,State House,17,general,Mark Thompson,Republican,23074,22.19,False,True
2004,Arizona,AZ,State House,17,general,Mike Read,Libertarian,3194,3.07,False,False
2004,Arizona,AZ,State House,18,general,Mark Anderson,Republican,24271,38.3,True,False
2004,Arizona,AZ,State House,18,general,Russell Pearce,Republican,23286,36.75,True,True
2004,Arizona,AZ,State House,18,general,Kevin Jackson,Democratic,15811,24.95,False,False
2004,Arizona,AZ,State House,19,general,Chuck Gray,Republican,45407,51.57,True,True
2004,Arizona,AZ,State House,19,general,Gary Pierce,Republican,42644,48.43,True,True
2004,Arizona,AZ,State House,20,general,John McComish,Republican,38059,33.74,True,False
2004,Arizona,AZ,State House,20,general,Bob Robson,Republican,37334,33.1,True,True
2004,Arizona,AZ,State House,20,general,Jim Torgeson,Democratic,29836,26.45,False,False
2004,Arizona,AZ,State House,20,general,Joel Beckwith,Libertarian,7570,6.71,False,False
2004,Arizona,AZ,State House,21,general,Steve Yarbrough,Republican,50125,52.76,True,True
2004,Arizona,AZ,State House,21,general,Warde V. Nichols,Republican,44883,47.24,True,True
2004,Arizona,AZ,State House,22,general,Eddie Farnsworth,Republican,55674,44.93,True,True
2004,Arizona,AZ,State House,22,general,Andy Biggs,Republican,51932,41.91,True,True
2004,Arizona,AZ,State House,22,general,Wade Reynolds,Libertarian,16304,13.16,False,False
2004,Arizona,AZ,State House,23,general,Cheryl Chase,Democratic,24007,32.95,True,True
2004,Arizona,AZ,State House,23,general,Pete Rios,Democratic,22841,31.35,True,False
2004,Arizona,AZ,State House,23,general,Frank Pratt,Republican,21750,29.85,False,False
2004,Arizona,AZ,State House,23,general,Steve Flynn,Libertarian,4262,5.85,False,False
2004,Arizona,AZ,State House,24,general,Russ Jones,Republican,20153,34.48,True,False
2004,Arizona,AZ,State House,24,general,Amanda Aguirre,Democratic,18306,31.32,True,True
2004,Arizona,AZ,State House,24,general,William Michael Smith,Democratic,16973,29.04,False,False
2004,Arizona,AZ,State House,24,general,Edmund L. Sheldon III,Libertarian,3018,5.16,False,False
2004,Arizona,AZ,State House,25,general,"Manuel V. ""Manny"" Alvarez",Democratic,25599,27.03,True,True
2004,Arizona,AZ,State House,25,general,Jennifer J. Burns,Republican,25121,26.52,True,True
2004,Arizona,AZ,State House,25,general,Monica Perez,Democratic,22561,23.82,False,False
2004,Arizona,AZ,State House,25,general,David Stevens,Republican,21437,22.63,False,False
2004,Arizona,AZ,State House,26,general,Pete Hershberger,Republican,49072,32.35,True,True
2004,Arizona,AZ,State House,26,general,Steve Huffman,Republican,43156,28.45,True,True
2004,Arizona,AZ,State House,26,general,Amanda Simpson,Democratic,31111,20.51,False,False
2004,Arizona,AZ,State House,26,general,Martin Drozdoff,Democratic,28331,18.68,False,False
2004,Arizona,AZ,State House,27,general,Olivia Cajero Bedford,Democratic,35507,54.28,True,True
2004,Arizona,AZ,State House,27,general,Phil Lopes,Democratic,29902,45.72,True,True
2004,Arizona,AZ,State House,28,general,Ted Downing,Democratic,38336,31.64,True,True
2004,Arizona,AZ,State House,28,general,Dave Bradley,Democratic,37003,30.54,True,True
2004,Arizona,AZ,State House,28,general,Bill Phillips,Republican,21345,17.62,False,False
2004,Arizona,AZ,State House,28,general,"Richard ""Dick"" Dale",Republican,20545,16.96,False,False
2004,Arizona,AZ,State House,28,general,Daniel Hickman,Libertarian,3929,3.24,False,False
2004,Arizona,AZ,State House,29,general,Linda Lopez,Democratic,30317,60.07,True,True
2004,Arizona,AZ,State House,29,general,Tom Prezelski,Democratic,20152,39.93,True,True
2004,Arizona,AZ,State House,30,general,Marian McClure,Republican,48777,37.0,True,True
2004,Arizona,AZ,State House,30,general,Jonathan Paton,Republican,46483,35.26,True,False
2004,Arizona,AZ,State House,30,general,Esther Sharif,Democratic,36570,27.74,False,False
2004,California,CA,State House,1,general,Patty Berg,Democratic,120157,61.44,True,True
2004,California,CA,State House,1,general,Ray Tyrone,Republican,64587,33.03,False,False
2004,California,CA,State House,1,general,Ken Anton,Libertarian,10817,5.53,False,False
2004,California,CA,State House,2,general,Doug LaMalfa,Republican,115651,64.87,True,True
2004,California,CA,State House,2,general,Barbara McIver,Democratic,62643,35.13,False,False
2004,California,CA,State House,3,general,Rick Keene,Republican,111747,59.35,True,True
2004,California,CA,State House,3,general,Robert A. Woods,Democratic,70126,37.24,False,False
2004,California,CA,State House,3,general,Robert Burk,Libertarian,6421,3.41,False,False
2004,California,CA,State House,4,general,Tim Leslie,Republican,140105,66.68,True,True
2004,California,CA,State House,4,general,Todd W. Schwenk,Democratic,70008,33.32,False,False
2004,California,CA,State House,5,general,Roger Niello,Republican,104895,60.24,True,False
2004,California,CA,State House,5,general,Sandra A. Carey,Democratic,62710,36.01,False,False
2004,California,CA,State House,5,general,Melissa Manfre,Libertarian,6524,3.75,False,False
