year,state,state_code,chamber,district,race,candidate,party,votes,percentage,winner,incumbent
2020,Arizona,AZ,State Senate,1,general,Karen Fann,Republican,105712.0,72.5,True,False
2020,Arizona,AZ,State Senate,1,general,Gilbert Carillo,Democratic,40063.0,27.5,False,False
2020,Arizona,AZ,State Senate,2,general,Rosanna Gabaldón,Democratic,52333.0,61.0,True,False
2020,Arizona,AZ,State Senate,2,general,Mark Workman,Republican,33463.0,39.0,False,False
2020,Arizona,AZ,State Senate,3,general,Sally Ann Gonzales,Democratic,62785.0,100.0,True,False
2020,Arizona,AZ,State Senate,4,general,Lisa Otondo,Democratic,41045.0,56.2,True,False
2020,Arizona,AZ,State Senate,4,general,Travis Angry,Republican,32045.0,43.8,False,False
2020,Arizona,AZ,State Senate,5,general,Sonny Borelli,Republican,87558.0,99.2,True,False
2020,Arizona,AZ,State Senate,6,general,Wendy Rogers,Republican,67379.0,54.7,True,False
2020,Arizona,AZ,State Senate,6,general,Felicia French,Democratic,55833.0,45.3,False,False
2020,Arizona,AZ,State Senate,7,general,Jamescity Peshlakai,Democratic,62824.0,100.0,True,False
2020,Arizona,AZ,State Senate,8,general,"Thomas ""T.J."" Shope",Republican,50639.0,58.5,True,False
2020,Arizona,AZ,State Senate,8,general,Barbara McGuire,Democratic,35963.0,41.5,False,False
2020,Arizona,AZ,State Senate,9,general,Victoria Steele,Democratic,83482.0,100.0,True,False
2020,Arizona,AZ,State Senate,10,general,Kirsten Engel,Democratic,67320.0,58.7,True,False
2020,Arizona,AZ,State Senate,10,general,Justine Wadsack,Republican,47394.0,41.3,False,False
2020,Arizona,AZ,State Senate,11,general,"Venden ""Vince"" Leach",Republican,72563.0,54.4,True,False
2020,Arizona,AZ,State Senate,11,general,JoAnna Mendoza,Democratic,60818.0,45.6,False,False
2020,Arizona,AZ,State Senate,12,general,Warren Peterson,Republican,96149.0,61.6,True,False
2020,Arizona,AZ,State Senate,12,general,Lynsey Robinson,Democratic,59852.0,38.4,False,False
2020,Arizona,AZ,State Senate,13,general,Sine Kerr,Republican,93388.0,99.8,True,False
2020,Arizona,AZ,State Senate,14,general,David Gowan,Republican,67229.0,63.4,True,False
2020,Arizona,AZ,State Senate,14,general,Bob Karb,Democratic,38829.0,36.6,False,False
2020,Arizona,AZ,State Senate,15,general,Nancy Barto,Republican,91249.0,98.6,True,False
2020,Arizona,AZ,State Senate,16,general,Kelly Townsend,Republican,94913.0,96.8,True,False
2020,Arizona,AZ,State Senate,17,general,J.D. Mesnard,Republican,67889.0,52.5,True,False
