year,state,state_code,chamber,district,race,candidate,party,votes,percentage,winner,incumbent
2000,Arizona,AZ,State Senate,1,general,Ken Bennett,Republican,43314,58.65,True,True
2000,Arizona,AZ,State Senate,1,general,Dawn Knight,Democratic,30541,41.35,False,False
2000,Arizona,AZ,State Senate,2,general,John Verkamp,Republican,30570,52.91,True,False
2000,Arizona,AZ,State Senate,2,general,Rita Johnson,Democratic,27207,47.09,False,False
2000,Arizona,AZ,State Senate,3,general,Jack C. Jackson,Democratic,29776,100.0,True,True
2000,Arizona,AZ,State Senate,4,general,Jack A. Brown,Democratic,33378,100.0,True,True
2000,Arizona,AZ,State Senate,5,general,Herb Guenther,Democratic,22565,100.0,True,True
2000,Arizona,AZ,State Senate,6,general,Lori Daniels,Republican,38871,57.08,True,False
2000,Arizona,AZ,State Senate,6,general,Jim McCarthy,Democratic,29225,42.92,False,False
2000,Arizona,AZ,State Senate,7,general,Pete Rios,Democratic,20411,100.0,True,True
2000,Arizona,AZ,State Senate,8,general,Marsha Arzberger,Democratic,17330,53.9,True,False
2000,Arizona,AZ,State Senate,8,general,Gail Griffin,Republican,14824,46.1,False,False
2000,Arizona,AZ,State Senate,9,general,Tim Bee,Republican,35730,57.05,True,False
2000,Arizona,AZ,State Senate,9,general,Kathy Ramage-White,Democratic,25448,40.63,False,False
2000,Arizona,AZ,State Senate,9,general,John Jason Auvenshine,Libertarian,1455,2.32,False,False
2000,Arizona,AZ,State Senate,10,general,Ramon Valadez,Democratic,20513,84.08,True,False
2000,Arizona,AZ,State Senate,10,general,Dale Gorney,Libertarian,3883,15.92,False,False
2000,Arizona,AZ,State Senate,11,general,Elaine Richardson,Democratic,26086,79.98,True,True
2000,Arizona,AZ,State Senate,11,general,John T. Schmid,Libertarian,3336,10.23,False,False
2000,Arizona,AZ,State Senate,11,general,Daniel Patterson,Green,3194,9.79,False,False
2000,Arizona,AZ,State Senate,12,general,Toni Hellon,Republican,36950,51.57,True,False
2000,Arizona,AZ,State Senate,12,general,Mark Osterloh,Democratic,34707,48.43,False,False
2000,Arizona,AZ,State Senate,13,general,Andy Nichols,Democratic,27714,50.19,True,False
2000,Arizona,AZ,State Senate,13,general,Kathleen Dunbar,Republican,25845,46.81,False,False
2000,Arizona,AZ,State Senate,13,general,Wayne Sunne,Libertarian,1655,3.0,False,False
2000,Arizona,AZ,State Senate,14,general,Ruth Solomon,Democratic,30108,76.67,True,True
2000,Arizona,AZ,State Senate,14,general,Ed Kahn,Libertarian,9161,23.33,False,False
2000,Arizona,AZ,State Senate,15,general,Edward J. Cirillo,Republican,48116,100.0,True,True
2000,Arizona,AZ,State Senate,16,general,Darden C. Hamilton,Republican,20190,53.77,True,True
2000,Arizona,AZ,State Senate,16,general,Mark Winemiller,Democratic,17358,46.23,False,False
2000,Arizona,AZ,State Senate,17,general,Brenda Burns,Republican,35635,100.0,True,True
2000,Arizona,AZ,State Senate,18,general,Susan Gerard,Republican,32956,100.0,True,False
2000,Arizona,AZ,State Senate,19,general,Scott Bundgaard,Republican,41814,59.68,True,True
2000,Arizona,AZ,State Senate,19,general,Martha Bruneau,Democratic,25920,36.99,False,False
2000,Arizona,AZ,State Senate,19,general,Clay Adair,Libertarian,2335,3.33,False,False
2000,Arizona,AZ,State Senate,20,general,Mary Hartley,Democratic,13835,61.93,True,True
2000,Arizona,AZ,State Senate,20,general,Craig Savage,Republican,8503,38.07,False,False
2000,Arizona,AZ,State Senate,21,general,"Russell ""Rusty"" Bowers",Republican,31700,56.09,True,True
2000,Arizona,AZ,State Senate,21,general,Paul Cash,Democratic,24819,43.91,False,False
2000,Arizona,AZ,State Senate,22,general,Joe Eddie Lopez,Democratic,12618,100.0,True,True
2000,Arizona,AZ,State Senate,23,general,Linda Aguirre,Democratic,13859,99.94,True,True
2000,Arizona,AZ,State Senate,23,general,Bradley Cashman,Independent,8,0.06,False,False
2000,Arizona,AZ,State Senate,24,general,Dean Martin,Republican,34002,58.71,True,False
2000,Arizona,AZ,State Senate,24,general,Jeff Bollerman,Democratic,21134,36.49,False,False
2000,Arizona,AZ,State Senate,24,general,Gary Fallon,Libertarian,2781,4.8,False,False
2000,Arizona,AZ,State Senate,25,general,Chris Cummiskey,Democratic,21970,66.36,True,True
2000,Arizona,AZ,State Senate,25,general,Pat Kaminsky,Republican,11135,33.64,False,False
2000,Arizona,AZ,State Senate,26,general,Tom Smith,Republican,26425,56.79,True,True
2000,Arizona,AZ,State Senate,26,general,Ed Ranger,Democratic,20106,43.21,False,False
2000,Arizona,AZ,State Senate,27,general,Harry E. Mitchell,Democratic,26784,55.54,True,True
2000,Arizona,AZ,State Senate,27,general,Gary Richardson,Republican,21443,44.46,False,False
2000,Arizona,AZ,State Senate,28,general,Randall Gnant,Republican,68664,82.54,True,True
2000,Arizona,AZ,State Senate,28,general,Mark Horning,Libertarian,14524,17.46,False,False
2000,Arizona,AZ,State Senate,29,general,David Petersen,Republican,18266,63.39,True,True
2000,Arizona,AZ,State Senate,29,general,Ernie R. Jaurigui,Democratic,10549,36.61,False,False
2000,Arizona,AZ,State Senate,30,general,Jay Blanchard,Democratic,51965,66.39,True,False
2000,Arizona,AZ,State Senate,30,general,Jeff Groscost,Republican,26303,33.61,False,False
2000,California,CA,State Senate,1,general,Rico Oller,Republican,220427,57.78,True,False
2000,California,CA,State Senate,1,general,Thomas A. Romero,Democratic,144997,38.01,False,False
2000,California,CA,State Senate,1,general,John Petersen,Libertarian,16075,4.21,False,False
2000,California,CA,State Senate,3,general,John L. Burton,Democratic,238372,72.92,True,True
2000,California,CA,State Senate,3,general,Terence Faulkner,Republican,71256,21.8,False,False
2000,California,CA,State Senate,3,general,Celeste Joy Blau Joki,Law,17277,5.29,False,False
2000,California,CA,State Senate,5,general,Michael Machado,Democratic,142392,48.06,True,False
2000,California,CA,State Senate,5,general,Alan Nakanishi,Republican,141013,47.59,False,False
2000,California,CA,State Senate,5,general,Carole Brow,Libertarian,10208,3.45,False,False
2000,California,CA,State Senate,5,general,William S. Nicolas,Law,2667,0.9,False,False
2000,California,CA,State Senate,7,general,Tom Torlakson,Democratic,197683,54.44,True,False
