year,state,state_code,office,election,row_type,candidate,party,votes,percentage,winner,incumbent
2009,New Jersey,NJ,governor,"New Jersey gubernatorial election, 2009",Winning,Chris Christie,Republican,1174445,48.46,True,False
2009,New Jersey,NJ,governor,"New Jersey gubernatorial election, 2009",Candidate,Jon Corzine,Democratic,1087731,44.88,False,True
2009,New Jersey,NJ,governor,"New Jersey gubernatorial election, 2009",Candidate,Chris Daggett,Independent,139579,5.76,False,False
2009,New Jersey,NJ,governor,"New Jersey gubernatorial election, 2009",Candidate,Kenneth R. Kaplan,Libertarian,4830,0.2,False,False
2009,New Jersey,NJ,governor,"New Jersey gubernatorial election, 2009",Candidate,Gary T. Steele,Independent,3585,0.15,False,False
2009,New Jersey,NJ,governor,"New Jersey gubernatorial election, 2009",Candidate,Jason Cullen,Independent,2869,0.12,False,False
2009,New Jersey,NJ,governor,"New Jersey gubernatorial election, 2009",Candidate,David R. Meiswinkle,Independent,2598,0.11,False,False
2009,New Jersey,NJ,governor,"New Jersey gubernatorial election, 2009",Candidate,Kostas Petris,Independent,2563,0.11,False,False
2009,New Jersey,NJ,governor,"New Jersey gubernatorial election, 2009",Candidate,Gregory Pason,Socialist Party Usa,2085,0.09,False,False
2009,New Jersey,NJ,governor,"New Jersey gubernatorial election, 2009",Candidate,Gary Stein,Independent,1625,0.07,False,False
2009,New Jersey,NJ,governor,"New Jersey gubernatorial election, 2009",Candidate,Joshua Leinsdorf,Independent,1021,0.04,False,False
2009,New Jersey,NJ,governor,"New Jersey gubernatorial election, 2009",Candidate,"Alvin Lindsay, Jr.",Independent,753,0.03,False,False
2009,Virginia,VA,governor,"Virginia gubernatorial election, 2009",Winning,Bob McDonnell,Republican,1163651,58.61,True,False
2009,Virginia,VA,governor,"Virginia gubernatorial election, 2009",Candidate,Creigh Deeds,Democratic,818950,41.25,False,False
2009,Virginia,VA,governor,"Virginia gubernatorial election, 2009",Write-in,,,2502,0.12,False,False
