year,state,state_code,office,election,row_type,candidate,party,votes,percentage,winner,incumbent
2000,Indiana,IN,governor,"Indiana gubernatorial election, 2000",Winning,Frank O'Bannon/Joe Kernan (incumbents),Democratic,1232525,56.56,True,False
2000,Indiana,IN,governor,"Indiana gubernatorial election, 2000",Candidate,David M. McIntosh/J. Murray Clark,Republican,908285,41.68,False,False
2000,Indiana,IN,governor,"Indiana gubernatorial election, 2000",Candidate,Andrew Horning/Mark Schreiber,Libertarian,38458,1.76,False,False
2000,Indiana,IN,governor,"Indiana gubernatorial election, 2000",Total,,,2179268,100.0,False,False
2000,Missouri,MO,governor,2000 Missouri gubernatorial election,Winning,Bob Holden,Democratic,1152752,49.12,True,False
2000,Missouri,MO,governor,2000 Missouri gubernatorial election,Candidate,Jim Talent,Republican,1131307,48.21,False,False
2000,Missouri,MO,governor,2000 Missouri gubernatorial election,Candidate,Larry Rice,Independent,34431,1.47,False,False
2000,Missouri,MO,governor,2000 Missouri gubernatorial election,Candidate,John M. Swenson,Libertarian,11274,0.48,False,False
2000,Missouri,MO,governor,2000 Missouri gubernatorial election,Candidate,Lavoy Reed,Green,9008,0.38,False,False
2000,Missouri,MO,governor,2000 Missouri gubernatorial election,Candidate,Richard Allen Kline,Reform,4916,0.21,False,False
2000,Missouri,MO,governor,2000 Missouri gubernatorial election,Candidate,Richard L. Smith,Constitution,3142,0.13,False,False
2000,Missouri,MO,governor,2000 Missouri gubernatorial election,Total,,,2346830,100.0,False,False
2000,Montana,MT,governor,"Montana gubernatorial election, 2000",Winning,Judy Martz,Republican,209135,50.98,True,False
2000,Montana,MT,governor,"Montana gubernatorial election, 2000",Candidate,Mark O'Keefe,Democratic,193131,47.08,False,False
2000,Montana,MT,governor,"Montana gubernatorial election, 2000",Candidate,Stan Jones,Libertarian,7926,1.93,False,False
2000,North Carolina,NC,governor,2000 North Carolina gubernatorial election,Winning,Mike Easley,Democratic,1530324,52.02,True,False
2000,North Carolina,NC,governor,2000 North Carolina gubernatorial election,Candidate,Richard Vinroot,Republican,1360960,46.26,False,False
2000,North Carolina,NC,governor,2000 North Carolina gubernatorial election,Candidate,Barbara Howe,Libertarian,42674,1.45,False,False
2000,North Carolina,NC,governor,2000 North Carolina gubernatorial election,Candidate,Douglas Schell,Reform,8104,0.28,False,False
2000,Utah,UT,governor,2000 Utah gubernatorial election,Winning,Mike Leavitt,Republican,424837,55.77,True,False
2000,Utah,UT,governor,2000 Utah gubernatorial election,Candidate,Bill Orton,Democratic,321979,42.27,False,False
2000,Utah,UT,governor,2000 Utah gubernatorial election,Candidate,Jeremy Friedbaum,Independent American,14990,1.97,False,False
2000,Utah,UT,governor,2000 Utah gubernatorial election,Total,,,761806,100.0,False,False
2000,Vermont,VT,governor,2000 Vermont gubernatorial election,Winning,Howard Dean,Democratic,148059,50.45,True,True
2000,Vermont,VT,governor,2000 Vermont gubernatorial election,Candidate,Ruth Dwyer,Republican,111359,37.95,False,False
