year,state,state_code,office,election,row_type,candidate,party,votes,percentage,winner,incumbent
2003,Kentucky,KY,governor,Democratic primary results,Winning,Ben Chandler,Democratic,143150,50.2,True,False
2003,Kentucky,KY,governor,Democratic primary results,Candidate,Jody Richards,Democratic,132627,46.51,False,False
2003,Kentucky,KY,governor,Democratic primary results,Candidate,Otis Hensley Jr.,Democratic,9372,3.29,False,False
2003,Kentucky,KY,governor,Democratic primary results,Total,,,285149,100.0,False,False
2003,Kentucky,KY,governor,Republican primary results,Winning,Ernie Fletcher,Republican,90912,57.31,True,False
2003,Kentucky,KY,governor,Republican primary results,Candidate,Rebecca Jackson,Republican,44084,27.79,False,False
2003,Kentucky,KY,governor,Republican primary results,Candidate,Steve Nunn,Republican,21267,13.41,False,False
2003,Kentucky,KY,governor,Republican primary results,Candidate,Virgil Moore,Republican,2365,1.49,False,False
2003,Kentucky,KY,governor,Republican primary results,Total,,,158628,100.0,False,False
2003,Louisiana,LA,governor,"Louisiana gubernatorial election jungle primary, 2003",Winning,Bobby Jindal,Republican,443389,32.54,True,False
2003,Louisiana,LA,governor,"Louisiana gubernatorial election jungle primary, 2003",Winning,Kathleen Blanco,Democratic,250136,18.36,True,False
2003,Louisiana,LA,governor,"Louisiana gubernatorial election jungle primary, 2003",Candidate,Richard Ieyoub,Democratic,223513,16.4,False,False
2003,Louisiana,LA,governor,"Louisiana gubernatorial election jungle primary, 2003",Candidate,"Claude ""Buddy"" Leach",Democratic,187872,13.79,False,False
2003,Louisiana,LA,governor,"Louisiana gubernatorial election jungle primary, 2003",Candidate,Randy Ewing,Democratic,123936,9.1,False,False
2003,Louisiana,LA,governor,"Louisiana gubernatorial election jungle primary, 2003",Candidate,Hunt Downer,Republican,84718,6.22,False,False
2003,Louisiana,LA,governor,"Louisiana gubernatorial election jungle primary, 2003",Candidate,Alan Allgood,Republican,7866,0.58,False,False
2003,Louisiana,LA,governor,"Louisiana gubernatorial election jungle primary, 2003",Candidate,Patrick Henry Barthel,Democratic,7338,0.54,False,False
2003,Louisiana,LA,governor,"Louisiana gubernatorial election jungle primary, 2003",Candidate,Patrick Landry,Other,7195,0.53,False,False
2003,Louisiana,LA,governor,"Louisiana gubernatorial election jungle primary, 2003",Candidate,Edward Mangin,Other,6745,0.49,False,False
2003,Louisiana,LA,governor,"Louisiana gubernatorial election jungle primary, 2003",Candidate,J.D. Estillete,Other,6439,0.47,False,False
2003,Louisiana,LA,governor,"Louisiana gubernatorial election jungle primary, 2003",Candidate,J.E. Jumonville,Democratic,3410,0.25,False,False
2003,Louisiana,LA,governor,"Louisiana gubernatorial election jungle primary, 2003",Candidate,John Simoneaux Jr.,Other,3280,0.24,False,False
2003,Louisiana,LA,governor,"Louisiana gubernatorial election jungle primary, 2003",Candidate,Quentin Brown Jr.,Other,2414,0.18,False,False
2003,Louisiana,LA,governor,"Louisiana gubernatorial election jungle primary, 2003",Candidate,Mike Stagg,Democratic,1667,0.12,False,False
2003,Louisiana,LA,governor,"Louisiana gubernatorial election jungle primary, 2003",Candidate,Richard McCoy,Democratic,1513,0.11,False,False
2003,Louisiana,LA,governor,"Louisiana gubernatorial election jungle primary, 2003",Candidate,Fred Robertson,Democratic,1093,0.08,False,False
2003,Louisiana,LA,governor,"Louisiana gubernatorial election jungle primary, 2003",Total,,,1362524,100.0,False,False
2003,Mississippi,MS,governor,Democratic primary results,Winning,Ronnie Musgrove,Democratic,392264,75.82,True,True
2003,Mississippi,MS,governor,Democratic primary results,Candidate,Gilbert Fountain,Democratic,39685,7.67,False,False
2003,Mississippi,MS,governor,Democratic primary results,Candidate,Elder McClendon,Democratic,30421,5.88,False,False
2003,Mississippi,MS,governor,Democratic primary results,Candidate,Katie Perrone,Democratic,28154,5.44,False,False
2003,Mississippi,MS,governor,Democratic primary results,Candidate,Catherine M. Starr,Democratic,26821,5.18,False,False
2003,Mississippi,MS,governor,Democratic primary results,Total,,,517345,100.0,False,False
2003,Mississippi,MS,governor,Republican primary results,Winning,Haley Barbour,Republican,158284,83.21,True,False
2003,Mississippi,MS,governor,Republican primary results,Candidate,Mitch Tyner,Republican,31768,16.7,False,False
2003,Mississippi,MS,governor,Republican primary results,Candidate,Write-ins,Republican,171,0.09,False,False
2003,Mississippi,MS,governor,Republican primary results,Total,,,190223,100.0,False,False
