year,state,state_code,office,election,row_type,candidate,party,votes,percentage,winner,incumbent
2018,Alabama,AL,attorney general,Democratic primary results,Winning,Joseph Siegelman,Democratic,147923,54.16,True,False
2018,Alabama,AL,attorney general,Democratic primary results,Candidate,Chris Christie,Democratic,125184,45.84,False,False
2018,Alabama,AL,attorney general,Democratic primary results,Total,,,273107,100.0,False,False
2018,Alabama,AL,attorney general,Republican primary results,Winning,Steve Marshall,Republican,154500,28.34,True,True
2018,Alabama,AL,attorney general,Republican primary results,Winning,Troy King,Republican,151878,27.86,True,False
2018,Alabama,AL,attorney general,Republican primary results,Candidate,Alice Martin,Republican,126735,23.25,False,False
2018,Alabama,AL,attorney general,Republican primary results,Candidate,Chess Bedsole,Republican,112062,20.55,False,False
2018,Alabama,AL,attorney general,Republican primary results,Total,,,545175,100.0,False,False
2018,Alabama,AL,attorney general,Republican primary runoff results,Winning,Steve Marshall,Republican,211851,62.05,True,True
2018,Alabama,AL,attorney general,Republican primary runoff results,Candidate,Troy King,Republican,129594,37.95,False,False
2018,Alabama,AL,attorney general,Republican primary runoff results,Total,,,341445,100.0,False,False
2018,Alabama,AL,governor,Republican primary results,Winning,Kay Ivey,Republican,330743,56.1,True,True
2018,Alabama,AL,governor,Republican primary results,Candidate,Tommy Battle,Republican,146887,24.92,False,False
2018,Alabama,AL,governor,Republican primary results,Candidate,Scott Dawson,Republican,79302,13.45,False,False
2018,Alabama,AL,governor,Republican primary results,Candidate,Bill Hightower,Republican,29275,4.97,False,False
2018,Alabama,AL,governor,Republican primary results,Candidate,Michael McAllister (deceased),Republican,3326,0.56,False,False
2018,Alabama,AL,governor,Republican primary results,Total,,,589533,100.0,False,False
2018,Alabama,AL,governor,Democratic primary results,Winning,Walt Maddox,Democratic,154559,54.6,True,False
2018,Alabama,AL,governor,Democratic primary results,Candidate,Sue Bell Cobb,Democratic,82043,28.98,False,False
2018,Alabama,AL,governor,Democratic primary results,Candidate,James Fields,Democratic,22635,8.0,False,False
2018,Alabama,AL,governor,Democratic primary results,Candidate,Anthony White,Democratic,9677,3.42,False,False
2018,Alabama,AL,governor,Democratic primary results,Candidate,"Doug ""New Blue"" Smith",Democratic,9244,3.27,False,False
2018,Alabama,AL,governor,Democratic primary results,Candidate,Christopher Countryman,Democratic,4923,1.74,False,False
2018,Alabama,AL,governor,Democratic primary results,Total,,,283081,100.0,False,False
2018,Alaska,AK,governor,Democratic–Libertarian–Independence primary results,Winning,Mark Begich,Democratic,33451,85.3,True,False
2018,Alaska,AK,governor,Democratic–Libertarian–Independence primary results,Winning,William Toien,Libertarian,5790,14.8,True,False
2018,Alaska,AK,governor,Democratic–Libertarian–Independence primary results,Total,,,39241,100.0,False,False
2018,Alaska,AK,governor,Democratic–Libertarian–Independence primary results,Winning,Debra Call,Democratic,34291,100.0,True,False
2018,Alaska,AK,governor,Republican primary results,Winning,Mike Dunleavy,Republican,43802,61.5,True,False
2018,Alaska,AK,governor,Republican primary results,Candidate,Mead Treadwell,Republican,22780,32.0,False,False
2018,Alaska,AK,governor,Republican primary results,Candidate,Michael Sheldon,Republican,1640,2.3,False,False
2018,Alaska,AK,governor,Republican primary results,Candidate,Merica Hlatcu,Republican,1064,1.5,False,False
2018,Alaska,AK,governor,Republican primary results,Candidate,Thomas Gordon,Republican,884,1.4,False,False
2018,Alaska,AK,governor,Republican primary results,Candidate,Gerald Heikes,Republican,499,0.7,False,False
2018,Alaska,AK,governor,Republican primary results,Candidate,Darin Colbry,Republican,416,0.6,False,False
2018,Alaska,AK,governor,Republican primary results,Total,,,71195,100.0,False,False
2018,Alaska,AK,governor,Republican primary results,Winning,Kevin Meyer,Republican,23838,35.8,True,False
