year,state,state_code,office,candidate,party,percentage,winner,incumbent
2000,Delaware,DE,governor,Ruth Ann Minner,Democratic,59.2,True,False
2000,Delaware,DE,governor,John M. Burris,Republican,39.7,False,False
2000,Delaware,DE,governor,Floyd E. McDowell,Independent,1.0,False,False
2000,Indiana,IN,governor,Frank O'Bannon,Democratic,56.6,True,True
2000,Indiana,IN,governor,David M. McIntosh,Republican,41.7,False,False
2000,Indiana,IN,governor,Andrew Horning,Libertarian,1.8,False,False
2000,Missouri,MO,governor,Bob Holden,Democratic,49.1,True,False
2000,Missouri,MO,governor,Jim Talent,Republican,48.2,False,False
2000,Missouri,MO,governor,Larry Rice,Independent,1.5,False,False
2000,Montana,MT,governor,Judy Martz,Republican,51.0,True,False
2000,Montana,MT,governor,Mark O'Keefe,Democratic,47.1,False,False
2000,Montana,MT,governor,Stan Jones,Libertarian,1.9,False,False
2000,New Hampshire,NH,governor,Jeanne Shaheen,Democratic,48.7,True,True
2000,New Hampshire,NH,governor,Gordon J. Humphrey,Republican,43.7,False,False
2000,New Hampshire,NH,governor,Mary Brown,Independent,6.4,False,False
2000,New Hampshire,NH,governor,John J. Babiarz,Libertarian,1.1,False,False
2000,North Carolina,NC,governor,Mike Easley,Democratic,52.0,True,False
2000,North Carolina,NC,governor,Richard Vinroot,Republican,46.3,False,False
2000,North Carolina,NC,governor,Barbara Howe,Libertarian,1.4,False,False
2000,North Dakota,ND,governor,John Hoeven,Republican,55.0,True,False
2000,North Dakota,ND,governor,Heidi Heitkamp,Democratic,45.0,False,False
2000,Utah,UT,governor,Mike Leavitt,Republican,55.8,True,True
2000,Utah,UT,governor,Bill Orton,Democratic,42.3,False,False
2000,Vermont,VT,governor,Howard Dean,Democratic,50.5,True,True
2000,Vermont,VT,governor,Ruth Dwyer,Republican,38.0,False,False
2000,Vermont,VT,governor,Anthony Pollina,Progressive,9.6,False,False
2000,Washington,WA,governor,Gary Locke,Democratic,58.4,True,True
2000,Washington,WA,governor,John Carlson,Republican,39.7,False,False
2000,Washington,WA,governor,Steve LePage,Libertarian,1.9,False,False
2000,West Virginia,WV,governor,Bob Wise,Democratic,50.1,True,False
2000,West Virginia,WV,governor,Cecil Underwood,Republican,47.2,False,True
2000,West Virginia,WV,governor,Denise Giardina,Mountain,1.6,False,False
2000,American Samoa,AS,governor,Tauese Sunia,Democratic,51.4,True,True
2000,American Samoa,AS,governor,L. Peter Reid,Independent,48.6,False,False
2000,Puerto Rico,PR,governor,Sila María Calderón,Popular Democratic Party (puerto Rico),48.6,True,False
2000,Puerto Rico,PR,governor,Carlos Pesquera,New Progressive Party (puerto Rico),45.7,False,False
2000,Puerto Rico,PR,governor,Rubén Berríos Martínez,Independence,5.2,False,False
2001,New Jersey,NJ,governor,Jim McGreevey,Democratic,56.4,True,False
2001,New Jersey,NJ,governor,Bret Schundler,Republican,41.7,False,False
2001,New Jersey,NJ,governor,Bill Schluter,Independent,1.1,False,False
2001,Virginia,VA,governor,Mark Warner,Democratic,52.2,True,False
2001,Virginia,VA,governor,Mark Earley,Republican,47.0,False,False
2001,Northern Mariana Islands,MP,governor,Juan Babauta,Republican,44.6,True,False
2001,Northern Mariana Islands,MP,governor,Benigno Fitial,Covenant,25.5,False,False
2001,Northern Mariana Islands,MP,governor,Jesus Borja,Democratic,18.2,False,False
2001,Northern Mariana Islands,MP,governor,Froilan Tenorio,Reform,11.7,False,False
2002,Alabama,AL,governor,Bob R. Riley,Republican,49.2,True,False
2002,Alabama,AL,governor,Don Siegelman,Democratic,49.0,False,True
2002,Alabama,AL,governor,John Sophocleus,Libertarian,1.7,False,False
2002,Alaska,AK,governor,Frank Murkowski,Republican,55.9,True,False
2002,Alaska,AK,governor,Fran Ulmer,Democratic,40.7,False,False
2002,Alaska,AK,governor,Diane E. Benson,Green,1.3,False,False
2002,Arizona,AZ,governor,Janet Napolitano,Democratic,46.2,True,False
2002,Arizona,AZ,governor,Matt Salmon,Republican,45.2,False,False
2002,Arizona,AZ,governor,Richard D. Mahoney,Independent,6.9,False,False
2002,Arizona,AZ,governor,Barry Hess,Libertarian,1.7,False,False
2002,Arkansas,AR,governor,Mike Huckabee,Republican,53.0,True,True
2002,Arkansas,AR,governor,Jimmie Lou Fisher,Democratic,47.0,False,False
2002,California,CA,governor,Gray Davis,Democratic,47.3,True,True
2002,California,CA,governor,Bill Simon,Politician,42.4,False,False
2002,California,CA,governor,Peter Camejo,Green,5.3,False,False
2002,California,CA,governor,Gary Copeland,Libertarian,2.2,False,False
2002,California,CA,governor,Reinhold Gulke,American Independent,1.7,False,False
2002,California,CA,governor,Iris Adam,Natural Law,1.2,False,False
2002,Colorado,CO,governor,Bill Owens,Colorado Politician,62.6,True,True
2002,Colorado,CO,governor,Rollie Heath,Democratic,33.6,False,False
2002,Colorado,CO,governor,Ronald Forthofer,Green,2.3,False,False
2002,Colorado,CO,governor,Ralph Shnelvar,Libertarian,1.4,False,False
2002,Connecticut,CT,governor,John G. Rowland,Republican,56.1,True,True
2002,Connecticut,CT,governor,Bill Curry,Politician,43.9,False,False
2002,Florida,FL,governor,Jeb Bush,Republican,56.0,True,True
2002,Florida,FL,governor,Bill McBride,Candidate,43.2,False,False
2002,Georgia,GA,governor,Sonny Perdue,Republican,51.4,True,False
2002,Georgia,GA,governor,Roy Barnes,Democratic,46.3,False,True
2002,Georgia,GA,governor,Garrett Hayes,Libertarian,2.3,False,False
2002,Hawaii,HI,governor,Linda Lingle,Republican,51.6,True,False
2002,Hawaii,HI,governor,Mazie Hirono,Democratic,47.0,False,False
2002,Idaho,ID,governor,Dirk Kempthorne,Republican,56.3,True,True
2002,Idaho,ID,governor,Jerry Brady,Democratic,41.7,False,False
2002,Idaho,ID,governor,Daniel Adams,Libertarian,2.0,False,False
2002,Illinois,IL,governor,Rod Blagojevich,Democratic,52.2,True,False
2002,Illinois,IL,governor,Jim Ryan,Politician,45.1,False,False
2002,Illinois,IL,governor,Calvin Skinner,Libertarian,2.1,False,False
2002,Iowa,IA,governor,Tom Vilsack,Democratic,52.7,True,True
2002,Iowa,IA,governor,Doug Gross,Republican,44.5,False,False
2002,Iowa,IA,governor,Jay Robinson,Green,1.4,False,False
2002,Iowa,IA,governor,Clyde Cleveland,Libertarian,1.3,False,False
2002,Kansas,KS,governor,Kathleen Sebelius,Democratic,52.9,True,False
2002,Kansas,KS,governor,Tim Shallenburger,Republican,45.1,False,False
2002,Kansas,KS,governor,Theodore Pettibone,Reform,1.1,False,False
2002,Kansas,KS,governor,Dennis Hawver,Libertarian,1.0,False,False
2002,Maine,ME,governor,John Baldacci,Democratic,47.1,True,False
2002,Maine,ME,governor,Peter Cianchette,Republican,41.5,False,False
2002,Maine,ME,governor,Jonathan Carter,Politician,9.3,False,False
2002,Maine,ME,governor,John Michael,Politician,2.1,False,False
2002,Maryland,MD,governor,Bob Ehrlich,Republican,51.5,True,False
2002,Maryland,MD,governor,Kathleen K. Townsend,Democratic,47.7,False,False
2002,Massachusetts,MA,governor,Mitt Romney,Republican,49.8,True,False
2002,Massachusetts,MA,governor,Shannon O'Brien,Massachusetts Politician,44.9,False,False
2002,Massachusetts,MA,governor,Jill Stein,Green-rainbow,3.5,False,False
2002,Massachusetts,MA,governor,Carla Howell,Libertarian,1.1,False,False
2002,Michigan,MI,governor,Jennifer Granholm,Democratic,51.4,True,False
2002,Michigan,MI,governor,Dick Posthumus,Republican,47.4,False,False
2002,Minnesota,MN,governor,Tim Pawlenty,Republican,44.4,True,False
2002,Minnesota,MN,governor,Roger Moe,Democratic,36.5,False,False
2002,Minnesota,MN,governor,Tim Penny,Independence,16.2,False,False
2002,Minnesota,MN,governor,Ken Pentel,Green,2.3,False,False
2002,Nebraska,NE,governor,Mike Johanns,Republican,68.7,True,True
2002,Nebraska,NE,governor,Stormy Dean,Democratic,27.5,False,False
2002,Nebraska,NE,governor,Paul A. Rosberg,Nebraska,3.8,False,False
2002,Nevada,NV,governor,Kenny Guinn,Republican,68.2,True,True
2002,Nevada,NV,governor,Joe Neal,Politician,22.0,False,False
2002,Nevada,NV,governor,Dick Geyer,Libertarian,1.6,False,False
2002,Nevada,NV,governor,David G. Holmgren,Independent American,1.4,False,False
2002,Nevada,NV,governor,Jerry L. Norton,Independent,1.1,False,False
2002,New Hampshire,NH,governor,Craig Benson,Republican,58.6,True,False
2002,New Hampshire,NH,governor,Mark Fernald,Democratic,38.2,False,False
2002,New Hampshire,NH,governor,John Babiarz,Libertarian,2.9,False,False
2002,New Mexico,NM,governor,Bill Richardson,Democratic,55.5,True,False
2002,New Mexico,NM,governor,John Sanchez,Republican,39.0,False,False
2002,New Mexico,NM,governor,David Bacon,Green,5.5,False,False
2002,New York,NY,governor,George Pataki,Republican,49.4,True,True
2002,New York,NY,governor,Carl McCall,Democratic,33.5,False,False
2002,New York,NY,governor,Tom Golisano,Independence,14.3,False,False
2002,New York,NY,governor,Gerald Cronin,Right To Life,1.0,False,False
2002,Ohio,OH,governor,Bob Taft,Republican,57.8,True,True
2002,Ohio,OH,governor,Tim Hagan,Democratic,38.3,False,False
2002,Ohio,OH,governor,John Eastman,Independent,3.9,False,False
2002,Oklahoma,OK,governor,Brad Henry,Democratic,43.3,True,False
2002,Oklahoma,OK,governor,Steve Largent,Republican,42.6,False,False
2002,Oklahoma,OK,governor,Gary Richardson,Lawyer,14.1,False,False
2002,Oregon,OR,governor,Ted Kulongoski,Democratic,49.0,True,False
2002,Oregon,OR,governor,Kevin Mannix,Republican,46.2,False,False
2002,Oregon,OR,governor,Tom Cox,Libertarian,4.6,False,False
2002,Pennsylvania,PA,governor,Ed Rendell,Democratic,53.4,True,False
2002,Pennsylvania,PA,governor,Mike Fisher,Republican,44.4,False,False
2002,Pennsylvania,PA,governor,Ken Krawchuk,Libertarian,1.1,False,False
2002,Pennsylvania,PA,governor,Mike Morrill,Green,1.1,False,False
2002,Rhode Island,RI,governor,Donald Carcieri,Republican,54.8,True,False
